id,weight
dioKit/Common/Internals/Soundpipe/lib/fft/fft.c,3215
dioKit/Common/Internals/Soundpipe/soundpipe.h,1174
dioKit/Common/Internals/Sporth/ugens/basic.c,1059
dioKit/Common/Internals/Soundpipe/modules/zitarev.c,1050
dioKit/Common/User Interface/EZAudio/EZAudioUtilities.m,744
dioKit/Common/User Interface/EZAudio/EZOutput.m,753
dioKit/Common/User Interface/EZAudio/EZAudioFile.m,735
dioKit/Common/User Interface/EZAudio/EZMicrophone.m,637
dioKit/Common/Internals/Sporth/plumber.c,480
dioKit/Common/User Interface/EZAudio/EZAudioPlotGL.m,548
dioKit/Common/User Interface/EZAudio/EZAudioDevice.m,475
dioKit/Common/User Interface/EZAudio/EZAudioPlot.m,453
dioKit/Common/Internals/Soundpipe/lib/kissfft/kiss_fft.c,408
dioKit/Common/Internals/Soundpipe/modules/phaser.c,371
dioKit/Common/User Interface/EZAudio/EZRecorder.m,456
dioKit/Common/Internals/Soundpipe/modules/pitchamdf.c,346
dioKit/Common/Internals/Soundpipe/test/md5.c,392
dioKit/Common/User Interface/EZAudio/EZAudioFFT.m,444
dioKit/Common/User Interface/EZAudio/EZAudioPlayer.m,445
dioKit/Common/Internals/Sporth/ugens/poly/poly.c,308
dioKit/Common/Internals/Sporth/ugens/poly.c,298
dioKit/Common/Internals/Soundpipe/modules/jcrev.c,327
dioKit/Common/Internals/Sporth/parse.c,222
dioKit/Common/Internals/Soundpipe/modules/ftbl.c,270
dioKit/Common/Internals/Soundpipe/modules/pluck.c,280
dioKit/Common/Internals/Soundpipe/modules/drip.c,231
dioKit/Common/Internals/Soundpipe/modules/revsc.c,276
dioKit/Common/User Interface/EZAudio/EZAudio.m,307
dioKit/Common/Internals/Soundpipe/modules/prop.c,221
dioKit/Common/Internals/Soundpipe/modules/mincer.c,251
dioKit/Common/Internals/Sporth/ugens/t.c,205
dioKit/Common/Internals/Soundpipe/modules/autowah.c,215
dioKit/Common/Nodes/Effects/Filters/AKRolandTB303Filter/AKRolandTB303FilterAudioUnit.mm,259
dioKit/Common/Nodes/Effects/Distortion/AKTanhDistortion/AKTanhDistortionAudioUnit.mm,259
dioKit/Common/Nodes/Generators/Oscillators/AKFMOscillator/AKFMOscillatorAudioUnit.mm,254
dioKit/Common/Internals/Soundpipe/modules/bltriangle.c,202
dioKit/Common/Nodes/Effects/Filters/AKLowShelfParametricEqualizerFilter/AKLowShelfParametricEqualizerFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKFormantFilter/AKFormantFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKHighShelfParametricEqualizerFilter/AKHighShelfParametricEqualizerFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKEqualizerFilter/AKEqualizerFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKThreePoleLowpassFilter/AKThreePoleLowpassFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKPeakingParametricEqualizerFilter/AKPeakingParametricEqualizerFilterAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Distortion/AKClipper/AKClipperAudioUnit.mm,244
dioKit/Common/Nodes/Effects/Filters/AKAutoWah/AKAutoWahAudioUnit.mm,243
dioKit/Common/Internals/Soundpipe/modules/blsquare.c,185
dioKit/Common/Internals/Soundpipe/modules/bar.c,187
dioKit/Common/Nodes/Generators/Oscillators/AKSquareWaveOscillator/AKSquareWaveOscillatorAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Filters/AKBandRejectButterworthFilter/AKBandRejectButterworthFilterAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Filters/AKMoogLadder/AKMoogLadderAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Filters/AKStringResonator/AKStringResonatorAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Filters/AKModalResonanceFilter/AKModalResonanceFilterAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Filters/AKBandPassButterworthFilter/AKBandPassButterworthFilterAudioUnit.mm,229
dioKit/Common/Nodes/Effects/Distortion/AKBitCrusher/AKBitCrusherAudioUnit.mm,229
