id,weight
dioKit/Common/Internals/Soundpipe/lib/fft/fft.c,3144
dioKit/Common/Internals/STK/include/dsound.h,2369
dioKit/Common/Internals/Soundpipe/soundpipe.h,1720
dioKit/Common/Internals/Sporth/ugens/basic.c,1419
dioKit/Common/Internals/STK/include/soundcard.h,1878
dioKit/Common/Internals/Soundpipe/modules/zitarev.c,1062
dioKit/Common/Internals/STK/FileRead.cpp,903
dioKit/Common/Internals/STK/FileWrite.cpp,798
dioKit/Common/Internals/Sporth/plumber.c,709
dioKit/Common/Internals/STK/Shakers.cpp,729
dioKit/Common/Internals/EZAudio/EZAudioUtilities.m,751
dioKit/Common/Internals/STK/include/RtAudio.h,1163
dioKit/Common/Internals/Sporth/parse.c,562
dioKit/Common/Internals/EZAudio/EZAudioFile.m,799
dioKit/Common/Internals/EZAudio/EZOutput.m,753
dioKit/Common/Internals/Soundpipe/modules/prop.c,549
dioKit/Common/Internals/EZAudio/EZMicrophone.m,637
dioKit/Common/Internals/EZAudio/EZAudioPlotGL.m,548
dioKit/Common/Nodes/Generators/Oscillators/FM Oscillator Bank/AKFMOscillatorBankDSPKernel.hpp,474
dioKit/Common/Internals/STK/include/RtMidi.h,763
dioKit/Common/Internals/EZAudio/EZAudioDevice.m,487
dioKit/Common/Internals/Soundpipe/modules/ptrack.c,442
dioKit/Common/Internals/EZAudio/EZAudioPlot.m,480
dioKit/Common/Nodes/Generators/Oscillators/Phase Distortion Oscillator Bank/AKPhaseDistortionOscillatorBankDSPKernel.hpp,450
dioKit/Common/Internals/Soundpipe/modules/ftbl.c,394
dioKit/Common/Nodes/Playback/Sampler/TemplateAUPreset.h,330
dioKit/Common/Nodes/Generators/Oscillators/PWM Oscillator Bank/AKPWMOscillatorBankDSPKernel.hpp,423
dioKit/Common/Nodes/Generators/Oscillators/Morphing Oscillator Bank/AKMorphingOscillatorBankDSPKernel.hpp,419
dioKit/Common/Internals/Soundpipe/lib/kissfft/kiss_fft.c,409
dioKit/Common/Internals/STK/Messager.cpp,435
dioKit/Common/Nodes/Generators/Oscillators/Oscillator Bank/AKOscillatorBankDSPKernel.hpp,409
dioKit/Common/Internals/Soundpipe/modules/phaser.c,371
dioKit/Common/Internals/EZAudio/EZRecorder.m,456
dioKit/Common/Internals/Soundpipe/modules/pitchamdf.c,345
dioKit/Common/Internals/STK/Stk.cpp,395
dioKit/Common/Internals/Soundpipe/test/md5.c,392
dioKit/Common/Internals/EZAudio/EZAudioFFT.m,444
dioKit/Common/Internals/EZAudio/EZAudioPlayer.m,445
dioKit/Common/Internals/STK/Mesh2D.cpp,367
