id,weight
ets/ui/commands.py,1036
ets/library.py,1260
etsplug/bpd/__init__.py,1114
ets/mediafile.py,885
st/test_db.py,660
st/test_importer.py,664
ets/importer.py,811
ets/autotag/musicbrainz3/__init__.py,744
st/test_ui.py,587
ets/autotag/musicbrainz3/mbxml.py,545
st/test_autotag.py,502
ets/ui/__init__.py,632
st/test_files.py,500
st/test_query.py,349
etsplug/bpd/bluelet.py,377
ets/util/pipeline.py,442
ets/autotag/match.py,490
etsplug/web/static/beets.js,301
st/test_mediafile_basic.py,316
ets/util/__init__.py,321
st/_common.py,200
etsplug/web/static/beets.css,145
st/test_pipeline.py,169
st/test_mediafile.py,174
etsplug/bpd/gstplayer.py,214
cs/Makefile,130
ets/plugins.py,226
etsplug/embedart.py,142
st/test_mb.py,120
ets/autotag/mb.py,151
etsplug/web/templates/index.html,92
etsplug/web/__init__.py,127
st/test_art.py,106
etsplug/lastid.py,143
etsplug/lastgenre/__init__.py,114
etsplug/mpdupdate.py,106
ets/autotag/art.py,113
ets/autotag/__init__.py,109
ets/util/enumeration.py,178
tup.py,66
ets/autotag/hooks.py,125
st/test_player.py,69
etsplug/info.py,66
etsplug/web/static/backbone.js,32
st/test_vfs.py,45
cs/conf.py,40
etsplug/web/static/underscore.js,27
ets/vfs.py,48
st/testall.py,38
ets/__init__.py,19
etsplug/web/static/jquery.js,18
etsplug/__init__.py,19
st/__init__.py,2
