id,weight
etsplug/web/static/jquery.js,9266
ets/ui/commands.py,1050
ets/library.py,1260
etsplug/web/static/backbone.js,1158
etsplug/bpd/__init__.py,1114
etsplug/web/static/underscore.js,977
ets/mediafile.py,949
st/test_ui.py,705
st/test_db.py,660
st/test_importer.py,665
ets/importer.py,804
ets/autotag/musicbrainz3/__init__.py,752
st/test_autotag.py,557
ets/autotag/musicbrainz3/mbxml.py,544
ets/ui/__init__.py,672
st/test_files.py,540
st/test_query.py,349
etsplug/bpd/bluelet.py,377
ets/util/pipeline.py,442
ets/autotag/match.py,490
st/test_mediafile_basic.py,332
etsplug/web/static/beets.js,301
ets/util/__init__.py,350
st/_common.py,201
etsplug/web/static/beets.css,145
st/test_mediafile.py,186
st/test_pipeline.py,169
ets/autotag/mb.py,201
etsplug/bpd/gstplayer.py,214
cs/Makefile,130
ets/plugins.py,226
etsplug/embedart.py,142
st/test_mb.py,123
etsplug/chroma.py,128
ets/autotag/__init__.py,155
etsplug/web/templates/index.html,92
etsplug/replaygain.py,126
etsplug/web/__init__.py,127
st/test_art.py,106
etsplug/lastid.py,143
etsplug/lastgenre/__init__.py,114
etsplug/mpdupdate.py,106
ets/autotag/art.py,113
tup.py,84
ets/util/enumeration.py,178
ets/autotag/hooks.py,125
st/test_player.py,69
etsplug/info.py,66
st/test_vfs.py,45
cs/conf.py,40
ets/vfs.py,48
st/testall.py,38
ets/__init__.py,19
etsplug/__init__.py,19
st/__init__.py,2
