id,weight
etsplug/web/static/jquery.js,9266
ets/library.py,1350
ets/ui/commands.py,1093
etsplug/web/static/backbone.js,1158
etsplug/bpd/__init__.py,1118
ets/mediafile.py,955
etsplug/web/static/underscore.js,977
st/test_db.py,776
st/test_ui.py,739
st/test_importer.py,668
st/test_autotag.py,598
ets/importer.py,825
ets/autotag/musicbrainz3/__init__.py,752
st/test_files.py,599
ets/ui/__init__.py,720
etsplug/lastgenre/genres-tree.yaml,426
ets/autotag/musicbrainz3/mbxml.py,544
etsplug/bpd/bluelet.py,426
st/test_query.py,349
ets/autotag/match.py,501
ets/util/pipeline.py,442
st/test_mediafile_basic.py,340
etsplug/web/static/beets.js,301
ets/util/__init__.py,383
st/test_template.py,264
ets/util/functemplate.py,353
st/_common.py,201
ets/plugins.py,277
etsplug/web/static/beets.css,145
st/test_art.py,162
st/test_mediafile.py,186
st/test_pipeline.py,169
etsplug/lastgenre/__init__.py,180
etsplug/bpd/gstplayer.py,214
ets/autotag/mb.py,189
cs/Makefile,130
etsplug/embedart.py,142
st/test_mb.py,123
ets/autotag/art.py,152
ets/autotag/__init__.py,157
etsplug/chroma.py,128
etsplug/web/templates/index.html,92
etsplug/replaygain.py,126
etsplug/web/__init__.py,127
etsplug/mpdupdate.py,106
tup.py,87
ets/util/enumeration.py,178
ets/autotag/hooks.py,126
st/test_player.py,69
etsplug/info.py,66
st/test_vfs.py,45
etsplug/inline.py,52
cs/conf.py,40
ets/vfs.py,48
st/testall.py,38
ets/__init__.py,19
etsplug/__init__.py,19
st/__init__.py,2
