id,weight
etsplug/web/static/jquery.js,9266
st/test_importer.py,1858
ets/mediafile.py,2000
ets/ui/commands.py,1754
st/test_ui.py,1303
st/test_library.py,1227
ets/library.py,1508
ets/importer.py,1542
ets/util/confit.py,1441
st/test_autotag.py,956
etsplug/lastgenre/genres-tree.yaml,749
st/test_mediafile.py,960
st/test_query.py,987
etsplug/bpd/__init__.py,1193
ets/ui/__init__.py,1278
etsplug/web/static/backbone.js,1158
etsplug/web/static/underscore.js,977
etsplug/fetchart.py,861
etsplug/replaygain.py,953
etsplug/lyrics.py,760
st/test_dbcore.py,662
ets/dbcore/query.py,858
st/test_files.py,631
ets/util/__init__.py,862
st/test_sort.py,540
st/test_art.py,635
ets/dbcore/db.py,837
st/test_mb.py,495
st/test_plugins.py,563
ets/util/bluelet.py,651
st/helper.py,575
etsplug/convert.py,450
ets/autotag/hooks.py,612
ets/util/functemplate.py,575
st/test_lyrics.py,394
ets/util/pipeline.py,519
st/test_mediafile_edge.py,403
ets/autotag/mb.py,421
etsplug/web/static/beets.js,314
ets/plugins.py,489
etsplug/duplicates.py,337
etsplug/lastgenre/__init__.py,425
ets/autotag/match.py,501
st/test_logging.py,300
etsplug/mpdstats.py,368
st/test_edit.py,428
etsplug/discogs.py,350
st/_common.py,351
etsplug/ipfs.py,286
st/test_thumbnails.py,295
tra/release.py,354
etsplug/web/__init__.py,328
etsplug/edit.py,392
etsplug/chroma.py,308
st/test_template.py,280
etsplug/thumbnails.py,289
st/test_spotify.py,212
st/test_embyupdate.py,213
st/test_convert.py,261
st/test_smartplaylist.py,228
st/rsrc/itunes_library_windows.xml,167
st/rsrc/itunes_library_unix.xml,167
etsplug/lastimport.py,249
st/test_pipeline.py,244
st/test_filefilter.py,207
etsplug/info.py,241
etsplug/bucket.py,243
ets/util/artresizer.py,258
st/test_ftintitle.py,185
st/test_embedart.py,204
etsplug/smartplaylist.py,202
etsplug/web/static/beets.css,160
st/rsrc/test_completion.sh,185
etsplug/spotify.py,176
st/test_lastgenre.py,220
st/test_util.py,184
ets/art.py,200
st/test_importadded.py,175
etsplug/acousticbrainz.py,165
ets/config_default.yaml,124
st/test_replaygain.py,171
etsplug/embedart.py,154
etsplug/bpd/gstplayer.py,223
st/test_config_command.py,138
ets/dbcore/queryparse.py,250
cs/Makefile,135
etsplug/mbsync.py,167
st/test_bucket.py,168
st/test_zero.py,128
etsplug/play.py,155
etsplug/export.py,151
tup.py,136
st/test_plexupdate.py,128
etsplug/importadded.py,134
etsplug/missing.py,146
st/test_ui_importer.py,152
etsplug/scrub.py,146
etsplug/importfeeds.py,149
etsplug/badfiles.py,120
etsplug/web/templates/index.html,98
ets/dbcore/types.py,211
st/test_datequery.py,131
st/test_types_plugin.py,155
ets/ui/completion_base.sh,162
etsplug/fromfilename.py,173
st/test_mbsync.py,135
etsplug/ftintitle.py,169
st/test_metasync.py,127
st/test_info.py,120
st/test_web.py,113
st/test_ui_init.py,120
etsplug/metasync/__init__.py,142
etsplug/zero.py,140
ets/autotag/__init__.py,143
etsplug/mpdupdate.py,128
etsplug/embyupdate.py,135
st/test_play.py,127
st/test_ui_commands.py,123
etsplug/inline.py,124
etsplug/metasync/itunes.py,121
st/test_hook.py,117
etsplug/mbcollection.py,114
st/test_ipfs.py,97
etsplug/metasync/amarok.py,110
etsplug/bench.py,109
etsplug/the.py,100
ets/logging.py,133
st/test_mpdstats.py,88
st/test_permissions.py,77
etsplug/hook.py,108
st/test_the.py,68
etsplug/keyfinder.py,87
etsplug/permissions.py,102
etsplug/bpm.py,87
st/test_importfeeds.py,65
st/test_keyfinder.py,85
etsplug/ihate.py,82
etsplug/plexupdate.py,92
etsplug/random.py,81
etsplug/filefilter.py,78
st/test_hidden.py,74
st/test_player.py,70
etsplug/cue.py,57
st/test_mbsubmit.py,72
st/rsrc/lyricstext.yaml,45
etsplug/rewrite.py,75
ravis.yml,46
st/test_fetchart.py,58
st/lyrics_download_samples.py,58
etsplug/types.py,52
st/test_ihate.py,54
ets/util/hidden.py,88
cs/conf.py,44
etsplug/mbsubmit.py,60
st/test_vfs.py,49
etsplug/fuzzy.py,48
st/testall.py,50
ets/vfs.py,53
ets/util/enumeration.py,43
ets/__init__.py,42
etsplug/freedesktop.py,37
st/rsrc/convert_stub.py,32
pveyor.yml,20
st/rsrc/beetsplug/test.py,23
decov.yml,12
ets/dbcore/__init__.py,29
cs/serve.py,9
etsplug/__init__.py,22
st/__init__.py,5
