id,weight
dules/stdwinmodule.c,1622
thon/graminit.c,1070
rser/pgen.c,729
jects/listobject.c,511
b/plat-irix5/DEVICE.py,423
rser/tokenizer.c,490
dules/posixmodule.c,436
thon/modsupport.c,382
thon/cgensupport.c,369
jects/stringobject.c,319
rser/parser.c,396
thon/import.c,297
jects/tupleobject.c,276
dules/cgen.py,458
jects/fileobject.c,273
jects/classobject.c,269
thon/pythonmain.c,304
b/stdwin/Buttons.py,390
jects/intobject.c,251
b/plat-irix5/GL.py,365
jects/floatobject.c,245
rser/grammar.c,207
jects/object.c,195
b/stdwin/tablewin.py,237
b/plat-irix5/panel.py,281
rser/metagrammar.c,151
dules/timemodule.c,178
dules/mathmodule.c,158
b/dircmp.py,205
jects/moduleobject.c,155
b/calendar.py,213
thon/sysmodule.c,156
b/stdwin/Sliders.py,177
rser/parsetok.c,131
clude/object.h,310
rser/printgrammar.c,121
jects/methodobject.c,114
thon/errors.c,150
rser/firstsets.c,109
rser/acceler.c,101
rser/pgenmain.c,111
b/stdwin/textwin.py,119
b/stringold.py,129
b/stdwin/gwin.py,118
jects/funcobject.c,101
b/irix5/auds.py,106
jects/xxobject.c,94
b/posixpath.py,125
b/plat-irix5/panelparser.py,128
rser/intrcheck.c,95
rser/bitset.c,76
rser/listnode.c,68
clude/grammar.h,78
b/stdwin/rect.py,88
b/statcache.py,86
rser/grammar1.c,52
b/commands.py,77
clude/graminit.h,42
rser/node.c,47
b/shutil.py,70
b/poly.py,55
b/stdwin/listwin.py,47
jects/typeobject.c,47
clude/token.h,45
b/cmp.py,61
b/stdwin/Histogram.py,49
b/stat.py,55
b/lib-old/dump.py,63
b/cmpcache.py,68
b/stdwin/Soundogram.py,36
c/Makefile,40
b/dircache.py,36
b/getopt.py,47
b/stdwin/dirwin.py,29
b/whrandom.py,74
b/stdwin/stdwinevents.py,36
clude/node.h,29
b/stdwin/filewin.py,31
rser/tokenizer.h,29
clude/pyerrors.h,33
rser/parser.h,25
thon/fmod.c,27
clude/bitset.h,22
clude/stringobject.h,39
thon/strerror.c,18
clude/intobject.h,48
dules/cgensupport.h,15
b/stdwin/anywin.py,14
clude/floatobject.h,20
clude/classobject.h,20
clude/dictobject.h,20
clude/listobject.h,27
clude/errcode.h,12
clude/objimpl.h,31
b/rand.py,12
clude/parsetok.h,9
clude/modsupport.h,9
clude/metagrammar.h,6
clude/moduleobject.h,10
clude/methodobject.h,11
clude/tupleobject.h,24
b/util.py,9
clude/fileobject.h,9
clude/funcobject.h,9
clude/sysmodule.h,6
clude/import.h,5
rser/pgen.h,6
rser/assert.h,1
