id,weight
thon/compile.c,1749
dules/stdwinmodule.c,1605
thon/ceval.c,1412
thon/graminit.c,1070
rser/pgen.c,727
thon/bltinmodule.c,535
jects/listobject.c,495
b/plat-irix5/DEVICE.py,423
rser/tokenizer.c,499
dules/posixmodule.c,424
thon/cgensupport.c,369
thon/pythonmain.c,414
thon/modsupport.c,357
jects/stringobject.c,319
rser/parser.c,399
dules/cgen.py,458
jects/tupleobject.c,263
jects/intobject.c,283
jects/classobject.c,274
b/stdwin/Buttons.py,399
jects/object.c,266
jects/fileobject.c,261
b/plat-irix5/GL.py,365
jects/floatobject.c,247
thon/import.c,206
rser/grammar.c,209
thon/traceback.c,193
b/stdwin/tablewin.py,237
thon/sysmodule.c,190
b/plat-irix5/panel.py,281
rser/metagrammar.c,152
b/dircmp.py,205
dules/timemodule.c,171
dules/mathmodule.c,156
b/calendar.py,213
thon/structmember.c,134
jects/frameobject.c,132
thon/errors.c,172
jects/moduleobject.c,130
b/stdwin/Sliders.py,175
rser/printgrammar.c,125
rser/parsetok.c,134
clude/object.h,300
jects/methodobject.c,123
rser/pgenmain.c,124
rser/firstsets.c,109
rser/acceler.c,112
b/stringold.py,129
b/stdwin/textwin.py,119
b/stdwin/gwin.py,118
b/stdwin/Split.py,116
b/irix5/auds.py,106
jects/xxobject.c,94
jects/funcobject.c,89
b/stdwin/WindowParent.py,94
b/posixpath.py,125
b/stdwin/TransParent.py,96
rser/node.c,76
b/plat-irix5/panelparser.py,128
rser/intrcheck.c,95
rser/bitset.c,75
clude/opcode.h,85
rser/listnode.c,69
b/stdwin/StripChart.py,68
clude/grammar.h,81
b/stdwin/rect.py,88
b/statcache.py,86
rser/grammar1.c,51
b/commands.py,77
clude/graminit.h,42
b/shutil.py,70
b/poly.py,55
b/stdwin/listwin.py,47
b/stdwin/HVSplit.py,52
clude/token.h,45
b/stdwin/VUMeter.py,47
b/stat.py,57
b/cmp.py,61
b/lib-old/dump.py,63
clude/frameobject.h,56
b/cmpcache.py,68
jects/typeobject.c,37
b/stdwin/stdwinevents.py,46
b/stdwin/Soundogram.py,36
c/Makefile,40
b/stdwin/Histogram.py,36
b/dircache.py,36
clude/node.h,34
b/getopt.py,47
b/stdwin/Abstract.py,61
b/stdwin/dirwin.py,29
clude/pyerrors.h,34
b/whrandom.py,74
b/stdwin/filewin.py,31
rser/tokenizer.h,29
clude/structmember.h,40
rser/parser.h,26
clude/allobjects.h,26
thon/fmod.c,27
clude/pgenheaders.h,26
thon/strerror.c,23
clude/pythonrun.h,23
clude/bitset.h,22
clude/listobject.h,35
clude/stringobject.h,39
clude/intobject.h,48
clude/methodobject.h,18
clude/tupleobject.h,32
clude/compile.h,23
dules/cgensupport.h,15
b/stdwin/anywin.py,14
clude/floatobject.h,20
clude/classobject.h,20
clude/dictobject.h,20
clude/errcode.h,12
b/rand.py,12
clude/metagrammar.h,6
clude/fileobject.h,9
clude/objimpl.h,26
clude/moduleobject.h,9
b/util.py,9
clude/import.h,7
clude/funcobject.h,9
clude/ceval.h,9
clude/traceback.h,6
clude/sysmodule.h,6
rser/pgen.h,6
clude/parsetok.h,5
rser/assert.h,1
clude/bltinmodule.h,3
clude/modsupport.h,3
