id,weight
dules/stdwinmodule.c,2099
thon/compile.c,1884
thon/ceval.c,1480
thon/graminit.c,1094
jects/longobject.c,976
rser/pgen.c,766
jects/listobject.c,620
thon/bltinmodule.c,555
dules/posixmodule.c,556
b/plat-irix5/DEVICE.py,423
jects/fileobject.c,488
rser/tokenizer.c,530
thon/modsupport.c,410
thon/cgensupport.c,393
thon/pythonmain.c,450
jects/stringobject.c,369
jects/intobject.c,367
b/test/testall.py,420
rser/parser.c,423
dules/fmmodule.c,333
dules/cgen.py,458
jects/floatobject.c,318
jects/tupleobject.c,287
jects/classobject.c,298
b/stdwin/Buttons.py,399
b/plat-irix5/GL.py,365
jects/object.c,286
thon/import.c,266
b/tb.py,220
b/persist.py,297
dules/timemodule.c,283
rser/grammar.c,233
dules/pwdmodule.c,222
thon/traceback.c,217
b/stdwin/tablewin.py,237
thon/sysmodule.c,218
b/plat-irix5/panel.py,281
rser/metagrammar.c,176
b/dis.py,176
b/dircmp.py,205
b/stdwin/formatter.py,204
b/calendar.py,213
b/stdwin/WindowParent.py,169
thon/structmember.c,158
b/stdwin/Split.py,157
jects/frameobject.c,156
thon/errors.c,196
jects/moduleobject.c,154
b/stdwin/Sliders.py,175
clude/object.h,327
dules/mathmodule.c,151
rser/printgrammar.c,149
rser/parsetok.c,158
b/stringold.py,147
jects/methodobject.c,147
rser/pgenmain.c,148
rser/firstsets.c,133
rser/acceler.c,136
b/stdwin/textwin.py,119
b/stdwin/gwin.py,122
rser/intrcheck.c,144
b/irix5/auds.py,106
jects/xxobject.c,131
b/stdwin/TransParent.py,110
jects/funcobject.c,113
b/posixpath.py,125
rser/node.c,100
b/macpath.py,108
b/plat-irix5/panelparser.py,128
clude/opcode.h,112
rser/bitset.c,99
b/packmail.py,74
rser/listnode.c,93
thon/getcwd.c,102
b/stdwin/StripChart.py,70
b/fnmatch.py,71
b/zmod.py,94
clude/grammar.h,105
b/stdwin/rect.py,88
b/stdwin/TextEdit.py,61
b/statcache.py,86
b/stdwin/DirList.py,63
rser/grammar1.c,75
b/commands.py,77
clude/graminit.h,66
b/shutil.py,70
b/stdwin/CSplit.py,70
b/poly.py,55
b/stdwin/listwin.py,47
b/glob.py,44
c/Lib/maccache.py,61
b/sunaudio.py,54
b/stdwin/HVSplit.py,56
clude/token.h,69
b/stdwin/VUMeter.py,47
b/stdwin/FormSplit.py,56
b/sched.py,102
b/stat.py,57
clude/frameobject.h,81
b/cmp.py,61
b/lib-old/dump.py,63
b/stdwin/WindowSched.py,58
b/cmpcache.py,68
jects/typeobject.c,61
b/stdwin/stdwinevents.py,46
c/Makefile,47
b/lib-old/grep.py,32
b/stdwin/Soundogram.py,36
b/stdwin/Histogram.py,36
b/stdwin/Abstract.py,63
b/dircache.py,36
clude/node.h,58
b/getopt.py,47
b/mutex.py,59
b/stdwin/dirwin.py,29
clude/pyerrors.h,58
b/whrandom.py,74
rser/tokenizer.h,53
clude/allobjects.h,51
clude/structmember.h,64
rser/parser.h,50
thon/fmod.c,51
clude/longintrepr.h,68
clude/pgenheaders.h,50
thon/strerror.c,47
clude/pythonrun.h,47
clude/bitset.h,46
clude/listobject.h,59
clude/stringobject.h,63
clude/intobject.h,72
b/stdwin/filewin.py,20
clude/compile.h,48
clude/methodobject.h,42
thon/strtod.c,17
clude/tupleobject.h,56
dules/cgensupport.h,39
b/stdwin/anywin.py,14
clude/dictobject.h,46
clude/floatobject.h,44
clude/classobject.h,44
clude/errcode.h,36
b/rand.py,12
clude/fileobject.h,34
clude/metagrammar.h,30
b/util.py,25
clude/objimpl.h,50
clude/moduleobject.h,33
clude/import.h,31
clude/funcobject.h,33
rser/pgen.h,32
clude/ceval.h,33
clude/traceback.h,30
clude/longobject.h,32
clude/sysmodule.h,30
clude/parsetok.h,29
rser/assert.h,25
clude/bltinmodule.h,27
clude/modsupport.h,27
