id,weight
dules/flmodule.c,2424
dules/stdwinmodule.c,2209
thon/compile.c,2082
thon/ceval.c,1698
jects/longobject.c,1355
thon/graminit.c,1133
dules/posixmodule.c,771
thon/bltinmodule.c,676
rser/pgen.c,766
jects/listobject.c,637
dules/socketmodule.c,814
rser/tokenizer.c,622
dules/almodule.c,602
jects/fileobject.c,523
b/plat-irix5/DEVICE.py,423
jects/intobject.c,474
thon/modsupport.c,447
thon/pythonmain.c,483
b/test/testall.py,494
thon/cgensupport.c,388
jects/stringobject.c,371
thon/marshal.c,373
rser/parser.c,423
jects/classobject.c,338
jects/floatobject.c,347
jects/tupleobject.c,320
thon/import.c,331
dules/fmmodule.c,333
dules/cgen.py,462
b/plat-irix5/GL.py,386
mo/sgi/video/camcorder.py,266
b/plat-irix5/FL.py,248
b/stdwin/Buttons.py,411
jects/object.c,283
b/tb.py,220
mo/sgi/video/video.py,213
b/persist.py,297
dules/timemodule.c,282
rser/grammar.c,242
thon/traceback.c,222
dules/pwdmodule.c,222
dules/mathmodule.c,218
b/stdwin/Split.py,212
b/stdwin/tablewin.py,237
mo/sgi/al/intercom.py,209
thon/sysmodule.c,218
b/plat-irix5/panel.py,281
rser/metagrammar.c,176
thon/structmember.c,183
mo/sgi/video/tomono.c,165
ols/scripts/objgraph.py,213
b/dis.py,176
b/stdwin/WindowParent.py,189
b/dircmp.py,205
b/stdwin/formatter.py,208
b/calendar.py,213
jects/methodobject.c,175
thon/errors.c,201
jects/frameobject.c,156
clude/object.h,333
jects/moduleobject.c,155
mo/sgi/video/squash.c,120
b/stdwin/Sliders.py,174
rser/printgrammar.c,149
rser/parsetok.c,165
rser/acceler.c,153
b/stringold.py,147
mo/scripts/lpwatch.py,117
rser/pgenmain.c,148
mo/sgi/video/statit.py,115
rser/firstsets.c,133
ols/scripts/pdeps.py,167
mo/sgi/video/cam.py,129
b/stdwin/TextEdit.py,123
mo/sgi/video/vcopy.py,108
b/stdwin/textwin.py,119
b/posixpath.py,175
b/stdwin/gwin.py,122
rser/intrcheck.c,149
b/stdwin/TransParent.py,123
b/irix5/auds.py,106
jects/xxobject.c,131
mo/sgi/video/vtime.py,106
mo/sockets/telnet.py,109
jects/funcobject.c,113
mo/sgi/video/vinfo.py,80
mo/sgi/video/syncaudio.py,94
clude/opcode.h,120
mo/sgi/video/v2i.c,79
mo/sockets/throughput.py,93
mo/sgi/video/tv.py,79
b/macpath.py,111
mo/sgi/video/squash2.c,72
rser/node.c,100
b/plat-irix5/panelparser.py,128
rser/bitset.c,99
b/packmail.py,74
rser/listnode.c,93
ols/scripts/xxci.py,79
thon/getcwd.c,102
b/stdwin/StripChart.py,70
b/fnmatch.py,71
b/newdir.py,79
b/zmod.py,94
clude/grammar.h,105
ols/scripts/mkreal.py,65
mo/sockets/udpecho.py,63
mo/sgi/al/playaiff.py,54
b/stdwin/rect.py,88
clude/token.h,79
b/statcache.py,86
clude/graminit.h,69
mo/sgi/al/playold.py,51
b/stdwin/HVSplit.py,62
b/stdwin/DirList.py,65
rser/grammar1.c,75
b/shutil.py,70
b/poly.py,55
b/stdwin/CSplit.py,69
ols/scripts/byteyears.py,57
b/stdwin/listwin.py,47
b/glob.py,44
c/Lib/maccache.py,61
b/sunaudio.py,54
b/stdwin/FormSplit.py,58
b/stdwin/VUMeter.py,47
b/sched.py,107
b/stat.py,57
ols/scripts/eptags.py,50
ols/scripts/which.py,44
clude/frameobject.h,81
b/cmp.py,61
mo/scripts/fact.py,45
b/lib-old/dump.py,63
ols/scripts/ptags.py,49
b/stdwin/WindowSched.py,58
b/stdwin/BoxParent.py,41
c/Makefile,60
b/plat-irix5/AL.py,40
b/cmpcache.py,68
jects/typeobject.c,62
mo/sockets/finger.py,58
b/stdwin/stdwinevents.py,46
mo/sgi/al/listen.py,34
b/importall.py,35
b/lib-old/grep.py,32
b/stdwin/Soundogram.py,36
mo/sgi/video/vpregs.py,28
b/stdwin/Histogram.py,36
b/stdwin/Abstract.py,63
b/dircache.py,36
b/stdwin/mainloop.py,73
clude/node.h,58
b/getopt.py,47
b/commands.py,54
b/mutex.py,59
b/stdwin/dirwin.py,29
clude/allobjects.h,55
clude/pyerrors.h,58
b/whrandom.py,74
rser/tokenizer.h,53
b/stdwin/stdwinq.py,53
ols/scripts/findlinksto.py,29
mo/scripts/primes.py,26
mo/sockets/echosvr.py,31
clude/pgenheaders.h,54
clude/structmember.h,64
ols/scripts/suff.py,29
mo/sgi/al/rec_play.py,28
rser/parser.h,50
mo/sgi/al/alwatch.py,19
thon/fmod.c,51
clude/longintrepr.h,68
thon/strerror.c,47
mo/sgi/al/playback.py,23
mo/sgi/al/record.py,23
mo/sgi/video/colorsys.py,20
clude/pythonrun.h,47
mo/scripts/from.py,25
b/tempfile.py,32
clude/bitset.h,46
clude/listobject.h,59
mo/scripts/pi.py,30
clude/stringobject.h,63
clude/dictobject.h,49
clude/compile.h,49
clude/intobject.h,72
b/stdwin/filewin.py,20
mo/sgi/al/broadcast.py,27
mo/sgi/al/unicast.py,26
clude/methodobject.h,42
thon/strtod.c,17
clude/tupleobject.h,56
dules/cgensupport.h,39
b/stdwin/anywin.py,14
mo/sgi/al/radio.py,21
clude/floatobject.h,44
mo/sgi/al/x.py,12
clude/classobject.h,44
clude/errcode.h,36
clude/fileobject.h,35
b/rand.py,13
mo/sgi/al/names.py,14
clude/metagrammar.h,30
b/util.py,25
clude/marshal.h,33
clude/longobject.h,34
clude/moduleobject.h,33
clude/ceval.h,35
clude/import.h,31
clude/funcobject.h,33
clude/objimpl.h,48
rser/pgen.h,32
clude/traceback.h,30
clude/sysmodule.h,30
clude/parsetok.h,29
rser/assert.h,25
clude/bltinmodule.h,27
clude/modsupport.h,27
