id,weight
dules/flmodule.c,2419
dules/stdwinmodule.c,2234
thon/compile.c,2195
thon/ceval.c,1971
dules/regexpr.c,1684
thon/graminit.c,1133
jects/longobject.c,1290
thon/bltinmodule.c,781
dules/posixmodule.c,800
rser/pgen.c,766
jects/listobject.c,647
dules/socketmodule.c,817
rser/tokenizer.c,619
dules/almodule.c,600
jects/fileobject.c,515
b/plat-irix5/DEVICE.py,399
mo/sgi/video/VFile.py,504
b/plat-irix5/GL.py,393
jects/intobject.c,458
thon/pythonmain.c,494
thon/cgensupport.c,388
b/plat-irix5/flp.py,431
thon/import.c,393
jects/stringobject.c,371
thon/marshal.c,373
jects/tupleobject.c,332
jects/classobject.c,345
rser/parser.c,423
thon/modsupport.c,338
b/plat-irix5/FL.py,283
dules/fmmodule.c,333
jects/floatobject.c,329
dules/cgen.py,462
b/test/test_grammar.py,344
mo/sgi/video/camcorder.py,266
b/stdwin/Buttons.py,411
dules/regexmodule.c,304
b/stdwin/wdb.py,291
jects/object.c,285
b/bdb.py,294
b/pdb.py,262
thon/traceback.c,245
mo/sgi/video/video.py,214
dules/mathmodule.c,242
b/persist.py,297
dules/timemodule.c,282
rser/grammar.c,242
dules/pwdmodule.c,222
b/stdwin/Split.py,212
thon/sysmodule.c,227
mo/sgi/al/intercom.py,210
b/stdwin/tablewin.py,236
b/tb.py,173
b/plat-irix5/panel.py,281
rser/metagrammar.c,176
b/dis.py,181
thon/structmember.c,183
mo/sgi/video/tomono.c,165
jects/methodobject.c,190
ols/scripts/objgraph.py,213
b/stdwin/WindowParent.py,189
b/dircmp.py,205
b/stdwin/formatter.py,208
b/calendar.py,213
mo/scripts/eqfix.py,183
mo/sgi/video/squash.c,130
jects/frameobject.c,160
ols/scripts/classfix.py,190
thon/errors.c,201
b/posixpath.py,239
clude/object.h,333
jects/moduleobject.c,155
b/stdwin/Sliders.py,174
rser/printgrammar.c,149
rser/parsetok.c,165
rser/acceler.c,153
b/stringold.py,145
b/test/test_b1.py,127
b/test/test_b2.py,130
rser/pgenmain.c,148
mo/sgi/video/statit.py,115
mo/sgi/video/colorsys.py,106
rser/firstsets.c,133
b/stdwin/wdbframewin.py,116
ols/scripts/pdeps.py,167
mo/sgi/video/cam.py,129
b/stdwin/TextEdit.py,123
rser/intrcheck.c,153
mo/scripts/lpwatch.py,110
mo/sgi/video/vcopy.py,108
b/stdwin/textwin.py,117
b/stdwin/TransParent.py,123
b/stdwin/gwin.py,121
thon/strtod.c,154
b/stdwin/srcwin.py,130
b/irix5/auds.py,106
b/stdwin/wdbsrcwin.py,100
jects/xxobject.c,131
mo/sgi/video/vtime.py,106
b/repr.py,83
mo/sockets/telnet.py,109
jects/funcobject.c,113
mo/sgi/video/vinfo.py,80
mo/sgi/video/syncaudio.py,94
clude/opcode.h,125
mo/sgi/video/v2i.c,79
ols/scripts/xxci.py,89
b/test/test_exceptions.py,91
b/macpath.py,116
mo/sockets/throughput.py,93
mo/sgi/video/tv.py,79
mo/sgi/video/squash2.c,72
rser/node.c,100
mo/sgi/video/i2v.c,80
b/plat-irix5/panelparser.py,128
dules/regexpr.h,140
ols/scripts/checkpyc.py,69
rser/bitset.c,99
b/packmail.py,74
rser/listnode.c,93
thon/getcwd.c,102
b/stdwin/StripChart.py,70
b/newdir.py,79
b/cmd.py,64
b/lib-old/grep.py,62
b/zmod.py,94
clude/grammar.h,105
ols/scripts/mkreal.py,65
mo/sockets/udpecho.py,63
b/fnmatch.py,56
mo/sgi/al/playaiff.py,54
b/stdwin/rect.py,88
clude/token.h,79
b/statcache.py,86
clude/graminit.h,69
b/linecache.py,71
mo/sgi/al/playold.py,51
b/stdwin/HVSplit.py,62
b/stdwin/DirList.py,65
b/glob.py,51
rser/grammar1.c,75
b/shutil.py,70
b/tokenize.py,60
b/poly.py,55
b/stdwin/CSplit.py,69
ols/scripts/byteyears.py,57
b/stdwin/listwin.py,47
c/Lib/maccache.py,61
b/sunaudio.py,54
b/stdwin/FormSplit.py,58
b/stdwin/basewin.py,65
mo/sgi/al/alwatch.py,40
clude/frameobject.h,83
ols/scripts/eptags.py,51
b/importall.py,44
b/stdwin/VUMeter.py,47
b/sched.py,107
b/stat.py,57
ols/scripts/which.py,44
b/cmp.py,61
mo/scripts/fact.py,47
b/lib-old/dump.py,63
ols/scripts/ptags.py,49
b/stdwin/WindowSched.py,58
b/stdwin/BoxParent.py,41
c/Makefile,60
