id,weight
dules/stdwinmodule.c,2642
thon/ceval.c,2568
dules/flmodule.c,2535
thon/compile.c,2385
dules/regexpr.c,1695
c/tools/partparse.py,2129
thon/graminit.c,1304
dules/mpzmodule.c,1792
sc/python-mode-old.el,1661
jects/longobject.c,1382
thon/bltinmodule.c,1330
dules/posixmodule.c,1269
dules/arraymodule.c,1219
dules/audioop.c,1369
jects/classobject.c,1139
mo/sgi/video/VFile.py,1193
mo/sgi/video/Vb.py,963
dules/svmodule.c,994
jects/stringobject.c,853
dules/clmodule.c,953
dules/socketmodule.c,1070
dules/cdmodule.c,898
jects/mappingobject.c,824
b/aifc.py,967
jects/listobject.c,721
mo/rpc/rpc.py,863
jects/fileobject.c,724
dules/rgbimgmodule.c,750
mo/sgi/gl/mclock.py,736
dules/almodule.c,778
rser/pgen.c,766
dules/imageop.c,738
thon/thread.c,626
rser/tokenizer.c,674
jects/intobject.c,579
dules/rotormodule.c,824
thon/marshal.c,546
thon/modsupport.c,558
mo/sgi/video/VCR.py,534
dules/imgfile.c,527
thon/pythonrun.c,530
mo/stdwin/ibrowse/ibrowse.py,617
b/plat-irix5/DEVICE.py,400
dules/timemodule.c,509
thon/import.c,469
jects/tupleobject.c,463
b/plat-irix5/GL.py,393
c/Modules/macmodule.c,466
mo/sgi/gl/kunst.py,426
dules/stropmodule.c,473
dules/sunaudiodev.c,484
mo/stdwin/wdiff.py,483
jects/object.c,436
dules/structmodule.c,469
b/wave.py,559
thon/thread_sgi.h,439
dules/regexmodule.c,419
mo/scripts/freeze.py,480
b/profile.py,389
mo/sgi/video/Vrecb.py,429
mo/sgi/video/Vrec.py,413
b/urllib.py,456
b/plat-irix5/flp.py,465
jects/floatobject.c,416
thon/cgensupport.c,377
b/test/test_grammar.py,423
mo/stdwin/jukebox.py,409
clude/rename1.h,349
b/sunau.py,472
dules/signalmodule.c,355
b/urlopen.py,410
b/ftplib.py,452
dules/version.c,396
dules/cgen.py,509
c/fopenRF.c,399
mo/sockets/gopher.py,347
jects/accessobject.c,360
dules/nismodule.c,333
mo/sgi/video/Vplay.py,355
rser/parser.c,423
b/plat-irix5/FL.py,289
mo/stdwin/python.py,447
mo/cwilib/vt100.py,328
dules/fmmodule.c,326
mo/threads/sync.py,582
mo/sgi/gl/glstdwin/glstdwin.py,400
mo/sgi/video/VcrIndex.py,327
b/pdb.py,324
mo/sgi/audio_stdwin/jukebox.py,321
mo/sgi/video/camcorder.py,266
dules/sybasemodule.c,309
mo/sgi/video/Vedit.py,301
b/stdwin/Buttons.py,411
b/stdwin/wdb.py,309
ols/scripts/fixcid.py,315
mo/classes/bitvec.py,332
b/plat-irix5/IOCTL.py,233
thon/sysmodule.c,288
thon/traceback.c,266
b/bdb.py,306
dules/md5c.c,334
mo/stdwin/miniedit.py,356
dules/threadmodule.c,297
mo/sgi/video/Vcopy.py,291
dules/dbmmodule.c,276
mo/stdwin/ibrowse/ifile.py,328
mo/sgi/video/Viewer.py,255
b/plat-irix5/readcd.py,232
b/ntpath.py,348
b/dospath.py,354
thon/structmember.c,235
mo/sgi/video/video.py,218
jects/rangeobject.c,257
mo/scripts/newslist.py,358
mo/sgi/audio_stdwin/rec.py,268
mo/sgi/video/Vrecc.py,281
dules/dlmodule.c,244
b/persist.py,297
mo/cwilib/telnetlib.py,321
b/stringold.py,253
rser/grammar.c,242
thon/thread_pthread.h,280
dules/mathmodule.c,227
ols/scripts/pindent.py,314
b/nntplib.py,367
b/audiodev.py,205
b/pipes.py,301
mo/cwilib/cwilib.py,213
b/stdwin/Split.py,211
b/test/test_audioop.py,202
b/whatsound.py,270
b/posixpath.py,294
jects/frameobject.c,227
jects/methodobject.c,207
mo/sgi/al/intercom.py,212
b/stdwin/mainloop.py,256
b/test/test_types.py,175
thon/thread_solaris.h,226
clude/object.h,384
b/stdwin/tablewin.py,236
b/gopherlib.py,191
mo/stdwin/clock.py,204
mo/sgi/video/Dsend.py,188
b/tb.py,173
b/plat-irix5/CL.py,236
dules/pwdmodule.c,202
b/dis.py,188
mo/rpc/nfsclient.py,201
mo/cwilib/form.py,170
dules/selectmodule.c,203
b/test/test_b2.py,192
rser/metagrammar.c,176
b/plat-irix5/panel.py,281
b/test/test_b1.py,180
mo/rpc/xdr.py,201
mo/stdwin/lpwin.py,198
ols/scripts/objgraph.py,215
mo/sgi/video/tomono.c,165
b/random.py,260
b/stdwin/WindowParent.py,189
mo/classes/Dates.py,233
mo/scripts/eqfix.py,199
c/Modules/config.c,219
mo/sgi/video/makemovie.py,218
b/dircmp.py,203
dules/md5module.c,226
thon/thread_lwp.h,202
b/stdwin/formatter.py,207
b/plat-irix5/cddb.py,158
mo/sgi/video/aplay.py,167
