id,weight
c/Modules/qd/Qdmodule.c,2745
dules/stdwinmodule.c,2652
thon/ceval.c,2704
thon/compile.c,2665
nfigure,3036
dules/flmodule.c,2535
c/tools/partparse.py,2165
dules/regexpr.c,1702
sc/python-mode.el,1978
sc/python-mode-old.el,1978
thon/bltinmodule.c,1545
dules/posixmodule.c,1520
thon/graminit.c,1334
dules/mpzmodule.c,1809
dules/_cursesmodule.c,1579
jects/longobject.c,1423
c/Modules/ae/AEmodule.c,1307
c/Modules/res/Resmodule.c,1284
jects/classobject.c,1284
dules/socketmodule.c,1480
b/tkinter/Tkinter.py,1152
dules/_tkinter.c,1280
dules/arraymodule.c,1157
dules/audioop.c,1238
ols/scripts/texi2html.py,1191
mo/sgi/video/VFile.py,1193
c/Modules/menu/Menumodule.c,927
mo/sgi/video/Vb.py,963
jects/stringobject.c,933
dules/svmodule.c,994
c/Unsupported/mactcp/mactcpmodule.c,988
c/Modules/win/Winmodule.c,874
thon/import.c,967
jects/fileobject.c,843
dules/clmodule.c,953
c/Modules/dlg/Dlgmodule.c,825
jects/mappingobject.c,848
jects/listobject.c,795
dules/cdmodule.c,877
b/aifc.py,1015
c/Modules/qd/qdgen.py,789
c/Modules/snd/Sndmodule.c,723
mo/rpc/rpc.py,863
c/Python/macglue.c,892
dules/rgbimgmodule.c,752
thon/pythonrun.c,765
mo/sgi/gl/mclock.py,736
dules/almodule.c,777
jects/intobject.c,779
c/Modules/ctl/Ctlmodule.c,691
rser/pgen.c,766
dules/imageop.c,735
rser/tokenizer.c,719
b/mhlib.py,817
b/newimp.py,973
dules/regexmodule.c,592
mo/dns/dnslib.py,588
dules/rotormodule.c,813
thon/getargs.c,604
c/Modules/ctbmodule.c,585
mo/tkinter/www/htmllib.py,639
thon/marshal.c,551
c/Modules/macfsmodule.c,603
dules/stropmodule.c,564
b/htmllib.py,634
mo/tkinter/www/fmt.py,627
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,621
c/Modules/macmodule.c,519
jects/object.c,522
c/Modules/macspeechmodule.c,552
dules/imgfile.c,527
mo/stdwin/ibrowse/ibrowse.py,617
ols/bgen/bgen/scantools.py,508
b/test/test_grammar.py,513
b/plat-irix5/DEVICE.py,400
c/Lib/test/aete.py,475
clude/rename2.h,431
b/plat-irix5/GL.py,393
dules/signalmodule.c,487
mo/tkinter/guido/AttrDialog.py,463
c/Lib/toolbox/aetools.py,552
jects/tupleobject.c,458
dules/sunaudiodev.c,488
jects/floatobject.c,490
mo/sgi/gl/kunst.py,426
b/urllib.py,520
mo/stdwin/wdiff.py,484
thon/modsupport.c,472
dules/structmodule.c,487
b/pstats.py,535
c/Unsupported/mactcp/macdnrmodule.c,460
b/pickle.py,560
c/MPW/Makefile,513
c/Unsupported/mactcp/tcpglue.c,477
b/wave.py,559
b/sunos5/TERMIOS.py,385
thon/thread_sgi.h,439
mo/scripts/freeze.py,480
c/Lib/FrameWork.py,480
mo/sgi/video/Vrecb.py,429
c/think/macconsole/macconsole.c,437
dules/timemodule.c,411
mo/sgi/video/Vrec.py,413
b/lib-old/Para.py,408
b/pdb.py,491
clude/rename1.h,360
mo/stdwin/jukebox.py,413
thon/cgensupport.c,377
b/plat-irix5/flp.py,455
thon/importdl.c,424
b/plat-irix5/TERMIOS.py,339
b/sunau.py,472
ols/modulator/modulator.py,379
b/profile.py,612
b/urlopen.py,410
dules/nismodule.c,344
dules/cgen.py,532
mo/sockets/gopher.py,347
jects/accessobject.c,360
mo/sgi/video/Vplay.py,355
dules/gdbmmodule.c,350
rser/parser.c,421
b/plat-irix5/FL.py,289
c/mwerks/malloc/malloc.c,415
mo/stdwin/python.py,449
b/ftplib.py,420
b/bdb.py,362
c/Modules/ae/aegen.py,315
mo/cwilib/vt100.py,328
mo/threads/sync.py,603
c/Modules/config.c,376
jects/frameobject.c,330
dules/fmmodule.c,326
ols/scripts/pindent.py,440
mo/sgi/gl/glstdwin/glstdwin.py,400
mo/sgi/video/VcrIndex.py,327
mo/pdist/cvslib.py,357
mo/pdist/FSProxy.py,322
mo/sgi/audio_stdwin/jukebox.py,321
thon/sysmodule.c,312
mo/sgi/video/camcorder.py,266
dules/sybasemodule.c,309
