id,weight
c/Modules/qt/Qtmodule.c,6007
c/Modules/qd/Qdmodule.c,3943
thon/ceval.c,2989
thon/compile.c,2864
dules/stdwinmodule.c,2651
nfigure,3037
dules/flmodule.c,2535
c/tools/partparse.py,2165
dules/regexpr.c,1702
dules/parsermodule.c,2176
sc/python-mode.el,2058
sc/python-mode-old.el,2056
thon/bltinmodule.c,1678
c/Modules/qt/qtgen.py,1712
thon/graminit.c,1436
dules/posixmodule.c,1563
dules/mpzmodule.c,1809
b/tkinter/Tkinter.py,1376
c/Modules/res/Resmodule.c,1393
dules/_cursesmodule.c,1584
c/Modules/win/Winmodule.c,1354
jects/longobject.c,1423
jects/classobject.c,1308
ols/scripts/texi2html.py,1500
dules/socketmodule.c,1504
dules/_tkinter.c,1388
c/Modules/ae/AEmodule.c,1181
dules/clmodule.c,1282
dules/arraymodule.c,1157
dules/audioop.c,1238
c/Modules/menu/Menumodule.c,1045
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
jects/abstract.c,1026
c/Modules/dlg/Dlgmodule.c,933
mo/sgi/video/Vb.py,963
jects/stringobject.c,933
c/Modules/qd/qdgen.py,999
dules/svmodule.c,994
c/Unsupported/mactcp/mactcpmodule.c,990
thon/import.c,1020
c/Modules/snd/Sndmodule.c,853
jects/fileobject.c,846
jects/mappingobject.c,845
jects/listobject.c,795
dules/cdmodule.c,877
b/aifc.py,1015
c/Modules/cm/Cmmodule.c,767
c/Modules/macfsmodule.c,827
mo/rpc/rpc.py,863
dules/rgbimgmodule.c,752
c/Modules/ctl/Ctlmodule.c,711
mo/sgi/gl/mclock.py,736
thon/pythonrun.c,744
dules/almodule.c,777
jects/intobject.c,779
rser/tokenizer.c,745
rser/pgen.c,766
dules/imageop.c,742
c/Modules/list/Listmodule.c,648
dules/bsddbmodule.c,667
b/mhlib.py,817
thon/marshal.c,632
b/urllib.py,728
c/Python/macglue.c,759
dules/regexmodule.c,592
c/Modules/macmodule.c,590
dules/stropmodule.c,602
mo/dns/dnslib.py,588
dules/binascii.c,743
jects/complexobject.c,573
thon/getargs.c,615
dules/rotormodule.c,813
jects/object.c,578
c/Modules/ctbmodule.c,585
c/Lib/FrameWork.py,653
mo/tkinter/www/htmllib.py,639
dules/objc.c,651
mo/tkinter/www/fmt.py,627
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,622
c/Lib/toolbox/AERegistry.py,438
c/Lib/toolbox/AppleScript_Suite.py,1056
c/Modules/macspeechmodule.c,552
dules/imgfile.c,527
jects/floatobject.c,526
ols/bgen/bgen/scantools.py,513
mo/stdwin/ibrowse/ibrowse.py,617
b/test/test_grammar.py,513
thon/importdl.c,523
b/plat-irix5/DEVICE.py,400
c/Lib/toolbox/Metrowerks_Shell_Suite.py,752
c/Lib/test/aete.py,475
clude/rename2.h,430
b/plat-irix5/GL.py,393
dules/signalmodule.c,487
mo/tkinter/guido/AttrDialog.py,463
jects/tupleobject.c,458
dules/sunaudiodev.c,488
dules/timemodule.c,465
mo/sgi/gl/kunst.py,426
mo/stdwin/wdiff.py,484
thon/modsupport.c,472
c/Modules/evt/Evtmodule.c,426
b/mimify.py,415
dules/structmodule.c,487
b/pstats.py,532
c/Unsupported/mactcp/macdnrmodule.c,459
b/pickle.py,560
b/binhex.py,489
c/MPW/Makefile,513
c/Unsupported/mactcp/tcpglue.c,477
b/wave.py,559
b/sunos5/TERMIOS.py,385
mo/pdist/rcvs.py,481
thon/thread_sgi.h,439
mo/scripts/freeze.py,480
c/Modules/fm/Fmmodule.c,400
mo/sgi/video/Vrecb.py,429
c/think/macconsole/macconsole.c,437
c/scripts/gensuitemodule.py,466
mo/sgi/video/Vrec.py,413
b/lib-old/Para.py,409
mo/tkinter/www/Para.py,408
b/pdb.py,492
clude/rename1.h,360
mo/stdwin/jukebox.py,413
thon/cgensupport.c,377
b/plat-irix5/flp.py,455
b/sunau.py,474
b/plat-irix5/TERMIOS.py,339
dules/gdbmmodule.c,382
b/profile.py,615
dules/dbhashmodule.c,380
ols/modulator/modulator.py,378
b/ftplib.py,466
b/urlopen.py,410
dules/nismodule.c,344
b/htmllib.py,428
dules/cgen.py,532
mo/sockets/gopher.py,347
jects/frameobject.c,356
c/Lib/toolbox/aetypes.py,452
jects/accessobject.c,360
mo/sgi/video/Vplay.py,355
thon/sysmodule.c,349
rser/parser.c,421
c/Python/macmain.c,395
c/scripts/MkDistr_ui.py,346
b/plat-irix5/FL.py,289
c/mwerks/malloc/malloc.c,415
mo/stdwin/python.py,449
b/bdb.py,362
dules/cmathmodule.c,314
mo/cwilib/vt100.py,328
mo/threads/sync.py,603
dules/fmmodule.c,326
ols/scripts/pindent.py,440
mo/pdist/cvslib.py,364
ols/scripts/ftpmirror.py,303
c/Lib/toolbox/aepack.py,356
mo/sgi/gl/glstdwin/glstdwin.py,400
mo/sgi/video/VcrIndex.py,327
b/rfc822.py,417
mo/pdist/FSProxy.py,322
b/formatter.py,302
mo/sgi/audio_stdwin/jukebox.py,321
b/plat-linux1/TERMIOS.py,270
mo/sgi/video/camcorder.py,266
dules/sybasemodule.c,309
dules/threadmodule.c,326
b/stdwin/wdb.py,316
mo/sgi/video/Vedit.py,301
dules/dbmmodule.c,300
b/sgmllib.py,326
b/stdwin/Buttons.py,411
c/Lib/toolbox/Standard_Suite.py,498
mo/tkinter/www/sgmllib.py,321
c/Modules/ae/aegen.py,277
b/test/test_b1.py,273
ols/scripts/fixcid.py,318
c/Lib/toolbox/QuickTime.py,234
c/think/fopenRF.c,336
c/Modules/win/wingen.py,280
c/Python/macgetpath.c,299
mo/classes/bitvec.py,332
thon/structmember.c,262
b/plat-irix5/IOCTL.py,233
thon/traceback.c,271
c/Unsupported/mactcp/socket.py,304
c/Modules/res/resgen.py,277
mo/tkinter/guido/tkman.py,255
c/Python/macgetargv.c,316
b/nntplib.py,448
dules/md5c.c,337
c/Modules/menu/menugen.py,272
b/ni1.py,390
c/Lib/toolbox/WWW_Suite.py,416
b/plat-irix5/readcd.py,242
mo/stdwin/miniedit.py,356
mo/tkinter/guido/mbox.py,285
ols/scripts/mailerdaemon.py,257
b/test/test_b2.py,260
c/scripts/MkDistr.py,280
ols/bgen/bgen/bgenGenerator.py,259
mo/sgi/video/Vcopy.py,291
mo/ibrowse/ifile.py,328
mo/stdwin/ibrowse/ifile.py,328
c/Unsupported/mactcp/dnrglue.c,301
mo/sgi/video/Viewer.py,255
b/audiodev.py,244
dules/mathmodule.c,260
jects/methodobject.c,260
c/Lib/audiodev.py,241
mo/threads/condition.py,475
c/Demo/speech/grail.py,228
b/ntpath.py,347
b/rexec.py,316
b/dospath.py,345
b/ihooks.py,366
mo/scripts/newslist.py,365
mo/sgi/video/video.py,218
c/scripts/BuildApplet.py,300
clude/object.h,450
ols/freeze/nfreeze.py,312
b/stringold.py,266
jects/rangeobject.c,257
mo/sgi/audio_stdwin/rec.py,268
mo/sgi/video/Vrecc.py,281
rser/grammar.c,249
c/Modules/qd/qdsupport.py,371
dules/dlmodule.c,244
b/persist.py,297
c/Modules/dlg/dlggen.py,228
b/copy.py,273
mo/cwilib/telnetlib.py,321
dules/makesetup,248
c/Modules/macosmodule.c,260
c/Demo/scripting/Eudora_Suite.py,363
mo/classes/Complex.py,288
b/mailcap.py,223
b/plat-linux1/IN.py,239
ols/freeze/freeze.py,300
c/Modules/config.c,232
ols/scripts/pystone.py,229
thon/thread_pthread.h,283
mo/pdist/cmptree.py,208
b/plat-irix5/cddb.py,208
c/Lib/toolbox/Finder_Suite.py,745
dules/termios.c,243
b/posixpath.py,306
b/pipes.py,301
b/BaseHTTPServer.py,482
ols/modulator/Tkextra.py,235
mo/cwilib/cwilib.py,213
jects/funcobject.c,211
b/stdwin/Split.py,211
b/test/test_audioop.py,202
b/whatsound.py,270
b/test/test_types.py,182
b/Complex.py,275
mo/pdist/rcslib.py,337
mo/pdist/cvslock.py,280
c/mkapplet.py,257
b/tkinter/Canvas.py,176
mo/sgi/al/intercom.py,212
b/stdwin/mainloop.py,256
thon/thread_solaris.h,226
c/Demo/sound/morse.py,180
c/Demo/interslip/interslipmodule.c,225
mo/tkinter/guido/ManPage.py,220
sc/faq2html.py,193
b/tb.py,177
b/stdwin/tablewin.py,236
b/gopherlib.py,191
b/pyclbr.py,205
dules/selectmodule.c,207
dules/main.c,246
b/dis.py,190
mo/sgi/video/Dsend.py,188
c/Demo/sound/morselib.py,188
b/plat-irix5/CL_old.py,236
mo/rpc/nfsclient.py,201
mo/cwilib/form.py,170
c/Demo/PICTbrowse/PICTbrowse2.py,187
mo/stdwin/clock.py,193
rser/metagrammar.c,176
b/plat-irix5/panel.py,281
mo/rpc/xdr.py,201
rser/pgenmain.c,204
mo/stdwin/lpwin.py,198
b/tkinter/FileDialog.py,214
b/cgi.py,303
b/plat-linux1/SOCKET.py,183
ols/scripts/objgraph.py,215
mo/sgi/video/tomono.c,165
b/random.py,260
thon/pythonmain.c,211
mo/pdist/rrcs.py,164
b/stdwin/WindowParent.py,189
c/Demo/scripting/Standard_Suite.py,277
mo/tkinter/guido/ShellWindow.py,164
thon/thread_nt.h,245
b/plat-irix5/ERRNO.py,147
b/urlparse.py,207
c/Modules/qt/qtsupport.py,224
c/Modules/ctl/ctlgen.py,173
mo/scripts/eqfix.py,199
mo/sgi/video/makemovie.py,218
b/mailbox.py,168
b/dircmp.py,203
thon/thread_lwp.h,202
sc/pyimenu.el,305
b/mimetools.py,187
mo/classes/Dates.py,218
c/Modules/snd/sndsupport.py,226
b/stdwin/formatter.py,207
mo/tkinter/guido/svkill.py,149
dules/newmodule.c,186
b/CGIHTTPServer.py,203
mo/tkinter/www/www13.py,218
jects/moduleobject.c,175
dules/syslogmodule.c,209
mo/sgi/video/aplay.py,167
c/Modules/list/listgen.py,160
c/Lib/test/echo.py,167
ols/bgen/bgen/bgenObjectDefinition.py,183
c/scripts/EditPythonPrefs.py,168
dules/xxmodule.c,210
c/Demo/PICTbrowse/PICTbrowse.py,165
mo/tkinter/www/www12.py,210
c/Modules/snd/sndgen.py,158
mo/sgi/video/Vinfo.py,174
c/Demo/imgbrowse/imgbrowse.py,156
mo/sgi/video/OldVcopy.py,148
