id,weight
c/Modules/qt/Qtmodule.c,6007
c/Modules/qd/Qdmodule.c,3943
nfigure,3638
thon/ceval.c,3055
thon/compile.c,3005
dules/stdwinmodule.c,2651
dules/flmodule.c,2535
dules/parsermodule.c,2619
sc/python-mode.el,2428
c/Modules/waste/wastemodule.c,1947
sc/python-mode-old.el,2389
c/mwerks/projects/build.mac68k.shared/PythonCoreCFM68K.mu.exp,1596
dules/posixmodule.c,1799
b/tkinter/Tkinter.py,1657
dules/regexpr.c,1704
thon/bltinmodule.c,1746
c/tools/partparse.py,2117
c/mwerks/projects/build.macppc.shared/PythonCorePPC.mu.exp,1439
thon/graminit.c,1425
dules/mpzmodule.c,1828
jects/classobject.c,1444
c/Modules/res/Resmodule.c,1392
dules/_cursesmodule.c,1584
c/Modules/win/Winmodule.c,1354
jects/longobject.c,1423
dules/socketmodule.c,1575
ols/scripts/texi2html.py,1493
dules/_tkinter.c,1473
c/Modules/ae/AEmodule.c,1181
dules/clmodule.c,1282
dules/arraymodule.c,1157
dules/audioop.c,1238
c/Modules/menu/Menumodule.c,1045
c/Modules/te/TEmodule.c,1040
c/Modules/dlg/Dlgmodule.c,1014
jects/abstract.c,1087
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
mo/sgi/video/Vb.py,963
jects/stringobject.c,923
dules/svmodule.c,994
c/Unsupported/mactcp/mactcpmodule.c,990
thon/import.c,1039
thon/getargs.c,999
c/Modules/macfsmodule.c,965
jects/fileobject.c,846
c/Modules/snd/Sndmodule.c,803
c/Lib/FrameWork.py,945
jects/mappingobject.c,852
jects/listobject.c,801
dules/cdmodule.c,877
b/aifc.py,1015
c/Demo/waste/htmled.py,826
dules/stropmodule.c,795
c/Modules/cm/Cmmodule.c,767
mo/rpc/rpc.py,891
c/Python/macglue.c,929
dules/rgbimgmodule.c,752
c/Modules/ctl/Ctlmodule.c,713
b/mhlib.py,890
c/Lib/macerrors.py,626
mo/sgi/gl/mclock.py,736
thon/pythonrun.c,744
dules/almodule.c,777
jects/intobject.c,779
c/Modules/list/Listmodule.c,679
rser/tokenizer.c,745
rser/pgen.c,766
dules/imageop.c,742
dules/bsddbmodule.c,685
thon/marshal.c,664
b/urllib.py,755
b/plat-irix5/TERMIOS.py,576
jects/complexobject.c,627
c/Demo/waste/swed.py,628
jects/object.c,626
b/cgi.py,1284
thon/importdl.c,667
c/Modules/macmodule.c,604
dules/regexmodule.c,595
dules/binascii.c,743
mo/dns/dnslib.py,588
c/Modules/macosmodule.c,642
dules/rotormodule.c,813
c/Modules/ctbmodule.c,585
mo/tkinter/www/htmllib.py,639
mo/tkinter/www/fmt.py,627
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,622
b/ftplib.py,546
c/Lib/toolbox/AERegistry.py,438
dules/python.exp,436
c/Lib/toolbox/AppleScript_Suite.py,1051
c/Tools/twit/TwitCore.py,550
ols/bgen/bgen/scantools.py,531
c/Modules/macspeechmodule.c,552
dules/imgfile.c,527
jects/floatobject.c,526
c/Lib/toolbox/Metrowerks_Shell_Suite.py,824
mo/stdwin/ibrowse/ibrowse.py,617
dules/timemodule.c,487
b/test/test_grammar.py,513
clude/rename2.h,440
b/plat-irix5/DEVICE.py,400
dules/signalmodule.c,493
c/Lib/test/aete.py,475
dules/errnomodule.c,561
b/plat-irix5/GL.py,393
jects/tupleobject.c,458
dules/sunaudiodev.c,488
mo/sgi/gl/kunst.py,426
b/pickle.py,594
c/Demo/building.html,476
mo/tkinter/guido/AttrDialog.py,452
mo/stdwin/wdiff.py,484
thon/modsupport.c,472
c/Modules/evt/Evtmodule.c,426
b/binhex.py,505
b/mimify.py,424
dules/structmodule.c,487
b/pstats.py,532
c/Unsupported/mactcp/macdnrmodule.c,459
c/MPW/Makefile,513
c/Unsupported/mactcp/tcpglue.c,477
b/sunos5/TERMIOS.py,385
mo/pdist/rcvs.py,481
thon/thread_sgi.h,439
mo/scripts/freeze.py,480
added/python_nt.def,350
b/plat-aix4/FCNTL.py,387
b/wave.py,559
c/Demo/waste/wed.py,421
mo/sgi/video/Vrecb.py,429
b/pdb.py,511
c/Modules/fm/Fmmodule.c,397
c/scripts/EditPythonPrefs.py,424
c/think/macconsole/macconsole.c,437
mo/sgi/video/Vrec.py,413
c/scripts/gensuitemodule.py,462
mo/tkinter/www/Para.py,408
b/sgmllib.py,446
b/lib-old/Para.py,409
b/formatter.py,402
c/Tools/twit/mactwit_browser.py,429
thon/sysmodule.c,405
mo/stdwin/jukebox.py,413
clude/rename1.h,360
thon/cgensupport.c,377
b/plat-irix5/flp.py,455
c/Python/macmain.c,477
c/Demo/plugins.html,363
c/Demo/using.html,386
dules/gdbmmodule.c,388
dules/dbhashmodule.c,380
b/profile.py,614
ols/modulator/modulator.py,379
b/sunau.py,474
ols/scripts/mailerdaemon.py,351
b/urlopen.py,410
dules/nismodule.c,344
b/htmllib.py,428
c/Python/macgetpath.c,379
dules/cgen.py,532
jects/accessobject.c,364
c/scripts/MkDistr_ui.py,364
mo/sockets/gopher.py,347
b/rfc822.py,458
jects/frameobject.c,356
c/Lib/toolbox/aetypes.py,452
mo/sgi/video/Vplay.py,355
c/mwerks/malloc/malloc.c,422
rser/parser.c,421
c/Demo/textedit/ped.py,345
b/plat-irix5/FL.py,289
c/Tools/twit/mac_widgets.py,314
mo/stdwin/python.py,449
b/plat-linux2/TERMIOS.py,316
b/bdb.py,362
dules/cmathmodule.c,314
mo/cwilib/vt100.py,328
mo/threads/sync.py,603
ols/scripts/ftpmirror.py,318
b/rexec.py,384
dules/fmmodule.c,326
ols/scripts/pindent.py,440
mo/pdist/cvslib.py,364
c/Lib/toolbox/aepack.py,356
mo/sgi/gl/glstdwin/glstdwin.py,400
mo/sgi/video/VcrIndex.py,327
mo/pdist/FSProxy.py,322
mo/sgi/audio_stdwin/jukebox.py,321
mo/sgi/video/camcorder.py,266
b/plat-linux1/TERMIOS.py,270
dules/threadmodule.c,326
mo/sgi/video/Vedit.py,301
b/stdwin/wdb.py,316
b/xdrlib.py,324
c/Unsupported/stdwinmodule.mu.exp,241
dules/dbmmodule.c,300
b/stdwin/Buttons.py,411
mo/tkinter/www/sgmllib.py,321
b/plat-linux2/IN.py,303
c/Lib/toolbox/Standard_Suite.py,493
b/test/test_b1.py,273
ols/scripts/fixcid.py,318
b/stringold.py,316
c/Lib/toolbox/QuickTime.py,234
c/think/fopenRF.c,336
c/Modules/waste/wastesupport.py,403
mo/classes/bitvec.py,332
thon/structmember.c,262
thon/traceback.c,271
c/Unsupported/mactcp/socket.py,304
b/plat-irix5/IOCTL.py,233
b/ni1.py,435
c/Python/macgetargv.c,316
b/nntplib.py,448
dules/md5c.c,335
b/plat-irix5/readcd.py,242
mo/stdwin/miniedit.py,356
c/scripts/MkDistr.py,281
mo/tkinter/guido/mbox.py,285
c/Lib/toolbox/WWW_Suite.py,411
b/test/test_b2.py,260
ols/bgen/bgen/bgenGenerator.py,259
mo/sgi/video/Vcopy.py,291
mo/ibrowse/ifile.py,328
mo/stdwin/ibrowse/ifile.py,328
c/Unsupported/mactcp/dnrglue.c,301
mo/sgi/video/Viewer.py,255
jects/methodobject.c,260
c/Lib/audiodev.py,241
mo/tkinter/guido/tkman.py,239
c/Demo/speech/grail.py,228
mo/threads/condition.py,475
b/audiodev.py,244
b/ihooks.py,370
clude/object.h,461
c/Tools/twit/mactwit_app.py,252
b/dospath.py,345
c/scripts/BuildApplet.py,299
mo/scripts/newslist.py,365
mo/sgi/video/video.py,218
ols/freeze/freeze.py,299
b/ntpath.py,340
jects/rangeobject.c,257
b/plat-irix5/FILE.py,239
b/copy.py,277
dules/mathmodule.c,243
mo/sgi/audio_stdwin/rec.py,268
c/Modules/qd/qdsupport.py,374
dules/makesetup,252
dules/fcntlmodule.c,257
mo/sgi/video/Vrecc.py,281
rser/grammar.c,249
dules/dlmodule.c,244
c/Modules/config.c,243
b/persist.py,297
mo/cwilib/telnetlib.py,321
mo/classes/Complex.py,298
c/Demo/example1.html,211
b/tkinter/FileDialog.py,267
b/mailcap.py,223
b/plat-linux1/IN.py,239
b/plat-aix4/TERMIOS.py,206
c/Demo/scripting/Eudora_Suite.py,358
ols/scripts/pystone.py,229
dules/selectmodule.c,236
mo/pdist/cmptree.py,208
b/plat-irix5/cddb.py,208
dules/termios.c,243
b/posixpath.py,312
thon/thread_pthread.h,286
b/pipes.py,301
b/dos_8x3/basehttp.py,482
ols/modulator/Tkextra.py,235
c/Lib/toolbox/Finder_Suite.py,740
b/plat-aix3/TERMIOS.py,195
mo/cwilib/cwilib.py,213
dules/operator.c,269
c/Lib/toolbox/Finder_7_0_Suite.py,310
jects/funcobject.c,211
b/stdwin/Split.py,211
b/test/test_audioop.py,202
b/dis.py,201
b/dos_8x3/complex.py,275
b/whatsound.py,270
b/test/test_types.py,182
mo/pdist/rcslib.py,337
mo/pdist/cvslock.py,280
c/Lib/test/AEservertest.py,211
b/tkinter/Canvas.py,181
added/setup_nt/setup.py,271
added/config.h,470
c/mkapplet.py,257
thon/thread_solaris.h,227
b/traceback.py,183
mo/sgi/al/intercom.py,212
b/stdwin/mainloop.py,256
c/Demo/sound/morse.py,180
c/Modules/scrap/Scrapmodule.c,202
dules/newmodule.c,212
c/Demo/interslip/interslipmodule.c,225
mo/tkinter/guido/ManPage.py,220
b/stdwin/tablewin.py,236
b/mailbox.py,186
b/tb.py,177
b/gopherlib.py,191
b/pyclbr.py,205
mo/sgi/video/Dsend.py,188
b/plat-linux2/SOCKET.py,199
c/Demo/example2.html,178
c/scripts/binhextree.py,207
b/plat-irix5/CL_old.py,236
c/Demo/sound/morselib.py,188
dules/main.c,242
mo/rpc/nfsclient.py,201
mo/cwilib/form.py,170
c/Demo/PICTbrowse/PICTbrowse2.py,187
mo/stdwin/clock.py,193
rser/metagrammar.c,176
b/plat-irix5/panel.py,281
mo/rpc/xdr.py,201
b/urlparse.py,218
c/Demo/applescript.html,172
mo/stdwin/lpwin.py,198
rser/pgenmain.c,204
dules/syslogmodule.c,221
b/plat-linux1/SOCKET.py,183
b/random.py,260
ols/scripts/objgraph.py,215
mo/sgi/video/tomono.c,165
thon/pythonmain.c,211
jects/sliceobject.c,184
