id,weight
dules/glmodule.c,8519
c/Modules/qt/Qtmodule.c,6077
c/Modules/qd/Qdmodule.c,4293
nfigure,4046
dules/almodule.c,3486
thon/compile.c,3439
dules/cPickle.c,3918
thon/ceval.c,2888
dules/clmodule.c,2603
dules/stdwinmodule.c,2663
dules/flmodule.c,2532
dules/posixmodule.c,2326
thon/bltinmodule.c,2183
dules/parsermodule.c,2662
dules/regexpr.c,2130
c/Modules/waste/wastemodule.c,2010
sc/python-mode.el,2482
sc/python-mode-old.el,2442
b/lib-tk/Tkinter.py,1743
c/tools/partparse.py,2127
thon/import.c,1885
c/mwerks/projects/build.mac/PythonCorePPC.prj.exp,1481
c/mwerks/projects/build.mac/PythonCoreCFM68K.prj.exp,1480
thon/graminit.c,1453
dules/mpzmodule.c,1851
jects/classobject.c,1486
c/Modules/win/Winmodule.c,1412
c/Modules/res/Resmodule.c,1397
jects/longobject.c,1501
c/Lib/scripting/Metrowerks_Shell_Suite.py,1820
dules/_cursesmodule.c,1592
dules/_tkinter.c,1689
dules/socketmodule.c,1658
ols/scripts/texi2html.py,1590
b/re.py,1508
dules/arraymodule.c,1334
c/Lib/scripting/Finder_Suite.py,1632
dules/audioop.c,1403
c/Modules/ae/AEmodule.c,1190
dules/structmodule.c,1307
c/Lib/scripting/AppleScript_Suite.py,1600
jects/stringobject.c,1112
c/Modules/menu/Menumodule.c,1048
c/Modules/te/TEmodule.c,1044
b/plat-sunos5/IN.py,1086
c/Modules/dlg/Dlgmodule.c,1018
jects/abstract.c,1123
jects/fileobject.c,1036
dules/puremodule.c,1155
thon/pythonrun.c,1157
c/Modules/calldll.c,1191
jects/listobject.c,1060
jects/dictobject.c,1049
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
dules/reopmodule.c,1053
dules/svmodule.c,1076
thon/getargs.c,1070
mo/sgi/video/Vb.py,963
dules/stropmodule.c,1039
c/Unsupported/mactcp/mactcpmodule.c,990
c/Python/macglue.c,1166
c/Modules/macfsmodule.c,999
dules/errnomodule.c,825
dules/zlibmodule.c,821
c/Lib/FrameWork.py,981
b/mhlib.py,1008
ols/faqwiz/faqwiz.py,833
c/Modules/snd/Sndmodule.c,807
dules/cdmodule.c,889
b/aifc.py,1020
b/urllib.py,907
c/Demo/waste/htmled.py,827
c/Modules/cm/Cmmodule.c,775
dules/rgbimgmodule.c,790
mo/rpc/rpc.py,891
c/Modules/ctl/Ctlmodule.c,743
thon/marshal.c,746
