id,weight
dules/unicodedatabase.c,65728
c/Modules/qt/Qtmodule.c,8010
dules/glmodule.c,8518
jects/unicodectype.c,5047
c/Modules/qd/Qdmodule.c,4960
nfigure,5748
dules/posixmodule.c,4860
jects/unicodeobject.c,4732
dules/cPickle.c,4559
thon/compile.c,3540
dules/pypcre.c,4753
dules/almodule.c,3418
thon/ceval.c,2977
jects/stringobject.c,2859
dules/clmodule.c,2598
sc/python-mode.el,3125
c/Modules/win/Winmodule.c,2496
c/Build/PythonCorePPC.prj.exp,2299
dules/socketmodule.c,2766
thon/bltinmodule.c,2492
c/Modules/waste/wastemodule.c,2308
c/Build/PythonCoreCFM68K.prj.exp,2064
dules/flmodule.c,2532
thon/import.c,2454
dules/parsermodule.c,2723
c/Modules/ctl/Ctlmodule.c,2119
dules/_cursesmodule.c,2255
b/lib-tk/Tkinter.py,1982
dules/regexpr.c,2135
c/Modules/menu/Menumodule.c,1936
dules/_tkinter.c,2304
added/os2vacpp/makefile,1925
jects/longobject.c,1866
jects/classobject.c,1697
thon/graminit.c,1473
c/Modules/snd/Sndmodule.c,1534
c/Modules/res/Resmodule.c,1510
dules/mpzmodule.c,1857
c/Modules/icn/Icnmodule.c,1424
jects/abstract.c,1575
dules/arraymodule.c,1482
added/winreg.c,1472
c/Lib/lib-scripting/Metrowerks_Shell_Suite.py,1820
b/plat-sunos5/STROPTS.py,1450
ols/scripts/texi2html.py,1613
c/Modules/dlg/Dlgmodule.c,1332
c/Modules/app/Appmodule.c,1284
jects/listobject.c,1557
dules/audioop.c,1424
dules/structmodule.c,1376
c/Lib/lib-scripting/Finder_Suite.py,1632
c/perl/python.perl,1339
c/Modules/ae/AEmodule.c,1202
c/Lib/macerrors.py,1098
c/Tools/IDE/PyEdit.py,1259
dules/stropmodule.c,1310
thon/getargs.c,1337
c/tools/html2texi.pl,1750
dules/_sre.c,1453
c/Lib/lib-scripting/AppleScript_Suite.py,1600
jects/fileobject.c,1174
c/Modules/te/TEmodule.c,1113
c/Modules/drag/Dragmodule.c,1088
jects/dictobject.c,1124
b/plat-sunos5/IN.py,1086
dules/puremodule.c,1155
thon/pythonrun.c,1193
jects/object.c,1123
c/Modules/calldll.c,1194
b/urllib.py,1166
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
dules/svmodule.c,1076
c/Tools/IDE/Wtext.py,983
ols/compiler/compiler/transformer.py,1223
c/tools/sgmlconv/docfixer.py,1030
mo/sgi/video/Vb.py,962
c/Unsupported/mactcp/mactcpmodule.c,990
c/Modules/Nav.c,967
c/Modules/macfsmodule.c,995
c/Lib/FrameWork.py,1043
dules/zlibmodule.c,893
jects/intobject.c,966
b/xmllib.py,905
dules/errnomodule.c,828
c/Lib/lib-toolbox/AERegistry.py,766
dules/bsddbmodule.c,881
c/Modules/cm/Cmmodule.c,866
dules/mmapmodule.c,869
b/urllib2.py,1063
c/Tools/IDE/PyDebugger.py,887
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
dules/timemodule.c,881
thon/marshal.c,810
b/mhlib.py,1003
thon/exceptions.c,994
dules/cdmodule.c,889
c/Python/macglue.c,1008
rser/tokenizer.c,849
c/Lib/lib-toolbox/QuickTime.py,693
dules/rgbimgmodule.c,800
c/Demo/waste/htmled.py,827
b/pickle.py,894
mo/rpc/rpc.py,891
jects/floatobject.c,815
c/Modules/list/Listmodule.c,734
b/aifc.py,958
b/plat-irix6/TERMIOS.py,676
dules/pyexpat.c,870
ols/compiler/compiler/pycodegen.py,808
dules/binascii.c,956
mo/sgi/gl/mclock.py,736
dules/imageop.c,770
thon/sysmodule.c,750
c/Modules/macosmodule.c,784
rser/pgen.c,780
c/tools/sgmlconv/conversion.xml,658
dules/regexmodule.c,747
b/imaplib.py,1119
c/Modules/qdoffs/Qdoffsmodule.c,675
b/rfc822.py,953
b/dos-8x3/rfc822-n.py,946
b/cgi.py,1385
ols/idle/PyShell.py,767
c/Modules/macmodule.c,647
c/Tools/IDE/Wbase.py,720
b/ftplib.py,720
dules/pcremodule.c,687
dules/signalmodule.c,695
b/plat-irix5/TERMIOS.py,576
ols/idle/EditorWindow.py,728
ols/webchecker/webchecker.py,824
jects/complexobject.c,653
c/Tools/IDE/Wwindows.py,628
c/Demo/waste/swed.py,629
mo/tkinter/guido/sortvisu.py,634
ols/compiler/compiler/ast.py,709
jects/bufferobject.c,640
c/Lib/lib-toolbox/Appearance.py,514
c/Modules/ctbmodule.c,615
mo/dns/dnslib.py,588
b/test/re_tests.py,590
b/threading.py,637
jects/tupleobject.c,576
c/Contrib/BBPy/source/BB-stuff/ExternalInterface.h,716
dules/rotormodule.c,670
c/scripts/gensuitemodule.py,622
dules/cStringIO.c,667
added/os2vacpp/python.def,475
c/Lib/lib-scripting/Standard_Suite.py,713
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,623
dules/imgfile.c,569
ols/bgen/bgen/scantools.py,567
mo/metaclasses/index.html,605
c/Modules/icgluemodule.c,596
dules/gdbmmodule.c,535
dules/_codecsmodule.c,575
c/perl/l2hinit.perl,609
b/test/test_grammar.py,544
dules/sunaudiodev.c,549
c/Demo/building.html,532
c/Tools/twit/TwitCore.py,549
c/tools/sgmlconv/latex2esis.py,529
thon/modsupport.c,535
ols/compiler/compiler/pyassem.py,543
thon/thread_sgi.h,533
b/distutils/dist.py,866
b/test/test_b1.py,470
c/Modules/macspeechmodule.c,546
added/getpathp.c,617
c/Python/macmain.c,577
b/sre_parse.py,497
b/plat-sunos5/TERMIOS.py,433
b/plat-irix6/DEVICE.py,400
b/zipfile.py,470
b/bdb.py,558
c/Demo/mpwextensions.html,484
c/Lib/test/aete.py,475
c/Lib/lib-toolbox/Controls.py,401
dules/shamodule.c,604
dules/getpath.c,634
b/plat-irix6/GL.py,393
c/Tools/IDE/Wlists.py,469
mo/sgi/gl/kunst.py,426
dules/tclNotify.c,964
b/binhex.py,530
ols/idle/AutoIndent.py,553
b/pdb.py,943
b/distutils/command/sdist.py,641
mo/tkinter/guido/AttrDialog.py,452
c/Modules/snd/Sndihooks.c,514
b/mimify.py,463
c/Modules/fm/Fmmodule.c,437
c/Tools/IDE/PyBrowser.py,438
c/Modules/evt/Evtmodule.c,430
c/Tools/IDE/Wapplication.py,441
ols/freeze/modulefinder.py,437
c/Modules/Printingmodule.c,474
c/Demo/scripting/Eudora_Suite.py,547
thon/errors.c,488
b/plat-linux2/IN.py,430
ols/idle/TreeWidget.py,471
b/pstats.py,526
b/sgmllib.py,476
c/Unsupported/mactcp/macdnrmodule.c,459
c/Lib/lib-toolbox/aetypes.py,566
added/os2vacpp/getpathp.c,508
clude/unicodeobject.h,865
dules/linuxaudiodev.c,466
c/MPW/Makefile,513
c/Lib/lib-toolbox/Sound.py,360
c/Unsupported/mactcp/tcpglue.c,477
mo/pdist/rcvs.py,481
dules/nismodule.c,408
mo/scripts/freeze.py,480
mo/tkinter/guido/solitaire.py,637
ols/webchecker/wcgui.py,464
c/Demo/using.html,423
c/Python/macimport.c,474
c/Python/macgetpath.c,470
c/Contrib/PythonScript/baetypes.py,564
dules/threadmodule.c,438
b/plat-aix4/FCNTL.py,387
c/Demo/waste/wed.py,421
c/Lib/lib-toolbox/Icons.py,349
mo/sgi/video/Vrecb.py,429
dules/cmathmodule.c,422
c/Lib/lib-scripting/Type_Names_Suite.py,454
c/think/macconsole/macconsole.c,437
ols/scripts/ftpmirror.py,395
mo/sgi/video/Vrec.py,413
b/distutils/ccompiler.py,869
b/ihooks.py,510
b/formatter.py,422
c/Tools/twit/mactwit_browser.py,429
b/test/test_unicode.py,407
b/distutils/msvccompiler.py,470
clude/rename1.h,360
dules/cgensupport.c,384
b/dos-8x3/test_uni.py,401
b/plat-irix6/flp.py,450
dules/readline.c,435
c/Tools/IDE/PyConsole.py,380
c/Demo/plugins.html,361
c/Tools/IDE/Wcontrols.py,401
c/Lib/lib-scripting/QuickDraw_Graphics_Suite.py,411
b/distutils/command/install.py,540
b/asyncore.py,474
c/Modules/help/Helpmodule.c,358
b/sunau.py,473
ols/idle/PyParse.py,570
ols/modulator/modulator.py,380
b/imputil.py,706
ols/scripts/ndiff.py,629
b/lib-tk/turtle.py,343
thon/codecs.c,431
b/profile.py,571
b/urlopen.py,410
c/Modules/ctl/ctlsupport.py,611
b/distutils/command/bdist_rpm.py,381
b/plat-irix6/WAIT.py,335
thon/thread_pthread.h,444
c/mwerks/malloc/malloc.c,445
jects/frameobject.c,380
mo/pysvr/pysvr.c,372
dules/cgen.py,540
dules/selectmodule.c,391
ols/pynche/StripViewer.py,432
b/htmllib.py,426
c/Contrib/PythonScript/getaete.py,406
b/rexec.py,415
c/Contrib/AECaptureParser/AECaptureParser.py,362
mo/sockets/gopher.py,347
dules/_localemodule.c,361
c/scripts/MkDistr_ui.py,358
ols/freeze/freeze.py,457
c/GUSI-mods/into-include/GUSI_P.h,471
c/tools/buildindex.py,353
mo/sgi/video/Vplay.py,355
dules/fcntlmodule.c,362
rser/parser.c,429
c/Demo/textedit/ped.py,345
b/test/test_re.py,348
b/plat-irix6/FL.py,289
b/wave.py,474
c/Tools/twit/mac_widgets.py,317
b/re.py,652
b/lib-old/Para.py,343
b/plat-linux2/TERMIOS.py,316
b/nntplib.py,535
c/Lib/lib-scripting/CodeWarrior_Standard_Suite.py,423
ols/idle/RemoteInterp.py,343
mo/threads/sync.py,603
ols/scripts/pindent.py,451
b/distutils/command/build_ext.py,476
c/Contrib/PythonScript/printaete.py,346
c/Contrib/PythonScript/baepack.py,385
c/Tools/IDE/Wsocket.py,395
dules/fmmodule.c,331
b/gzip.py,343
b/telnetlib.py,503
c/Lib/lib-toolbox/aepack.py,349
dules/dbmmodule.c,323
b/os.py,452
b/encodings/cp875.py,283
ols/idle/Debugger.py,308
b/encodings/cp1026.py,282
mo/pdist/cvslib.py,364
c/Modules/macconfig.c,305
b/encodings/cp424.py,282
b/encodings/cp500.py,282
b/htmlentitydefs.py,257
b/encodings/cp037.py,282
b/test/regex_tests.py,289
clude/object.h,576
b/smtplib.py,540
ols/idle/UndoDelegator.py,352
mo/sgi/video/VcrIndex.py,327
c/scripts/MkDistr.py,312
dules/mathmodule.c,313
ols/i18n/pygettext.py,453
c/Modules/waste/wastesupport.py,427
mo/pdist/FSProxy.py,322
mo/sgi/video/camcorder.py,266
b/plat-linux1/TERMIOS.py,270
c/Tools/IDE/PyDocSearch.py,290
b/distutils/fancy_getopt.py,488
mo/sgi/video/Vedit.py,301
thon/thread_beos.h,388
thon/structmember.c,283
c/Unsupported/stdwinmodule.mu.exp,241
c/scripts/fullbuild.py,300
dules/termios.c,313
b/test/test_types.py,255
ols/idle/OldStackViewer.py,276
c/tclmods/tclSelectNotify.c,503
mo/classes/Rat.py,307
ols/scripts/fixcid.py,318
c/Modules/snd/sndsupport.py,369
b/tabnanny.py,372
dules/unicodedata.c,279
ols/pynche/PyncheWidget.py,310
jects/methodobject.c,292
c/think/fopenRF.c,336
thon/traceback.c,285
b/ntpath.py,418
c/Python/macgetargv.c,320
mo/classes/bitvec.py,332
b/test/test_audioop.py,264
mo/tkinter/guido/tkman.py,267
added/config.h,576
b/dis.py,284
b/mailbox.py,279
c/Lib/lib-scripting/WWW_Suite.py,426
c/Unsupported/mactcp/socket.py,304
b/plat-irix6/IOCTL.py,233
dules/main.c,320
c/Lib/EasyDialogs.py,325
b/lib-old/ni.py,434
dules/md5c.c,335
b/plat-irix6/readcd.py,242
mo/tkinter/guido/mbox.py,285
c/Tools/IDE/PythonIDEMain.py,251
c/Tools/twit/mactwit_app.py,267
thon/thread_pth.h,328
c/Include/config.h,636
ols/bgen/bgen/bgenGenerator.py,259
mo/sgi/video/Vcopy.py,291
b/test/test_b2.py,261
c/Unsupported/mactcp/dnrglue.c,301
c/tools/sgmlconv/esis2sgml.py,265
b/audiodev.py,253
mo/sgi/video/Viewer.py,255
c/Contrib/PythonScript/PythonScript.py,301
c/Lib/audiodev.py,241
jects/funcobject.c,258
b/copy.py,304
thon/thread_nt.h,359
c/Lib/ic.py,264
dules/makesetup,270
c/Demo/speech/grail.py,228
b/xdrlib.py,279
