id,weight
dules/unicodedatabase.c,65728
dules/ucnhash.c,12212
c/Modules/qt/Qtmodule.c,8022
dules/glmodule.c,8497
jects/unicodectype.c,5047
c/Modules/qd/Qdmodule.c,5006
nfigure,6064
dules/posixmodule.c,4940
jects/unicodeobject.c,4941
dules/cPickle.c,4558
thon/compile.c,3523
dules/pypcre.c,4753
dules/almodule.c,3397
thon/ceval.c,2956
jects/stringobject.c,2898
dules/clmodule.c,2577
sc/python-mode.el,3126
c/Modules/win/Winmodule.c,2569
c/Build/PythonCorePPC.prj.exp,2312
dules/socketmodule.c,2778
thon/bltinmodule.c,2481
c/Modules/waste/wastemodule.c,2308
c/Modules/ctl/Ctlmodule.c,2313
c/Build/PythonCoreCFM68K.prj.exp,2064
dules/flmodule.c,2511
dules/_cursesmodule.c,2441
thon/import.c,2451
dules/parsermodule.c,2702
b/lib-tk/Tkinter.py,3066
c/Modules/menu/Menumodule.c,2008
dules/regexpr.c,2135
dules/_tkinter.c,2392
added/os2vacpp/makefile,1925
jects/classobject.c,1768
jects/longobject.c,1845
dules/_sre.c,1996
thon/graminit.c,1473
c/Modules/snd/Sndmodule.c,1596
c/Modules/res/Resmodule.c,1546
dules/arraymodule.c,1551
c/Modules/icn/Icnmodule.c,1430
dules/mpzmodule.c,1836
jects/abstract.c,1574
added/_winreg.c,1491
c/Lib/lib-scripting/Metrowerks_Shell_Suite.py,1820
b/plat-sunos5/STROPTS.py,1450
ols/scripts/texi2html.py,1613
c/Modules/dlg/Dlgmodule.c,1338
c/Modules/app/Appmodule.c,1284
jects/listobject.c,1583
dules/audioop.c,1403
dules/structmodule.c,1356
c/Lib/lib-scripting/Finder_Suite.py,1632
c/perl/python.perl,1347
c/Modules/ae/AEmodule.c,1216
c/Lib/macerrors.py,1098
c/Tools/IDE/PyEdit.py,1259
dules/stropmodule.c,1289
thon/getargs.c,1316
c/tools/html2texi.pl,1750
c/Lib/lib-scripting/AppleScript_Suite.py,1600
jects/fileobject.c,1155
c/Modules/te/TEmodule.c,1113
jects/object.c,1206
jects/dictobject.c,1140
c/Modules/drag/Dragmodule.c,1088
b/plat-sunos5/IN.py,1086
thon/pythonrun.c,1175
dules/puremodule.c,1155
c/Modules/calldll.c,1194
b/urllib.py,1166
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
dules/svmodule.c,1055
c/Tools/IDE/Wtext.py,983
ols/compiler/compiler/transformer.py,1223
c/tools/sgmlconv/docfixer.py,1030
mo/sgi/video/Vb.py,962
dules/mmapmodule.c,964
c/Modules/Nav.c,978
c/Unsupported/mactcp/mactcpmodule.c,990
c/Modules/macfsmodule.c,995
c/Lib/FrameWork.py,1043
dules/zlibmodule.c,893
jects/intobject.c,945
dules/pyexpat.c,1033
b/xmllib.py,905
dules/errnomodule.c,807
c/Modules/cm/Cmmodule.c,878
c/Lib/lib-toolbox/AERegistry.py,766
dules/bsddbmodule.c,861
b/urllib2.py,1063
c/Tools/IDE/PyDebugger.py,887
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
thon/marshal.c,812
dules/timemodule.c,868
b/mhlib.py,1004
c/Python/macglue.c,1030
thon/exceptions.c,994
dules/cdmodule.c,868
rser/tokenizer.c,828
c/Lib/lib-toolbox/QuickTime.py,693
dules/rgbimgmodule.c,800
c/Demo/waste/htmled.py,827
b/pickle.py,895
mo/rpc/rpc.py,891
jects/floatobject.c,795
c/Modules/list/Listmodule.c,734
b/aifc.py,958
b/plat-irix6/TERMIOS.py,676
ols/compiler/compiler/pycodegen.py,808
thon/sysmodule.c,742
dules/binascii.c,941
mo/sgi/gl/mclock.py,736
dules/imageop.c,749
rser/pgen.c,759
c/tools/sgmlconv/conversion.xml,658
dules/regexmodule.c,726
b/imaplib.py,1119
c/Modules/qdoffs/Qdoffsmodule.c,675
b/rfc822.py,953
b/dos-8x3/rfc822-n.py,946
c/Modules/macosmodule.c,734
b/cgi.py,1385
c/Modules/macmodule.c,654
ols/idle/PyShell.py,767
c/Tools/IDE/Wbase.py,720
b/ftplib.py,720
dules/pcremodule.c,672
dules/signalmodule.c,674
b/plat-irix5/TERMIOS.py,576
ols/idle/EditorWindow.py,728
ols/webchecker/webchecker.py,824
jects/tupleobject.c,602
c/Tools/IDE/Wwindows.py,628
b/sre_parse.py,632
b/dos-8x3/sre_pars.py,630
jects/complexobject.c,613
c/Demo/waste/swed.py,629
mo/tkinter/guido/sortvisu.py,634
dules/gcmodule.c,679
ols/compiler/compiler/ast.py,709
jects/bufferobject.c,619
c/Lib/lib-toolbox/Appearance.py,514
c/Modules/ctbmodule.c,615
mo/dns/dnslib.py,588
b/threading.py,638
b/test/re_tests.py,590
c/Contrib/BBPy/source/BB-stuff/ExternalInterface.h,716
dules/rotormodule.c,670
c/scripts/gensuitemodule.py,622
dules/cStringIO.c,667
added/os2vacpp/python.def,475
ols/bgen/bgen/scantools.py,581
c/Lib/lib-scripting/Standard_Suite.py,713
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,623
b/distutils/dist.py,915
dules/imgfile.c,548
mo/metaclasses/index.html,605
c/Modules/icgluemodule.c,596
dules/gdbmmodule.c,514
thon/modsupport.c,521
b/locale.py,629
dules/_codecsmodule.c,575
c/perl/l2hinit.perl,609
b/test/test_grammar.py,544
b/distutils/command/sdist.py,773
dules/sunaudiodev.c,528
c/Demo/building.html,532
c/Tools/twit/TwitCore.py,549
c/tools/sgmlconv/latex2esis.py,529
c/Modules/macspeechmodule.c,551
ols/compiler/compiler/pyassem.py,543
thon/thread_sgi.h,512
b/test/test_b1.py,470
added/getpathp.c,595
b/httplib.py,779
c/Python/macmain.c,572
b/plat-sunos5/TERMIOS.py,433
b/plat-irix6/DEVICE.py,400
b/zipfile.py,470
b/bdb.py,558
c/Demo/mpwextensions.html,484
c/Modules/evt/Evtmodule.c,460
c/Lib/test/aete.py,475
c/Lib/lib-toolbox/Controls.py,401
dules/shamodule.c,589
dules/getpath.c,613
b/plat-irix6/GL.py,393
c/Tools/IDE/Wlists.py,469
c/Modules/fm/Fmmodule.c,455
mo/sgi/gl/kunst.py,426
dules/tclNotify.c,964
b/binhex.py,530
ols/idle/AutoIndent.py,553
b/distutils/ccompiler.py,970
b/pdb.py,943
mo/tkinter/guido/AttrDialog.py,452
c/Modules/snd/Sndihooks.c,514
b/mimify.py,463
c/Tools/IDE/PyBrowser.py,438
c/Tools/IDE/Wapplication.py,441
ols/freeze/modulefinder.py,437
c/Modules/Printingmodule.c,474
b/sgmllib.py,485
c/Demo/scripting/Eudora_Suite.py,547
thon/errors.c,467
b/plat-linux2/IN.py,430
ols/idle/TreeWidget.py,471
b/pstats.py,526
c/Unsupported/mactcp/macdnrmodule.c,459
c/Lib/lib-toolbox/aetypes.py,566
added/os2vacpp/getpathp.c,487
clude/unicodeobject.h,866
dules/linuxaudiodev.c,466
c/MPW/Makefile,513
c/Lib/lib-toolbox/Sound.py,360
c/Unsupported/mactcp/tcpglue.c,477
mo/pdist/rcvs.py,481
dules/nismodule.c,408
mo/scripts/freeze.py,480
mo/tkinter/guido/solitaire.py,637
ols/webchecker/wcgui.py,464
c/Demo/using.html,423
c/Python/macimport.c,474
dules/cmathmodule.c,427
c/Python/macgetpath.c,470
c/Contrib/PythonScript/baetypes.py,564
dules/threadmodule.c,417
b/plat-aix4/FCNTL.py,387
c/Demo/waste/wed.py,421
c/Lib/lib-toolbox/Icons.py,349
mo/sgi/video/Vrecb.py,429
c/Lib/lib-scripting/Type_Names_Suite.py,454
ols/scripts/ftpmirror.py,395
mo/sgi/video/Vrec.py,413
b/ihooks.py,510
b/formatter.py,422
b/distutils/msvccompiler.py,481
c/Tools/twit/mactwit_browser.py,429
b/test/test_unicode.py,411
clude/rename1.h,360
dules/cgensupport.c,363
b/plat-irix6/flp.py,450
dules/readline.c,435
b/distutils/command/bdist_rpm.py,459
c/Tools/IDE/PyConsole.py,380
c/Demo/plugins.html,361
c/Tools/IDE/Wcontrols.py,401
b/distutils/command/install.py,541
c/Lib/lib-scripting/QuickDraw_Graphics_Suite.py,411
ols/perfecthash/perfect_hash.py,605
b/distutils/command/build_ext.py,582
b/asyncore.py,474
c/Modules/help/Helpmodule.c,358
b/sunau.py,473
ols/idle/PyParse.py,570
ols/scripts/pindent.py,516
ols/modulator/modulator.py,380
thon/codecs.c,436
b/imputil.py,693
ols/scripts/ndiff.py,629
b/lib-tk/turtle.py,343
b/profile.py,571
b/urlopen.py,410
c/Modules/ctl/ctlsupport.py,613
b/test/test_sre.py,385
dules/selectmodule.c,374
b/plat-irix6/WAIT.py,335
thon/thread_pthread.h,423
c/mwerks/malloc/malloc.c,445
jects/frameobject.c,359
mo/pysvr/pysvr.c,372
dules/cgen.py,540
ols/pynche/StripViewer.py,432
b/htmllib.py,426
c/Contrib/PythonScript/getaete.py,406
b/xml/dom/minidom.py,385
b/rexec.py,415
c/Contrib/AECaptureParser/AECaptureParser.py,362
mo/sockets/gopher.py,347
dules/_localemodule.c,361
c/scripts/MkDistr_ui.py,358
ols/freeze/freeze.py,457
c/GUSI-mods/into-include/GUSI_P.h,471
c/tools/buildindex.py,353
mo/sgi/video/Vplay.py,355
rser/parser.c,409
dules/fcntlmodule.c,341
c/Demo/textedit/ped.py,345
b/plat-irix6/FL.py,289
b/wave.py,474
c/Tools/twit/mac_widgets.py,317
b/test/test_re.py,348
b/pre.py,652
b/lib-old/Para.py,343
b/plat-linux2/TERMIOS.py,316
b/nntplib.py,535
c/Lib/lib-scripting/CodeWarrior_Standard_Suite.py,423
ols/idle/RemoteInterp.py,343
mo/threads/sync.py,603
c/Contrib/PythonScript/printaete.py,346
clude/object.h,572
c/Contrib/PythonScript/baepack.py,385
c/Tools/IDE/Wsocket.py,395
dules/fmmodule.c,310
b/gzip.py,343
b/telnetlib.py,503
c/Lib/lib-toolbox/aepack.py,349
dules/dbmmodule.c,302
b/os.py,452
b/encodings/cp875.py,283
ols/idle/Debugger.py,308
b/encodings/cp1026.py,282
mo/pdist/cvslib.py,364
b/encodings/cp424.py,282
b/encodings/cp500.py,282
b/htmlentitydefs.py,257
b/encodings/cp037.py,282
b/test/regex_tests.py,289
jects/funcobject.c,281
b/test/test_winreg2.py,341
b/smtplib.py,540
c/Modules/macconfig.c,300
ols/idle/UndoDelegator.py,352
mo/sgi/video/VcrIndex.py,327
c/scripts/MkDistr.py,312
dules/mathmodule.c,292
ols/i18n/pygettext.py,453
c/Modules/waste/wastesupport.py,427
added/config.h,611
mo/pdist/FSProxy.py,322
b/plat-win/winreg.py,318
mo/sgi/video/camcorder.py,266
b/plat-linux1/TERMIOS.py,270
c/Tools/IDE/PyDocSearch.py,290
b/distutils/fancy_getopt.py,488
mo/sgi/video/Vedit.py,301
thon/thread_beos.h,367
thon/structmember.c,262
c/Unsupported/stdwinmodule.mu.exp,241
dules/termios.c,313
jects/methodobject.c,277
b/test/test_types.py,255
ols/idle/OldStackViewer.py,276
c/tclmods/tclSelectNotify.c,503
c/scripts/fullbuild.py,296
mo/classes/Rat.py,307
ols/scripts/fixcid.py,318
c/Modules/snd/sndsupport.py,371
b/tabnanny.py,372
dules/unicodedata.c,279
ols/pynche/PyncheWidget.py,310
thon/traceback.c,264
c/fopenRF.c,336
b/ntpath.py,418
mo/classes/bitvec.py,332
b/test/test_audioop.py,264
mo/tkinter/guido/tkman.py,267
b/dis.py,284
b/mailbox.py,279
c/Lib/lib-scripting/WWW_Suite.py,426
c/Unsupported/mactcp/socket.py,304
b/plat-irix6/IOCTL.py,233
ols/bgen/bgen/bgenGenerator.py,270
dules/main.c,299
c/Lib/EasyDialogs.py,325
b/lib-old/ni.py,434
b/distutils/bcppcompiler.py,344
dules/md5c.c,335
jects/rangeobject.c,269
b/plat-irix6/readcd.py,242
c/Python/macgetargv.c,305
mo/tkinter/guido/mbox.py,285
c/Tools/IDE/PythonIDEMain.py,251
b/distutils/unixccompiler.py,341
c/Tools/twit/mactwit_app.py,267
thon/thread_pth.h,307
thon/thread_nt.h,345
mo/sgi/video/Vcopy.py,291
b/test/test_b2.py,261
c/Include/config.h,631
c/Unsupported/mactcp/dnrglue.c,301
c/Modules/qd/qdsupport.py,451
c/tools/sgmlconv/esis2sgml.py,265
b/audiodev.py,253
mo/sgi/video/Viewer.py,255
c/Contrib/PythonScript/PythonScript.py,301
c/Lib/audiodev.py,241
b/copy.py,304
c/Lib/ic.py,264
dules/makesetup,270
c/Demo/speech/grail.py,228
b/xdrlib.py,279
ols/webchecker/tktools.py,367
c/Lib/lib-toolbox/Windows.py,210
b/dos-8x3/configpa.py,382
b/distutils/command/config.py,344
b/distutils/cmd.py,473
b/test/test_long.py,260
mo/scripts/newslist.py,366
c/Lib/buildtools.py,290
c/Tools/IDE/Wmenus.py,252
mo/sgi/video/video.py,218
ols/webchecker/wsgui.py,243
ols/idle/ColorDelegator.py,234
b/filecmp.py,329
b/posixpath.py,375
ols/scripts/mailerdaemon.py,238
dules/resource.c,266
rser/grammar.c,237
c/Modules/qt/qtsupport.py,291
b/plat-irix5/FILE.py,239
b/distutils/sysconfig.py,320
b/dospath.py,329
ols/bgen/bgen/bgenObjectDefinition.py,261
dules/dlmodule.c,230
ols/scripts/gencodec.py,289
mo/sgi/video/Vrecc.py,281
b/lib-tk/FileDialog.py,273
b/xml/dom/pulldom.py,267
b/test/regrtest.py,274
b/persist.py,297
ols/pynche/DetailsViewer.py,273
c/scripts/cfmfile.py,236
mo/classes/Complex.py,298
b/test/test_userstring.py,227
b/sre_compile.py,229
b/dos-8x3/sre_comp.py,229
c/Tools/IDE/FontSettings.py,223
jects/moduleobject.c,230
b/lib-tk/tkSimpleDialog.py,300
b/plat-linux1/IN.py,239
c/Lib/preferences.py,219
ols/idle/IOBinding.py,232
