id,weight
dules/unicodedatabase.c,65728
dules/ucnhash.c,12244
jects/unicodectype.c,10357
c/Modules/qt/Qtmodule.c,7969
dules/glmodule.c,7639
nfigure,6134
c/Modules/qd/Qdmodule.c,4970
dules/posixmodule.c,5378
jects/unicodeobject.c,5140
dules/cPickle.c,4547
dules/pypcre.c,4752
dules/almodule.c,3250
thon/compile.c,3315
jects/stringobject.c,2930
thon/ceval.c,2895
dules/clmodule.c,2577
sc/python-mode.el,3126
c/Build/PythonCorePPC.prj.exp,2326
c/Modules/win/Winmodule.c,2529
dules/socketmodule.c,2793
c/Modules/ctl/Ctlmodule.c,2331
c/Modules/waste/wastemodule.c,2298
c/Build/PythonCoreCFM68K.prj.exp,2064
thon/bltinmodule.c,2345
dules/_cursesmodule.c,2357
dules/parsermodule.c,2690
thon/import.c,2341
b/lib-tk/Tkinter.py,3066
c/Modules/menu/Menumodule.c,1972
dules/regexpr.c,2095
dules/flmodule.c,2144
dules/_tkinter.c,2220
dules/_sre.c,2202
added/os2vacpp/makefile,1925
jects/classobject.c,1688
thon/graminit.c,1473
jects/longobject.c,1709
c/Modules/snd/Sndmodule.c,1556
c/Modules/res/Resmodule.c,1510
dules/arraymodule.c,1520
c/Modules/icn/Icnmodule.c,1390
added/_winreg.c,1495
c/Lib/lib-scripting/Metrowerks_Shell_Suite.py,1820
dules/mpzmodule.c,1751
b/plat-sunos5/STROPTS.py,1450
jects/abstract.c,1479
ols/scripts/texi2html.py,1613
c/Modules/dlg/Dlgmodule.c,1296
c/Modules/app/Appmodule.c,1244
c/Lib/lib-scripting/Finder_Suite.py,1632
c/perl/python.perl,1347
jects/listobject.c,1504
c/Lib/macerrors.py,1098
c/Tools/IDE/PyEdit.py,1259
c/Modules/ae/AEmodule.c,1160
dules/audioop.c,1349
c/tools/html2texi.pl,1750
c/Lib/lib-scripting/AppleScript_Suite.py,1600
jects/fileobject.c,1158
thon/getargs.c,1259
dules/structmodule.c,1238
dules/stropmodule.c,1229
c/Modules/te/TEmodule.c,1077
c/Modules/drag/Dragmodule.c,1044
jects/object.c,1162
b/plat-sunos5/IN.py,1086
dules/puremodule.c,1155
jects/dictobject.c,1071
b/urllib.py,1214
c/Modules/calldll.c,1194
thon/pythonrun.c,1150
b/newimp.py,1570
mo/sgi/video/VFile.py,1193
c/Tools/IDE/Wtext.py,983
ols/compiler/compiler/transformer.py,1223
dules/mmapmodule.c,992
c/tools/sgmlconv/docfixer.py,1030
mo/sgi/video/Vb.py,962
c/Modules/Nav.c,971
c/Unsupported/mactcp/mactcpmodule.c,990
c/Modules/macfsmodule.c,998
c/Lib/FrameWork.py,1043
dules/pyexpat.c,1036
b/xmllib.py,914
dules/svmodule.c,974
c/Lib/lib-toolbox/AERegistry.py,766
dules/errnomodule.c,803
dules/zlibmodule.c,865
c/Modules/cm/Cmmodule.c,846
c/Python/macglue.c,1069
b/urllib2.py,1063
c/Tools/IDE/PyDebugger.py,887
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
thon/exceptions.c,1027
jects/intobject.c,891
b/mhlib.py,1004
dules/bsddbmodule.c,798
c/Lib/lib-toolbox/QuickTime.py,693
thon/marshal.c,773
dules/timemodule.c,824
c/Demo/waste/htmled.py,827
rser/tokenizer.c,811
b/pickle.py,895
mo/rpc/rpc.py,891
b/aifc.py,958
b/plat-irix6/TERMIOS.py,676
dules/rgbimgmodule.c,766
dules/cdmodule.c,808
ols/compiler/compiler/pycodegen.py,808
c/Modules/list/Listmodule.c,700
mo/sgi/gl/mclock.py,736
jects/floatobject.c,748
c/tools/sgmlconv/conversion.xml,658
dules/binascii.c,918
b/imaplib.py,1119
dules/imageop.c,717
b/rfc822.py,953
c/Modules/macosmodule.c,734
dules/regexmodule.c,695
c/Modules/qdoffs/Qdoffsmodule.c,639
thon/sysmodule.c,684
b/cgi.py,1385
c/Modules/macmodule.c,650
ols/idle/PyShell.py,767
c/Tools/IDE/Wbase.py,720
b/ftplib.py,720
rser/pgen.c,708
b/sre_parse.py,662
b/plat-irix5/TERMIOS.py,576
ols/idle/EditorWindow.py,734
dules/signalmodule.c,673
ols/webchecker/webchecker.py,824
dules/pcremodule.c,658
c/Tools/IDE/Wwindows.py,628
b/dos-8x3/sre_pars.py,632
c/Demo/waste/swed.py,629
mo/tkinter/guido/sortvisu.py,634
ols/compiler/compiler/ast.py,709
c/Lib/lib-toolbox/Appearance.py,514
jects/tupleobject.c,575
dules/gcmodule.c,666
mo/dns/dnslib.py,588
c/Modules/ctbmodule.c,609
b/threading.py,638
b/test/re_tests.py,590
c/Contrib/BBPy/source/BB-stuff/ExternalInterface.h,716
c/scripts/gensuitemodule.py,622
dules/_codecsmodule.c,630
dules/cStringIO.c,667
b/locale.py,700
jects/complexobject.c,562
added/os2vacpp/python.def,475
ols/bgen/bgen/scantools.py,582
c/Lib/lib-scripting/Standard_Suite.py,713
jects/bufferobject.c,565
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,623
b/distutils/dist.py,915
mo/metaclasses/index.html,605
c/Modules/icgluemodule.c,596
dules/rotormodule.c,623
b/test/test_grammar.py,544
dules/imgfile.c,523
c/Demo/building.html,532
c/Tools/twit/TwitCore.py,549
c/tools/sgmlconv/latex2esis.py,529
c/Modules/macspeechmodule.c,552
ols/compiler/compiler/pyassem.py,543
thon/thread_sgi.h,512
b/test/test_b1.py,472
dules/gdbmmodule.c,488
c/Python/macmain.c,589
b/httplib.py,783
added/getpathp.c,586
b/test/test_unicode.py,514
b/plat-sunos5/TERMIOS.py,433
b/plat-irix6/DEVICE.py,400
b/zipfile.py,470
b/bdb.py,558
c/Demo/mpwextensions.html,484
c/Lib/test/aete.py,475
c/Lib/lib-toolbox/Controls.py,401
dules/sunaudiodev.c,494
b/plat-irix6/GL.py,393
c/Tools/IDE/Wlists.py,469
mo/sgi/gl/kunst.py,426
dules/tclNotify.c,964
b/binhex.py,530
ols/idle/AutoIndent.py,553
b/distutils/ccompiler.py,970
dules/getpath.c,604
b/pdb.py,943
mo/tkinter/guido/AttrDialog.py,452
c/Modules/snd/Sndihooks.c,513
thon/modsupport.c,467
b/mimify.py,463
clude/unicodeobject.h,909
c/Tools/IDE/PyBrowser.py,438
c/perl/l2hinit.perl,531
c/Tools/IDE/Wapplication.py,441
ols/freeze/modulefinder.py,437
c/Modules/evt/Evtmodule.c,424
c/Modules/fm/Fmmodule.c,423
b/sgmllib.py,485
dules/readline.c,498
c/Modules/Printingmodule.c,468
dules/shamodule.c,558
c/Demo/scripting/Eudora_Suite.py,547
b/plat-linux2/IN.py,430
ols/idle/TreeWidget.py,471
b/pstats.py,526
c/Unsupported/mactcp/macdnrmodule.c,459
c/Lib/lib-toolbox/aetypes.py,566
c/MPW/Makefile,513
c/Lib/lib-toolbox/Sound.py,360
c/Unsupported/mactcp/tcpglue.c,477
mo/pdist/rcvs.py,481
added/os2vacpp/getpathp.c,480
c/Python/macgetpath.c,475
mo/scripts/freeze.py,480
mo/tkinter/guido/solitaire.py,637
c/Python/macimport.c,476
dules/linuxaudiodev.c,438
ols/webchecker/wcgui.py,464
c/Demo/using.html,423
c/Contrib/PythonScript/baetypes.py,564
dules/_localemodule.c,454
b/plat-aix4/FCNTL.py,387
b/xml/dom/minidom.py,453
c/Demo/waste/wed.py,421
c/Lib/lib-toolbox/Icons.py,349
mo/sgi/video/Vrecb.py,429
c/Lib/lib-scripting/Type_Names_Suite.py,454
ols/scripts/ftpmirror.py,395
mo/sgi/video/Vrec.py,413
b/ihooks.py,510
b/formatter.py,422
b/distutils/msvccompiler.py,481
c/Tools/twit/mactwit_browser.py,429
thon/errors.c,429
dules/cmathmodule.c,406
ols/scripts/pindent.py,543
clude/rename1.h,360
dules/threadmodule.c,397
dules/nismodule.c,382
b/plat-irix6/flp.py,450
b/distutils/command/bdist_rpm.py,459
c/Tools/IDE/PyConsole.py,380
c/Demo/plugins.html,361
c/Tools/IDE/Wcontrols.py,401
b/distutils/command/install.py,541
c/Lib/lib-scripting/QuickDraw_Graphics_Suite.py,411
b/distutils/command/build_ext.py,582
thon/thread_pthread.h,442
b/asyncore.py,474
b/sunau.py,473
ols/idle/PyParse.py,570
thon/codecs.c,439
ols/modulator/modulator.py,380
b/imputil.py,698
ols/scripts/ndiff.py,629
b/lib-tk/turtle.py,343
b/profile.py,571
b/urlopen.py,410
c/Modules/ctl/ctlsupport.py,617
b/test/test_sre.py,385
b/plat-irix6/WAIT.py,335
c/mwerks/malloc/malloc.c,447
mo/pysvr/pysvr.c,372
dules/cgen.py,520
ols/pynche/StripViewer.py,432
b/htmllib.py,426
c/Contrib/PythonScript/getaete.py,406
b/rexec.py,415
