id,weight
dules/ucnhash.c,12244
c/Modules/qt/Qtmodule.c,7969
dules/glmodule.c,7630
nfigure,6313
dules/posixmodule.c,5574
c/Modules/qd/Qdmodule.c,4970
dules/unicodedata_db.h,4625
jects/unicodeobject.c,5240
dules/cPickle.c,4562
thon/compile.c,3725
dules/pypcre.c,4752
dules/almodule.c,3238
jects/stringobject.c,3175
thon/ceval.c,3132
dules/clmodule.c,2568
c/Build/PythonCorePPC.prj.exp,2361
sc/python-mode.el,3126
c/Modules/win/Winmodule.c,2545
dules/socketmodule.c,2755
c/Modules/ctl/Ctlmodule.c,2331
c/Modules/waste/wastemodule.c,2298
c/Build/PythonCoreCFM68K.prj.exp,2064
dules/parsermodule.c,2830
thon/bltinmodule.c,2382
dules/_cursesmodule.c,2355
thon/import.c,2367
b/lib-tk/Tkinter.py,3089
c/Modules/menu/Menumodule.c,1972
dules/regexpr.c,2095
dules/_sre.c,2329
jects/abstract.c,2038
thon/graminit.c,1693
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2355
dules/flmodule.c,2134
dules/_tkinter.c,2210
added/os2vacpp/makefile,1925
jects/classobject.c,1764
jects/longobject.c,1700
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2074
c/Modules/snd/Sndmodule.c,1556
c/Modules/res/Resmodule.c,1510
c/Modules/icn/Icnmodule.c,1390
dules/arraymodule.c,1472
added/_winreg.c,1495
c/perl/python.perl,1544
c/Lib/lib-scripting/Metrowerks_Shell_Suite.py,1820
dules/mpzmodule.c,1744
b/plat-sunos5/STROPTS.py,1450
ols/scripts/texi2html.py,1613
c/Modules/dlg/Dlgmodule.c,1307
c/Modules/app/Appmodule.c,1244
jects/listobject.c,1571
c/Lib/lib-scripting/Finder_Suite.py,1632
jects/fileobject.c,1282
c/Lib/macerrors.py,1098
c/Tools/IDE/PyEdit.py,1259
c/Modules/ae/AEmodule.c,1160
dules/audioop.c,1340
jects/dictobject.c,1245
thon/getargs.c,1300
c/tools/html2texi.pl,1750
dules/structmodule.c,1271
c/Lib/lib-scripting/AppleScript_Suite.py,1600
dules/stropmodule.c,1232
jects/object.c,1239
c/Modules/te/TEmodule.c,1077
thon/pythonrun.c,1250
c/Modules/drag/Dragmodule.c,1044
b/plat-sunos5/IN.py,1086
b/urllib.py,1272
dules/pyexpat.c,1099
c/Modules/calldll.c,1194
mo/sgi/video/VFile.py,1193
ols/compiler/compiler/transformer.py,1250
c/Tools/IDE/Wtext.py,983
dules/mmapmodule.c,998
c/tools/sgmlconv/docfixer.py,1030
mo/sgi/video/Vb.py,962
c/Modules/Nav.c,973
c/Unsupported/mactcp/mactcpmodule.c,990
c/Modules/macfsmodule.c,998
c/Lib/FrameWork.py,1043
thon/exceptions.c,1102
b/xmllib.py,921
dules/svmodule.c,964
rser/tokenizer.c,896
dules/zlibmodule.c,875
c/Lib/lib-toolbox/AERegistry.py,766
dules/errnomodule.c,791
c/Python/macglue.c,1084
c/Modules/cm/Cmmodule.c,846
dules/puremodule.c,986
b/urllib2.py,1063
c/Tools/IDE/PyDebugger.py,887
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
jects/intobject.c,870
b/mhlib.py,1004
c/Lib/mkcwproject/template/template.prj.xml,755
dules/bsddbmodule.c,792
b/pickle.py,935
c/Lib/lib-toolbox/QuickTime.py,693
thon/marshal.c,764
dules/binascii.c,1013
c/Demo/waste/htmled.py,827
dules/timemodule.c,811
mo/rpc/rpc.py,891
