id,weight
c/Modules/qt/_Qtmodule.c,8430
dules/unicodename_db.h,7538
dules/glmodule.c,7630
nfigure,7610
c/Modules/qd/_Qdmodule.c,5693
dules/posixmodule.c,5760
jects/unicodeobject.c,5775
thon/compile.c,5460
dules/cPickle.c,4663
thon/ceval.c,3669
jects/typeobject.c,3694
jects/stringobject.c,3632
dules/pypcre.c,4752
dules/almodule.c,3238
dules/socketmodule.c,3519
c/Modules/cf/_CFmodule.c,3178
c/Build/PythonCore.exp,2718
c/Modules/win/_Winmodule.c,2819
sc/python-mode.el,3253
c/Modules/ctl/_Ctlmodule.c,2700
dules/clmodule.c,2568
c/Build/PythonCoreCarbon.exp,2369
c/Modules/menu/_Menumodule.c,2570
dules/_cursesmodule.c,2616
dules/parsermodule.c,2881
jects/classobject.c,2366
b/test/test_descr.py,2223
dules/_sre.c,2648
thon/import.c,2471
jects/longobject.c,2344
dules/unicodedata_db.h,1939
c/Modules/waste/wastemodule.c,2109
b/lib-tk/Tkinter.py,3111
c/Lib/macerrors.py,1789
dules/regexpr.c,2094
thon/graminit.c,1716
dules/_tkinter.c,2262
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2355
dules/flmodule.c,2134
thon/bltinmodule.c,1969
added/os2vacpp/makefile,1925
c/perl/python.perl,1937
dules/pyexpat.c,1863
b/plat-sunos5/STROPTS.py,1813
jects/object.c,2018
jects/abstract.c,1902
jects/dictobject.c,1931
c/Modules/res/_Resmodule.c,1596
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2074
jects/fileobject.c,1703
dules/arraymodule.c,1565
jects/listobject.c,1796
c/Modules/icn/_Icnmodule.c,1421
c/Modules/snd/_Sndmodule.c,1454
added/_winreg.c,1495
c/Modules/dlg/_Dlgmodule.c,1438
dules/mpzmodule.c,1750
c/Modules/mlte/_Mltemodule.c,1395
ols/scripts/texi2html.py,1613
dules/structmodule.c,1517
b/plat-sunos5/IN.py,1421
c/Modules/ae/_AEmodule.c,1282
thon/pythonrun.c,1453
c/Tools/IDE/PyEdit.py,1304
thon/getargs.c,1352
c/Modules/app/_Appmodule.c,1180
b/compiler/pycodegen.py,1380
b/urllib.py,1454
dules/audioop.c,1340
c/tools/html2texi.pl,1750
dules/stropmodule.c,1254
b/compiler/transformer.py,1358
c/Modules/macfsmodule.c,1239
c/Lib/Carbon/QuickTime.py,969
c/Lib/mkcwproject/template-carbon/template.prj.xml,1050
b/compiler/ast.py,1226
c/Lib/Carbon/AppleEvents.py,952
c/Modules/te/_TEmodule.c,1040
c/Modules/list/_Listmodule.c,1012
c/Modules/drag/_Dragmodule.c,1018
jects/descrobject.c,1057
thon/sysmodule.c,1055
c/Modules/calldll.c,1194
jects/intobject.c,1076
c/tools/sgmlconv/docfixer.py,1067
mo/sgi/video/VFile.py,1193
dules/mmapmodule.c,1015
c/Tools/IDE/Wtext.py,989
thon/exceptions.c,1181
dules/zlibmodule.c,1064
jects/complexobject.c,975
mo/sgi/video/Vb.py,962
dules/termios.c,912
c/Lib/FrameWork.py,1061
rser/tokenizer.c,928
c/tools/sgmlconv/conversion.xml,880
b/urllib2.py,1152
b/xmllib.py,929
dules/bsddbmodule.c,872
dules/svmodule.c,964
b/lib-tk/Tix.py,1266
thon/marshal.c,862
c/Modules/Nav.c,925
b/pickle.py,1011
dules/errnomodule.c,791
b/xml/dom/minidom.py,963
c/Lib/mkcwproject/template-ppc/template.prj.xml,803
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,892
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
dules/timemodule.c,856
b/mhlib.py,1003
c/Modules/cm/_Cmmodule.c,802
dules/binascii.c,1017
dules/_weakref.c,832
dules/gcmodule.c,878
jects/floatobject.c,842
mo/curses/xmas.py,906
c/Demo/waste/htmled.py,829
b/plat-unixware7/IN.py,836
c/Modules/macmodule.c,769
mo/rpc/rpc.py,891
c/scripts/gensuitemodule.py,846
mo/tix/tixwidgets.py,819
b/aifc.py,961
c/Lib/findertools.py,833
dules/rgbimgmodule.c,766
dules/cdmodule.c,795
b/test/test_email.py,890
b/imaplib.py,1209
b/idlelib/PyShell.py,883
mo/sgi/gl/mclock.py,736
b/rfc822.py,1011
b/sre_parse.py,734
c/Modules/macosmodule.c,778
b/ftplib.py,799
c/Python/macglue.c,876
b/cgi.py,1040
b/test/test_iter.py,756
SCOS/Modules/drawfmodule.c,664
c/Lib/lib-scriptpackages/Finder/Earlier_terms.py,728
c/Python/macmain.c,820
dules/imageop.c,708
b/compiler/pyassem.py,791
jects/tupleobject.c,667
dules/regexmodule.c,694
jects/unicodetype_db.h,577
ols/idle/PyShell.py,785
ols/webchecker/webchecker.py,858
b/distutils/dist.py,1079
b/test/test_grammar.py,720
dules/cStringIO.c,798
jects/funcobject.c,656
c/Tools/IDE/Wbase.py,724
rser/pgen.c,700
b/xmlrpclib.py,1001
dules/_codecsmodule.c,710
dules/signalmodule.c,666
clude/unicodeobject.h,1117
ols/idle/EditorWindow.py,731
b/idlelib/EditorWindow.py,728
dules/selectmodule.c,691
c/Tools/IDE/Wwindows.py,628
c/Modules/qdoffs/_Qdoffsmodule.c,610
dules/pcremodule.c,635
c/Demo/waste/swed.py,632
b/threading.py,689
dules/getaddrinfo.c,638
mo/tkinter/guido/sortvisu.py,634
b/test/re_tests.py,654
c/Lib/Carbon/Appearance.py,515
b/test/test_b1.py,563
mo/dns/dnslib.py,588
thon/errors.c,643
b/locale.py,734
c/Modules/ctbmodule.c,609
ols/bgen/bgen/scantools.py,607
b/plat-linux2/IN.py,603
c/Contrib/BBPy/source/BB-stuff/ExternalInterface.h,716
b/pstats.py,674
b/test/test_unicode.py,606
b/httplib.py,866
added/os2vacpp/python.def,475
ols/unicode/makeunicodedata.py,678
c/Lib/lib-scriptpackages/CodeWarrior/CodeWarrior_suite.py,687
b/test/test_minidom.py,583
mo/sgi/video/VCR.py,534
dules/gdbmmodule.c,521
b/lib-old/fmt.py,623
jects/bufferobject.c,551
b/zipfile.py,588
b/test/test_sax.py,642
dules/_localemodule.c,586
b/inspect.py,784
mo/metaclasses/index.html,605
b/unittest.py,717
c/Lib/EasyDialogs.py,578
b/distutils/ccompiler.py,1046
added/getpathp.c,646
c/Lib/lib-scriptpackages/StdSuites/Standard_Suite.py,703
c/tools/sgmlconv/latex2esis.py,554
c/perl/l2hinit.perl,598
dules/rotormodule.c,624
b/idlelib/configDialog.py,573
c/Lib/Carbon/Controls.py,437
dules/imgfile.c,514
thon/thread_sgi.h,503
thon/modsupport.c,505
c/Modules/icgluemodule.c,581
c/Modules/macspeechmodule.c,546
ols/freeze/modulefinder.py,489
ols/scripts/trace.py,714
dules/linuxaudiodev.c,513
dules/getpath.c,632
tup.py,721
b/bdb.py,566
jects/frameobject.c,476
b/plat-irix6/DEVICE.py,400
c/Demo/mpwextensions.html,484
c/Modules/evt/_Evtmodule.c,462
c/Lib/test/aete.py,475
dules/sunaudiodev.c,485
b/plat-irix6/GL.py,393
c/Tools/IDE/Wlists.py,469
mo/sgi/gl/kunst.py,426
dules/tclNotify.c,964
b/binhex.py,531
b/doctest.py,1099
c/Demo/building.html,484
b/idlelib/AutoIndent.py,554
c/Lib/Carbon/Sound.py,393
ols/idle/AutoIndent.py,553
b/pdb.py,948
c/Tools/IDE/PyBrowser.py,442
c/Modules/snd/_Sndihooks.c,513
mo/tkinter/guido/AttrDialog.py,452
b/mimify.py,464
SCOS/Modules/swimodule.c,431
dules/unicodedata.c,481
b/sgmllib.py,517
c/Tools/IDE/Wapplication.py,442
c/Contrib/BBPy.lm/BBPy.c,456
dules/shamodule.c,545
b/asyncore.py,543
ols/idle/TreeWidget.py,477
c/Modules/Printingmodule.c,465
b/idlelib/TreeWidget.py,471
b/sre_compile.py,452
dules/readline.c,490
c/Python/macimport.c,486
c/Demo/applescript/Disk_Copy/Standard_Suite.py,477
c/Lib/aetypes.py,564
b/smtplib.py,694
c/MPW/Makefile,513
c/Python/macgetpath.c,480
mo/pdist/rcvs.py,481
c/Lib/Carbon/Icons.py,359
added/os2vacpp/getpathp.c,471
dules/fcntlmodule.c,406
c/Demo/using.html,429
mo/tkinter/guido/solitaire.py,637
ols/scripts/ftpmirror.py,404
b/smtpd.py,532
b/distutils/command/install.py,592
ols/webchecker/wcgui.py,464
b/test/regrtest.py,592
c/Demo/waste/wed.py,423
clude/object.h,715
b/distutils/command/build_ext.py,619
dules/_curses_panel.c,495
c/Contrib/PythonScript/baetypes.py,562
b/distutils/msvccompiler.py,510
b/test/test_weakref.py,446
mo/sgi/video/Vrecb.py,429
thon/thread_pthread.h,469
mo/sgi/video/Vrec.py,413
c/Lib/lib-scriptpackages/Explorer/Web_Browser_Suite.py,632
b/ihooks.py,511
b/test/test_types.py,365
b/distutils/command/bdist_rpm.py,485
jects/unicodectype.c,432
b/lib-tk/turtle.py,383
b/os.py,562
dules/threadmodule.c,395
dules/cmathmodule.c,407
c/Tools/IDE/PyConsole.py,390
b/telnetlib.py,592
b/test/test_scope.py,487
b/formatter.py,419
ols/scripts/pindent.py,543
b/profile.py,617
b/plat-irix5/flp.py,451
dules/nismodule.c,382
b/plat-irix6/flp.py,450
jects/obmalloc.c,743
thon/mactoolboxglue.c,454
b/test/test_parser.py,365
ols/idle/PyParse.py,589
c/Demo/plugins.html,361
c/scripts/fullbuild.py,399
c/Lib/lib-scriptpackages/Finder/Containers_and_folders.py,484
b/test/test_inspect.py,436
b/plat-freebsd5/IN.py,355
b/test/test_long.py,408
b/imputil.py,720
c/Tools/IDE/Wcontrols.py,393
b/sunau.py,474
sc/BeOS-setup.py,606
dules/main.c,408
dules/dbmmodule.c,357
c/Lib/lib-scriptpackages/StdSuites/QuickDraw_Graphics_Suite.py,405
b/plat-unixware7/STROPTS.py,328
ols/modulator/modulator.py,383
c/Modules/fm/_Fmmodule.c,363
c/Lib/lib-scriptpackages/Finder/Window_classes.py,391
c/Modules/ctl/ctlsupport.py,638
ols/i18n/pygettext.py,541
b/random.py,664
thon/codecs.c,436
b/test/test_re.py,392
SCOS/Makefile,416
b/compiler/symbols.py,415
c/Lib/lib-scriptpackages/StdSuites/Type_Names_Suite.py,399
b/test/test_funcattrs.py,379
b/plat-irix6/WAIT.py,335
