id,weight
c/Modules/qt/_Qtmodule.c,9934
dules/unicodename_db.h,7538
c/Modules/qd/_Qdmodule.c,7192
dules/glmodule.c,7630
nfigure,8142
c/Modules/ctl/_Ctlmodule.c,6712
dules/posixmodule.c,6676
thon/compile.c,5517
jects/unicodeobject.c,5818
dules/expat/xmlparse.c,4637
c/Modules/menu/_Menumodule.c,4125
dules/cPickle.c,4715
jects/typeobject.c,4218
c/Modules/win/_Winmodule.c,3826
c/Modules/cf/_CFmodule.c,3863
thon/ceval.c,3756
dules/pypcre.c,4752
jects/stringobject.c,3658
dules/almodule.c,3239
dules/socketmodule.c,3346
b/test/test_descr.py,2957
sc/python-mode.el,3258
dules/clmodule.c,2558
c/Modules/waste/wastemodule.c,2505
dules/_sre.c,3012
dules/parsermodule.c,2906
dules/_cursesmodule.c,2630
jects/classobject.c,2346
thon/import.c,2618
jects/longobject.c,2356
dules/unicodedata_db.h,1939
b/lib-tk/Tkinter.py,3119
c/Lib/macerrors.py,1789
dules/regexpr.c,2094
c/Modules/res/_Resmodule.c,1918
thon/graminit.c,1744
dules/_tkinter.c,2284
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2337
dules/flmodule.c,2138
c/Modules/app/_Appmodule.c,1820
dules/expat/xmltok_impl.c,1768
thon/bltinmodule.c,2000
c/perl/python.perl,1996
jects/abstract.c,2053
added/os2vacpp/makefile,1938
jects/object.c,2103
c/Modules/carbonevt/_CarbonEvtmodule.c,1898
b/plat-sunos5/STROPTS.py,1813
dules/arraymodule.c,1742
c/Modules/mlte/_Mltemodule.c,1668
c/Modules/icn/_Icnmodule.c,1604
jects/dictobject.c,1991
jects/fileobject.c,1794
c/Modules/dlg/_Dlgmodule.c,1587
dules/pyexpat.c,1695
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2072
c/Modules/snd/_Sndmodule.c,1507
dules/expat/xmltok.c,1568
jects/listobject.c,1804
dules/_hotshot.c,1682
c/Modules/ae/_AEmodule.c,1423
added/_winreg.c,1495
ols/scripts/texi2html.py,1613
dules/structmodule.c,1519
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1697
c/Modules/cg/_CGmodule.c,1371
c/Tools/IDE/PyEdit.py,1394
thon/getargs.c,1435
dules/expat/xmlrole.c,1277
c/Modules/hfsplusmodule.c,1539
thon/pythonrun.c,1481
c/Modules/te/_TEmodule.c,1219
b/compiler/pycodegen.py,1387
dules/audioop.c,1381
c/Modules/list/_Listmodule.c,1196
b/urllib.py,1450
c/tools/html2texi.pl,1750
c/Modules/macfsmodule.c,1305
dules/stropmodule.c,1259
b/compiler/transformer.py,1362
c/Modules/drag/_Dragmodule.c,1117
c/Lib/Carbon/QuickTime.py,969
jects/descrobject.c,1131
b/compiler/ast.py,1241
c/Tools/IDE/Wtext.py,1134
c/Lib/Carbon/AppleEvents.py,952
dules/binascii.c,1317
dules/mmapmodule.c,1107
thon/sysmodule.c,1060
c/Modules/calldll.c,1194
b/lib-tk/Tix.py,1626
b/idlelib/configDialog.py,1124
c/tools/sgmlconv/docfixer.py,1073
mo/sgi/video/VFile.py,1193
thon/exceptions.c,1193
jects/complexobject.c,998
added/os2emx/python23.def,931
jects/intobject.c,1014
c/Lib/FrameWork.py,1085
mo/sgi/video/Vb.py,962
c/tools/sgmlconv/conversion.xml,903
dules/termios.c,914
c/Modules/cm/_Cmmodule.c,922
rser/tokenizer.c,928
b/xmllib.py,929
b/test/test_email.py,1056
dules/svmodule.c,964
thon/marshal.c,866
dules/bsddbmodule.c,854
b/xml/dom/minidom.py,970
c/Modules/Nav.c,925
c/Modules/cg/CFMLateImport.c,1360
dules/errnomodule.c,791
dules/timemodule.c,894
b/pickle.py,986
dules/puremodule.c,986
b/urllib2.py,1103
c/Tools/IDE/PyDebugger.py,893
c/Modules/htmlrender/HtmlRendermodule.c,818
ols/faqwiz/faqwiz.py,841
c/Modules/macmodule.c,850
dules/gcmodule.c,908
jects/floatobject.c,888
b/mhlib.py,1003
mo/tix/tixwidgets.py,1000
b/idlelib/EditorWindow.py,922
dules/zlibmodule.c,885
c/Demo/waste/htmled.py,834
mo/curses/xmas.py,906
b/plat-unixware7/IN.py,836
c/Lib/mkcwproject/template-ppc/template.prj.xml,719
c/scripts/gensuitemodule.py,855
b/imaplib.py,1291
c/Lib/mkcwproject/template-carbon/template.prj.xml,710
c/Lib/Carbon/Controls.py,667
mo/rpc/rpc.py,891
c/Lib/findertools.py,833
b/aifc.py,959
dules/rgbimgmodule.c,763
dules/cdmodule.c,795
b/idlelib/PyShell.py,908
c/Modules/evt/_Evtmodule.c,705
c/Python/macglue.c,902
b/rfc822.py,1017
mo/sgi/gl/mclock.py,736
b/test/test_iter.py,779
b/sre_parse.py,737
c/Modules/macosmodule.c,778
b/ftplib.py,804
c/Modules/qdoffs/_Qdoffsmodule.c,682
b/compiler/pyassem.py,824
jects/funcobject.c,699
jects/weakrefobject.c,726
SCOS/Modules/drawfmodule.c,664
b/cgi.py,1039
c/Python/macmain.c,829
c/Lib/lib-scriptpackages/Finder/Earlier_terms.py,728
b/plat-irix6/FILE.py,674
dules/imageop.c,708
jects/tupleobject.c,670
b/test/test_grammar.py,731
dules/regexmodule.c,692
ols/idle/PyShell.py,785
jects/unicodetype_db.h,577
jects/obmalloc.c,1152
b/xmlrpclib.py,1015
ols/webchecker/webchecker.py,858
b/distutils/dist.py,1076
dules/cStringIO.c,799
rser/pgen.c,700
dules/_codecsmodule.c,710
dules/_localemodule.c,699
dules/signalmodule.c,670
b/test/test_unicode.py,693
b/test/test_b1.py,616
c/Tools/IDE/Wbase.py,716
clude/unicodeobject.h,1116
ols/idle/EditorWindow.py,731
dules/selectmodule.c,690
c/Tools/IDE/Wwindows.py,636
c/Demo/waste/swed.py,637
dules/pcremodule.c,636
thon/errors.c,673
b/threading.py,692
dules/getaddrinfo.c,640
b/test/re_tests.py,660
b/test/test_minidom.py,650
mo/tkinter/guido/sortvisu.py,634
b/httplib.py,918
c/Tools/IDE/PyBrowser.py,597
