id,weight
nfigure,17005
c/Modules/qt/_Qtmodule.c,9934
dules/unicodename_db.h,7538
c/Modules/qd/_Qdmodule.c,7192
dules/glmodule.c,7628
c/Modules/ctl/_Ctlmodule.c,6712
dules/posixmodule.c,6780
jects/unicodeobject.c,5946
thon/compile.c,5580
dules/expat/xmlparse.c,4637
c/Modules/cf/_CFmodule.c,4380
dules/cPickle.c,4843
c/Modules/menu/_Menumodule.c,4125
jects/typeobject.c,4457
c/Modules/win/_Winmodule.c,3826
jects/stringobject.c,3927
thon/ceval.c,3700
dules/pypcre.c,4756
dules/socketmodule.c,3668
b/test/test_descr.py,3309
dules/almodule.c,3200
sc/python-mode.el,3482
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2505
dules/_sre.c,3008
jects/classobject.c,2470
dules/parsermodule.c,2910
dules/_cursesmodule.c,2630
thon/import.c,2626
jects/longobject.c,2359
dules/unicodedata_db.h,1939
b/lib-tk/Tkinter.py,3156
c/Lib/macerrors.py,1852
dules/regexpr.c,2094
thon/graminit.c,1757
c/Modules/res/_Resmodule.c,1918
c/perl/python.perl,2093
jects/fileobject.c,2108
dules/_tkinter.c,2284
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2337
dules/flmodule.c,2138
c/Modules/app/_Appmodule.c,1820
dules/arraymodule.c,1927
jects/abstract.c,2098
dules/expat/xmltok_impl.c,1768
thon/bltinmodule.c,1949
added/os2vacpp/makefile,1923
jects/listobject.c,2126
c/Modules/carbonevt/_CarbonEvtmodule.c,1898
jects/object.c,2108
b/plat-sunos5/STROPTS.py,1813
b/email/test/test_email.py,2093
ols/scripts/texi2html.py,2078
dules/pyexpat.c,1807
jects/dictobject.c,2012
c/Modules/mlte/_Mltemodule.c,1668
c/Modules/icn/_Icnmodule.c,1604
c/Modules/dlg/_Dlgmodule.c,1587
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2072
c/Modules/snd/_Sndmodule.c,1507
dules/expat/xmltok.c,1568
dules/_hotshot.c,1657
c/Modules/ae/_AEmodule.c,1423
added/_winreg.c,1494
dules/structmodule.c,1519
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1684
c/Modules/cg/_CGmodule.c,1371
thon/getargs.c,1445
c/Tools/IDE/PyEdit.py,1387
dules/expat/xmlrole.c,1274
thon/pythonrun.c,1494
c/Modules/hfsplusmodule.c,1539
c/Lib/Carbon/QuickTime.py,1134
c/Modules/te/_TEmodule.c,1219
dules/audioop.c,1381
b/compiler/pycodegen.py,1385
b/urllib.py,1470
c/Modules/list/_Listmodule.c,1196
c/tools/html2texi.pl,1750
c/Modules/macfsmodule.c,1305
dules/stropmodule.c,1244
b/compiler/transformer.py,1358
c/Modules/drag/_Dragmodule.c,1117
jects/descrobject.c,1140
b/compiler/ast.py,1241
c/Lib/Carbon/AppleEvents.py,958
c/Tools/IDE/Wtext.py,1134
dules/binascii.c,1333
dules/mmapmodule.c,1107
thon/sysmodule.c,1083
c/Modules/calldll.c,1194
b/lib-tk/Tix.py,1625
b/idlelib/configDialog.py,1124
c/tools/sgmlconv/docfixer.py,1073
mo/sgi/video/VFile.py,1193
added/os2emx/python23.def,946
jects/complexobject.c,1005
jects/intobject.c,1019
c/Lib/FrameWork.py,1085
c/tools/sgmlconv/conversion.xml,914
thon/exceptions.c,1169
mo/sgi/video/Vb.py,962
dules/termios.c,914
c/Modules/cm/_Cmmodule.c,922
rser/tokenizer.c,929
b/xmllib.py,933
c/tools/py2texi.el,904
thon/marshal.c,882
dules/svmodule.c,964
b/idlelib/PyShell.py,1001
b/xml/dom/minidom.py,974
dules/bsddbmodule.c,854
c/Modules/Nav.c,925
c/Modules/cg/CFMLateImport.c,1360
b/pickle.py,1063
dules/errnomodule.c,791
b/httplib.py,1262
b/plat-atheos/IN.py,945
b/urllib2.py,1111
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,893
dules/timemodule.c,898
c/Modules/htmlrender/HtmlRendermodule.c,818
dules/gcmodule.c,1052
ols/faqwiz/faqwiz.py,841
b/idlelib/EditorWindow.py,934
jects/floatobject.c,888
mo/tix/tixwidgets.py,1000
c/Modules/macmodule.c,830
b/mhlib.py,1000
dules/signalmodule.c,840
b/test/test_iter.py,883
b/imaplib.py,1342
c/Demo/waste/htmled.py,834
jects/funcobject.c,801
jects/obmalloc.c,1374
mo/curses/xmas.py,906
dules/zlibmodule.c,874
b/plat-unixware7/IN.py,836
c/Lib/mkcwproject/template-ppc/template.prj.xml,719
c/scripts/gensuitemodule.py,855
c/Lib/mkcwproject/template-carbon/template.prj.xml,710
c/Lib/Carbon/Controls.py,667
mo/rpc/rpc.py,891
c/Lib/findertools.py,833
b/aifc.py,959
dules/rgbimgmodule.c,763
dules/cdmodule.c,794
c/Modules/evt/_Evtmodule.c,705
jects/tupleobject.c,724
tup.py,1008
mo/sgi/gl/mclock.py,736
c/Lib/Carbon/Appearance.py,626
b/rfc822.py,1014
b/sre_parse.py,737
b/xmlrpclib.py,1279
b/test/test_unicode.py,759
c/Modules/qdoffs/_Qdoffsmodule.c,682
b/ftplib.py,803
c/Modules/macosmodule.c,773
b/cgi.py,1046
b/compiler/pyassem.py,823
jects/weakrefobject.c,726
SCOS/Modules/drawfmodule.c,664
c/Lib/lib-scriptpackages/Finder/Earlier_terms.py,731
b/plat-irix6/FILE.py,674
dules/imageop.c,708
b/test/test_grammar.py,731
ols/idle/PyShell.py,786
b/test/test_b1.py,651
c/Python/macglue.c,811
jects/unicodetype_db.h,577
dules/regexmodule.c,689
b/test/test_types.py,643
c/Python/macmain.c,800
ols/webchecker/webchecker.py,859
b/distutils/dist.py,1069
dules/_localemodule.c,711
rser/pgen.c,701
ols/idle/EditorWindow.py,741
dules/_codecsmodule.c,710
clude/unicodeobject.h,1124
c/Tools/IDE/Wbase.py,716
dules/cStringIO.c,733
ols/bgen/bgen/scantools.py,666
thon/errors.c,687
dules/selectmodule.c,684
c/Tools/IDE/Wwindows.py,636
c/Demo/waste/swed.py,637
dules/pcremodule.c,636
b/threading.py,691
b/test/re_tests.py,660
mo/tkinter/guido/sortvisu.py,634
dules/getaddrinfo.c,637
b/test/test_minidom.py,648
c/Tools/IDE/PyBrowser.py,597
b/distutils/ccompiler.py,1163
b/locale.py,734
c/Modules/ctbmodule.c,609
dules/readline.c,666
c/Contrib/BBPy/source/BB-stuff/ExternalInterface.h,716
b/plat-linux2/IN.py,603
c/perl/l2hinit.perl,649
c/Tools/IDE/Wlists.py,581
added/os2vacpp/python.def,480
b/pstats.py,638
jects/bufferobject.c,568
ols/unicode/makeunicodedata.py,678
c/Lib/lib-scriptpackages/CodeWarrior/CodeWarrior_suite.py,665
dules/gdbmmodule.c,523
mo/sgi/video/VCR.py,534
b/lib-old/fmt.py,623
c/Modules/ctl/ctlsupport.py,871
b/inspect.py,782
b/test/test_sax.py,643
c/tools/sgmlconv/latex2esis.py,568
mo/metaclasses/index.html,605
b/zipfile.py,582
b/unittest.py,723
c/Lib/EasyDialogs.py,584
added/os2emx/Makefile,636
c/Lib/lib-scriptpackages/StdSuites/Standard_Suite.py,704
thon/modsupport.c,523
dules/rotormodule.c,623
added/getpathp.c,642
b/doctest.py,1177
ols/freeze/modulefinder.py,502
ols/scripts/trace.py,752
b/idlelib/Debugger.py,512
c/Modules/macspeechmodule.c,546
dules/_ssl.c,522
dules/imgfile.c,502
b/test/test_weakref.py,531
jects/frameobject.c,495
dules/fcntlmodule.c,476
b/idlelib/rpc.py,553
c/Modules/icgluemodule.c,568
c/Modules/scrap/_Scrapmodule.c,476
dules/linuxaudiodev.c,507
b/plat-irix6/DEVICE.py,400
c/Demo/mpwextensions.html,484
b/bdb.py,564
dules/getpath.c,626
c/Lib/test/aete.py,475
c/Tools/IDE/Wapplication.py,465
c/Lib/Carbon/Sound.py,400
c/Makefile,657
b/plat-irix6/GL.py,393
thon/thread_sgi.h,459
b/binhex.py,531
b/os.py,637
mo/sgi/gl/kunst.py,426
dules/tclNotify.c,964
b/test/regrtest.py,807
ols/idle/AutoIndent.py,553
b/pdb.py,951
c/Modules/snd/_Sndihooks.c,513
mo/tkinter/guido/AttrDialog.py,452
b/mimify.py,464
c/Demo/building.html,475
c/Modules/fm/_Fmmodule.c,437
b/test/test_socket.py,560
dules/sunaudiodev.c,463
b/smtplib.py,735
SCOS/Modules/swimodule.c,430
c/Lib/buildtools.py,509
b/idlelib/configHandler.py,610
b/distutils/command/build_ext.py,677
b/sgmllib.py,516
c/Contrib/BBPy.lm/BBPy.c,456
dules/unicodedata.c,477
b/asyncore.py,552
dules/shamodule.c,542
ols/idle/TreeWidget.py,477
c/Modules/Printingmodule.c,465
b/idlelib/TreeWidget.py,471
b/sre_compile.py,452
c/Demo/applescript/Disk_Copy/Standard_Suite.py,477
b/test/test_scope.py,524
c/Lib/aetypes.py,564
b/idlelib/AutoIndent.py,520
thon/thread_pthread.h,530
b/distutils/command/install.py,600
c/Lib/Carbon/Icons.py,361
mo/pdist/rcvs.py,481
c/MPW/Makefile,509
b/smtpd.py,543
added/os2vacpp/getpathp.c,471
c/Demo/using.html,429
c/Demo/waste/wed.py,428
mo/tkinter/guido/solitaire.py,637
ols/scripts/ftpmirror.py,404
c/Lib/Carbon/CarbonEvents.py,352
ols/webchecker/wcgui.py,464
clude/object.h,745
thon/mactoolboxglue.c,484
c/Unsupported/PythonScript/baetypes.py,562
b/email/Message.py,723
mo/sgi/video/Vrecb.py,429
c/Tools/IDE/PyConsole.py,400
c/scripts/fullbuild.py,430
mo/sgi/video/Vrec.py,413
b/distutils/msvccompiler.py,506
b/ihooks.py,511
b/_strptime.py,488
b/distutils/command/bdist_rpm.py,486
jects/unicodectype.c,432
b/lib-tk/turtle.py,383
b/telnetlib.py,593
c/Python/macgetpath.c,446
dules/cmathmodule.c,404
dules/_curses_panel.c,471
ols/scripts/pindent.py,543
b/test/test_array.py,375
b/formatter.py,449
b/plat-irix5/flp.py,451
b/plat-irix6/flp.py,450
SCOS/Modules/riscosmodule.c,386
c/Tools/IDE/Wcontrols.py,435
dules/nismodule.c,380
c/Lib/lib-scriptpackages/Finder/Containers_and_folders.py,490
c/Python/macimport.c,445
ols/idle/PyParse.py,589
jects/structseq.c,373
c/Demo/plugins.html,361
dules/threadmodule.c,381
c/Lib/lib-scriptpackages/Finder/Window_classes.py,407
b/random.py,768
b/test/test_sre.py,430
c/tools/prechm.py,471
SCOS/Makefile,437
b/test/test_parser.py,361
b/plat-freebsd5/IN.py,355
b/test/test_long.py,408
dules/main.c,411
b/test/test_b2.py,365
b/imputil.py,719
dules/dbmmodule.c,358
b/sunau.py,474
thon/codecs.c,442
c/Lib/lib-scriptpackages/StdSuites/QuickDraw_Graphics_Suite.py,404
b/plat-unixware7/STROPTS.py,328
sc/BeOS-setup.py,602
ols/freeze/freeze.py,495
ols/modulator/modulator.py,383
dules/expat/expat.h,739
ols/i18n/pygettext.py,541
b/test/test_re.py,392
c/tools/buildindex.py,377
b/gzip.py,446
b/plat-irix6/IN.py,385
b/difflib.py,1118
b/compiler/symbols.py,417
rser/parser.c,418
c/Modules/cf/cfsupport.py,596
c/Lib/lib-scriptpackages/StdSuites/Type_Names_Suite.py,399
b/test/test_funcattrs.py,379
b/plat-irix6/WAIT.py,335
c/mwerks/malloc/malloc.c,447
b/test/test_profilehooks.py,360
b/nntplib.py,574
c/Modules/qd/qdsupport.py,660
