id,weight
nfigure,17071
c/Modules/qt/_Qtmodule.c,9934
dules/unicodename_db.h,7538
c/Modules/qd/_Qdmodule.c,7192
dules/glmodule.c,7628
c/Modules/ctl/_Ctlmodule.c,6712
dules/posixmodule.c,6858
jects/unicodeobject.c,6723
thon/compile.c,5647
dules/expat/xmlparse.c,4637
c/Modules/cf/_CFmodule.c,4380
jects/typeobject.c,4659
dules/cPickle.c,4843
c/Modules/menu/_Menumodule.c,4125
c/Modules/win/_Winmodule.c,3826
jects/stringobject.c,4154
thon/ceval.c,3847
dules/pypcre.c,4756
b/test/test_descr.py,3407
dules/socketmodule.c,3691
dules/almodule.c,3200
sc/python-mode.el,3487
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2505
dules/_sre.c,3008
jects/classobject.c,2474
dules/parsermodule.c,2910
dules/_cursesmodule.c,2630
jects/longobject.c,2712
thon/import.c,2635
jects/listobject.c,2522
dules/unicodedata_db.h,1939
b/lib-tk/Tkinter.py,3156
c/Lib/macerrors.py,1852
jects/fileobject.c,2216
dules/regexpr.c,2094
thon/graminit.c,1770
c/Modules/res/_Resmodule.c,1918
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
c/perl/python.perl,2093
dules/_tkinter.c,2284
dules/flmodule.c,2138
c/Modules/app/_Appmodule.c,1820
dules/arraymodule.c,1927
dules/expat/xmltok_impl.c,1768
jects/abstract.c,2098
b/email/test/test_email.py,2280
jects/object.c,2156
added/os2vacpp/makefile,1928
thon/bltinmodule.c,1924
c/Modules/carbonevt/_CarbonEvtmodule.c,1898
b/plat-sunos5/STROPTS.py,1813
dules/pyexpat.c,1845
ols/scripts/texi2html.py,2078
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2182
c/Modules/mlte/_Mltemodule.c,1668
jects/dictobject.c,2006
c/Modules/icn/_Icnmodule.c,1604
c/Modules/dlg/_Dlgmodule.c,1587
c/Modules/snd/_Sndmodule.c,1507
dules/expat/xmltok.c,1568
thon/exceptions.c,1823
dules/_hotshot.c,1668
c/Modules/ae/_AEmodule.c,1423
added/_winreg.c,1494
dules/structmodule.c,1546
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1690
rser/tokenizer.c,1423
c/Modules/cg/_CGmodule.c,1371
thon/getargs.c,1445
c/Tools/IDE/PyEdit.py,1387
dules/expat/xmlrole.c,1274
thon/pythonrun.c,1513
c/Modules/hfsplusmodule.c,1539
c/Lib/Carbon/QuickTime.py,1134
c/Modules/te/_TEmodule.c,1219
b/idlelib/EditorWindow.py,1390
b/compiler/pycodegen.py,1385
dules/audioop.c,1381
b/urllib.py,1472
c/Modules/list/_Listmodule.c,1196
c/Modules/macfsmodule.c,1327
c/tools/html2texi.pl,1750
dules/stropmodule.c,1244
b/compiler/transformer.py,1358
c/Modules/drag/_Dragmodule.c,1117
jects/descrobject.c,1148
b/compiler/ast.py,1241
c/Lib/Carbon/AppleEvents.py,958
c/Tools/IDE/Wtext.py,1134
dules/binascii.c,1330
dules/mmapmodule.c,1117
thon/sysmodule.c,1085
b/lib-tk/Tix.py,1641
c/Modules/calldll.c,1194
b/idlelib/configDialog.py,1124
jects/intobject.c,1072
c/tools/sgmlconv/docfixer.py,1073
c/Lib/FrameWork.py,1120
added/os2emx/python23.def,946
jects/complexobject.c,1014
c/tools/sgmlconv/conversion.xml,914
dules/termios.c,914
c/Modules/cm/_Cmmodule.c,922
b/xmllib.py,933
b/idlelib/PyShell.py,1003
c/tools/py2texi.el,904
thon/marshal.c,882
dules/svmodule.c,964
b/pickle.py,1071
b/xml/dom/minidom.py,974
dules/bsddbmodule.c,854
c/Modules/Nav.c,925
c/Modules/cg/CFMLateImport.c,1360
dules/errnomodule.c,791
b/httplib.py,1267
b/plat-atheos/IN.py,945
b/urllib2.py,1111
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,894
dules/timemodule.c,898
c/Modules/htmlrender/HtmlRendermodule.c,818
dules/gcmodule.c,1052
ols/faqwiz/faqwiz.py,841
jects/floatobject.c,888
jects/tupleobject.c,830
c/scripts/gensuitemodule.py,912
mo/tix/tixwidgets.py,1000
b/mhlib.py,1000
c/Modules/macmodule.c,830
dules/signalmodule.c,840
