id,weight
nfigure,17737
dules/unicodename_db.h,10289
c/Modules/qt/_Qtmodule.c,9994
c/Modules/qd/_Qdmodule.c,6884
dules/glmodule.c,7628
c/Modules/ctl/_Ctlmodule.c,6722
dules/posixmodule.c,7393
jects/unicodeobject.c,6745
thon/compile.c,5647
dules/expat/xmlparse.c,4637
jects/typeobject.c,5148
c/Modules/cf/_CFmodule.c,4380
dules/cPickle.c,4843
c/Modules/menu/_Menumodule.c,4135
dules/unicodedata_db.h,3781
c/Modules/win/_Winmodule.c,3836
jects/stringobject.c,4183
dules/_bsddb.c,4254
b/test/test_descr.py,3703
thon/ceval.c,3868
dules/pypcre.c,4756
dules/socketmodule.c,3691
dules/almodule.c,3200
sc/python-mode.el,3487
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2528
dules/_sre.c,2995
jects/classobject.c,2476
thon/import.c,2782
jects/longobject.c,2725
dules/parsermodule.c,2910
dules/_cursesmodule.c,2595
b/lib-tk/Tkinter.py,3626
dules/_tkinter.c,2523
jects/listobject.c,2464
jects/fileobject.c,2290
c/Lib/macerrors.py,1852
dules/regexpr.c,2094
dules/bz2module.c,2108
c/Modules/res/_Resmodule.c,1945
thon/graminit.c,1770
c/perl/python.perl,2122
c/Lib/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
b/email/test/test_email.py,2396
added/bdist_wininst/install.c,2294
c/Modules/app/_Appmodule.c,1830
dules/flmodule.c,2138
c/Modules/carbonevt/_CarbonEvtmodule.c,1978
dules/arraymodule.c,1927
dules/expat/xmltok_impl.c,1768
jects/abstract.c,2085
added/os2vacpp/makefile,1928
jects/object.c,2143
thon/bltinmodule.c,1926
b/plat-sunos5/STROPTS.py,1813
dules/pyexpat.c,1845
jects/dictobject.c,2065
c/Modules/mlte/_Mltemodule.c,1688
ols/scripts/texi2html.py,2078
c/Lib/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2182
c/Modules/icn/_Icnmodule.c,1604
c/Modules/dlg/_Dlgmodule.c,1597
c/Modules/snd/_Sndmodule.c,1549
dules/expat/xmltok.c,1568
thon/exceptions.c,1829
c/Modules/file/_Filemodule.c,1446
dules/_hotshot.c,1668
c/Modules/ae/_AEmodule.c,1437
added/_winreg.c,1494
dules/structmodule.c,1546
b/plat-sunos5/IN.py,1421
c/Modules/cg/_CGmodule.c,1381
dules/mpzmodule.c,1690
rser/tokenizer.c,1423
thon/getargs.c,1447
c/Tools/IDE/PyEdit.py,1383
dules/expat/xmlrole.c,1274
thon/pythonrun.c,1519
c/Modules/te/_TEmodule.c,1321
c/Modules/hfsplusmodule.c,1539
c/Lib/Carbon/QuickTime.py,1134
b/idlelib/EditorWindow.py,1391
dules/audioop.c,1381
b/compiler/pycodegen.py,1385
b/urllib.py,1472
jects/unicodetype_db.h,1090
c/Modules/list/_Listmodule.c,1194
c/Modules/macfsmodule.c,1327
c/tools/html2texi.pl,1750
c/Modules/drag/_Dragmodule.c,1127
dules/stropmodule.c,1244
b/compiler/transformer.py,1358
jects/descrobject.c,1148
b/compiler/ast.py,1241
thon/sysmodule.c,1122
c/Lib/Carbon/AppleEvents.py,958
c/Tools/IDE/Wtext.py,1134
dules/binascii.c,1330
dules/mmapmodule.c,1117
b/lib-tk/Tix.py,1700
jects/intobject.c,1086
c/Modules/calldll.c,1194
b/idlelib/configDialog.py,1124
b/idlelib/PyShell.py,1117
c/tools/sgmlconv/docfixer.py,1073
c/Lib/FrameWork.py,1120
added/os2emx/python23.def,946
jects/complexobject.c,1014
c/Modules/cm/_Cmmodule.c,942
c/tools/sgmlconv/conversion.xml,914
dules/termios.c,914
c/tools/py2texi.el,920
c/Modules/Nav.c,961
b/xmllib.py,933
b/optparse.py,1384
thon/marshal.c,882
dules/svmodule.c,964
b/xml/dom/minidom.py,974
dules/bsddbmodule.c,854
c/Modules/cg/CFMLateImport.c,1360
b/pickle.py,1062
dules/errnomodule.c,791
b/plat-atheos/IN.py,945
b/urllib2.py,1113
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,894
dules/timemodule.c,898
c/Modules/htmlrender/HtmlRendermodule.c,818
