id,weight
nfigure,17829
dules/unicodename_db.h,10289
c/Modules/qt/_Qtmodule.c,9787
c/Modules/qd/_Qdmodule.c,6870
dules/posixmodule.c,7712
dules/glmodule.c,7628
c/Modules/ctl/_Ctlmodule.c,5861
jects/unicodeobject.c,6756
thon/compile.c,5643
dules/expat/xmlparse.c,4637
jects/typeobject.c,5153
dules/datetimemodule.c,5392
c/Modules/cf/_CFmodule.c,4412
dules/cPickle.c,4849
dules/unicodedata_db.h,3781
dules/_bsddb.c,4513
jects/stringobject.c,4197
c/Modules/menu/_Menumodule.c,3488
b/test/test_descr.py,3715
thon/ceval.c,3868
dules/pypcre.c,4756
dules/socketmodule.c,3800
c/Modules/win/_Winmodule.c,3235
dules/almodule.c,3200
sc/python-mode.el,3487
c/Modules/file/_Filemodule.c,2775
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2602
dules/_tkinter.c,2980
dules/_sre.c,2995
thon/import.c,2855
jects/classobject.c,2484
dules/parsermodule.c,2910
jects/longobject.c,2706
dules/_cursesmodule.c,2595
b/test/test_datetime.py,2739
b/lib-tk/Tkinter.py,3626
jects/listobject.c,2467
jects/fileobject.c,2313
c/Modules/carbonevt/_CarbonEvtmodule.c,2218
b/plat-mac/macerrors.py,1852
dules/bz2module.c,2123
dules/regexpr.c,2094
thon/graminit.c,1770
c/perl/python.perl,2122
b/email/test/test_email.py,2426
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
jects/abstract.c,2177
added/bdist_wininst/install.c,2294
c/Modules/app/_Appmodule.c,1830
dules/flmodule.c,2138
dules/arraymodule.c,1927
dules/expat/xmltok_impl.c,1768
added/os2vacpp/makefile,1928
jects/object.c,2143
c/Modules/res/_Resmodule.c,1756
thon/bltinmodule.c,1928
b/plat-sunos5/STROPTS.py,1813
dules/pyexpat.c,1845
c/Modules/mlte/_Mltemodule.c,1722
jects/dictobject.c,2059
ols/scripts/texi2html.py,2078
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2182
c/Modules/icn/_Icnmodule.c,1558
c/Modules/dlg/_Dlgmodule.c,1602
thon/exceptions.c,1842
dules/expat/xmltok.c,1568
dules/_hotshot.c,1669
c/Modules/ae/_AEmodule.c,1446
added/_winreg.c,1494
dules/structmodule.c,1546
c/Modules/cg/_CGmodule.c,1411
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1690
rser/tokenizer.c,1425
thon/getargs.c,1447
c/Modules/te/_TEmodule.c,1339
thon/pythonrun.c,1527
c/Tools/IDE/PyEdit.py,1383
dules/expat/xmlrole.c,1274
c/Modules/hfsplusmodule.c,1531
b/plat-mac/Carbon/QuickTime.py,1134
b/idlelib/EditorWindow.py,1384
dules/audioop.c,1381
b/compiler/pycodegen.py,1385
b/urllib.py,1472
jects/unicodetype_db.h,1090
c/tools/html2texi.pl,1750
jects/descrobject.c,1220
c/Modules/drag/_Dragmodule.c,1157
c/Modules/list/_Listmodule.c,1163
c/Modules/snd/_Sndmodule.c,1161
dules/stropmodule.c,1244
b/compiler/transformer.py,1358
b/lib-tk/Tix.py,1815
b/compiler/ast.py,1241
thon/sysmodule.c,1122
b/idlelib/PyShell.py,1266
b/plat-mac/Carbon/AppleEvents.py,958
c/Tools/IDE/Wtext.py,1134
dules/binascii.c,1330
dules/mmapmodule.c,1117
dules/zipimport.c,1188
added/os2emx/python23.def,1001
c/Modules/calldll.c,1194
b/idlelib/configDialog.py,1124
jects/intobject.c,1053
c/tools/sgmlconv/docfixer.py,1073
b/plat-mac/FrameWork.py,1120
jects/complexobject.c,1014
c/Modules/cm/_Cmmodule.c,954
c/tools/sgmlconv/conversion.xml,914
dules/termios.c,914
dules/ossaudiodev.c,1071
c/tools/py2texi.el,920
b/xmllib.py,933
c/Modules/Nav.c,957
b/optparse.py,1384
thon/marshal.c,882
dules/svmodule.c,964
b/xml/dom/minidom.py,974
dules/bsddbmodule.c,854
c/Modules/cg/CFMLateImport.c,1360
b/pickle.py,1062
dules/errnomodule.c,791
b/plat-atheos/IN.py,945
b/urllib2.py,1113
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,894
dules/timemodule.c,898
c/Modules/htmlrender/HtmlRendermodule.c,818
dules/gcmodule.c,1052
ols/faqwiz/faqwiz.py,841
b/imaplib.py,1439
b/httplib.py,1244
dules/unicodedata.c,897
jects/tupleobject.c,832
c/scripts/gensuitemodule.py,912
jects/floatobject.c,892
b/mhlib.py,1000
b/test/test_unicode.py,863
dules/signalmodule.c,840
b/test/test_iter.py,883
c/Demo/waste/htmled.py,834
jects/funcobject.c,801
thon/codecs.c,850
mo/tix/tixwidgets.py,1004
mo/curses/xmas.py,906
jects/obmalloc.c,1375
mo/tkinter/guido/ss1.py,845
dules/zlibmodule.c,874
b/plat-unixware7/IN.py,836
tup.py,1048
c/Lib/mkcwproject/template-carbon/template.prj.xml,710
b/plat-mac/Carbon/Controls.py,667
mo/rpc/rpc.py,891
b/aifc.py,959
b/plat-mac/findertools.py,833
dules/rgbimgmodule.c,763
dules/cdmodule.c,794
c/Modules/qdoffs/_Qdoffsmodule.c,722
dules/_codecsmodule.c,814
thon/errors.c,778
b/xmlrpclib.py,1311
jects/frameobject.c,809
dules/_localemodule.c,785
b/plat-mac/Carbon/Appearance.py,626
jects/weakrefobject.c,752
b/rfc822.py,1014
b/sre_parse.py,737
c/Modules/macmodule.c,722
b/test/test_types.py,686
b/plat-mac/lib-scriptpackages/Finder/Earlier_terms.py,746
c/Tools/IDE/Wbase.py,794
b/ftplib.py,803
b/bsddb/test/test_basics.py,850
b/cgi.py,1049
b/compiler/pyassem.py,823
SCOS/Modules/drawfmodule.c,664
b/plat-irix6/FILE.py,674
dules/imageop.c,708
b/test/test_b1.py,673
ols/idle/PyShell.py,794
b/test/test_grammar.py,738
b/distutils/dist.py,1077
dules/regexmodule.c,689
ols/webchecker/webchecker.py,861
ols/idle/EditorWindow.py,753
c/Modules/macosmodule.c,725
ols/unicode/makeunicodedata.py,781
rser/pgen.c,701
clude/unicodeobject.h,1138
ols/bgen/bgen/scantools.py,669
dules/cStringIO.c,734
dules/selectmodule.c,688
b/distutils/ccompiler.py,1215
c/Tools/IDE/Wwindows.py,636
