id,weight
nfigure,19693
dules/unicodename_db.h,10289
c/Modules/qt/_Qtmodule.c,9789
c/Modules/qd/_Qdmodule.c,6872
dules/glmodule.c,7628
dules/posixmodule.c,7447
jects/unicodeobject.c,6840
c/Modules/ctl/_Ctlmodule.c,5861
dules/expat/xmlparse.c,5695
thon/compile.c,5787
jects/typeobject.c,5689
dules/cPickle.c,5761
c/Modules/cf/_CFmodule.c,4460
dules/unicodedata_db.h,3781
dules/_bsddb.c,4688
jects/stringobject.c,4227
b/test/test_descr.py,4067
dules/datetimemodule.c,4854
dules/socketmodule.c,4145
thon/ceval.c,4142
c/Modules/menu/_Menumodule.c,3488
c/Modules/win/_Winmodule.c,3255
dules/pypcre.c,4756
c/Modules/file/_Filemodule.c,3324
dules/almodule.c,3222
sc/python-mode.el,3726
dules/_tkinter.c,3199
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2602
dules/_sre.c,3158
jects/longobject.c,2912
b/test/test_datetime.py,3113
thon/import.c,2919
jects/classobject.c,2515
dules/parsermodule.c,2957
dules/_cursesmodule.c,2618
thon/bltinmodule.c,2408
b/lib-tk/Tkinter.py,3665
jects/fileobject.c,2382
jects/listobject.c,2501
b/email/test/test_email.py,2720
c/Modules/carbonevt/_CarbonEvtmodule.c,2218
b/plat-mac/macerrors.py,1852
dules/bz2module.c,2191
dules/regexpr.c,2094
c/perl/python.perl,2142
thon/graminit.c,1770
dules/pyexpat.c,2057
dules/arraymodule.c,2037
jects/abstract.c,2192
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
added/bdist_wininst/install.c,2294
c/Modules/app/_Appmodule.c,1830
dules/flmodule.c,2138
dules/expat/xmltok_impl.c,1779
jects/object.c,2233
added/os2vacpp/makefile,1928
c/Modules/res/_Resmodule.c,1756
dules/itertoolsmodule.c,1852
b/plat-sunos5/STROPTS.py,1813
c/Modules/mlte/_Mltemodule.c,1722
jects/dictobject.c,2086
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2215
ols/scripts/texi2html.py,2078
b/xml/dom/minidom.py,1938
c/Modules/icn/_Icnmodule.c,1558
c/Modules/dlg/_Dlgmodule.c,1604
dules/expat/xmltok.c,1634
thon/exceptions.c,1857
c/Modules/ae/_AEmodule.c,1477
dules/_hotshot.c,1660
thon/getargs.c,1562
added/_winreg.c,1494
thon/pythonrun.c,1675
dules/_csv.c,1555
b/tarfile.py,1934
c/Modules/cg/_CGmodule.c,1411
dules/expat/xmlrole.c,1323
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1690
rser/tokenizer.c,1432
c/Modules/te/_TEmodule.c,1339
c/Tools/IDE/PyEdit.py,1364
b/test/test_minidom.py,1370
c/Modules/hfsplusmodule.c,1531
b/plat-mac/Carbon/QuickTime.py,1134
b/idlelib/EditorWindow.py,1420
thon/sysmodule.c,1294
b/urllib.py,1484
dules/structmodule.c,1297
dules/audioop.c,1381
jects/unicodetype_db.h,1090
b/compiler/pycodegen.py,1384
jects/descrobject.c,1252
c/tools/html2texi.pl,1750
c/Modules/drag/_Dragmodule.c,1157
c/Modules/list/_Listmodule.c,1163
added/os2emx/python23.def,1161
c/Modules/snd/_Sndmodule.c,1164
b/compiler/transformer.py,1382
dules/stropmodule.c,1244
b/idlelib/PyShell.py,1327
jects/intobject.c,1190
b/lib-tk/Tix.py,1801
b/test/test_builtin.py,1162
b/plat-mac/gensuitemodule.py,1213
b/compiler/ast.py,1241
c/Tools/IDE/Wtext.py,1136
dules/binascii.c,1337
b/plat-mac/Carbon/AppleEvents.py,958
dules/mmapmodule.c,1124
jects/floatobject.c,1253
dules/zipimport.c,1188
b/idlelib/configDialog.py,1183
b/pickle.py,1403
c/Modules/calldll.c,1194
b/pickletools.py,2242
c/tools/sgmlconv/docfixer.py,1073
jects/complexobject.c,1025
b/plat-mac/FrameWork.py,1123
b/test/test_optparse.py,1203
c/Modules/cm/_Cmmodule.c,954
c/tools/sgmlconv/conversion.xml,914
dules/termios.c,918
c/tools/py2texi.el,935
dules/ossaudiodev.c,1094
b/xmllib.py,933
c/Modules/Nav.c,955
b/optparse.py,1399
thon/marshal.c,882
dules/svmodule.c,964
b/urllib2.py,1164
dules/gcmodule.c,1117
dules/bsddbmodule.c,856
c/Modules/cg/CFMLateImport.c,1360
dules/errnomodule.c,791
dules/timemodule.c,940
b/plat-atheos/IN.py,945
b/plat-mac/pimp.py,1002
jects/funcobject.c,875
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,894
