id,weight
nfigure,20038
dules/unicodename_db.h,10289
c/Modules/qt/_Qtmodule.c,9779
c/Modules/qd/_Qdmodule.c,7142
dules/posixmodule.c,7537
dules/glmodule.c,7628
jects/unicodeobject.c,7091
c/Modules/ctl/_Ctlmodule.c,5803
dules/expat/xmlparse.c,5814
thon/compile.c,5774
jects/typeobject.c,5748
dules/cPickle.c,5761
c/Modules/cf/_CFmodule.c,4444
dules/unicodedata_db.h,3781
dules/_bsddb.c,4795
jects/stringobject.c,4355
b/test/test_descr.py,4067
dules/socketmodule.c,4240
dules/datetimemodule.c,4854
thon/ceval.c,4154
c/Modules/menu/_Menumodule.c,3468
c/Modules/win/_Winmodule.c,3257
dules/pypcre.c,4756
c/Modules/file/_Filemodule.c,3249
dules/almodule.c,3222
sc/python-mode.el,3768
dules/_sre.c,3346
dules/_tkinter.c,3054
dules/clmodule.c,2557
c/Modules/waste/wastemodule.c,2594
jects/longobject.c,2912
b/test/test_datetime.py,3113
jects/listobject.c,2846
jects/classobject.c,2516
thon/import.c,2825
dules/parsermodule.c,2953
dules/_cursesmodule.c,2618
dules/itertoolsmodule.c,2472
thon/bltinmodule.c,2453
b/lib-tk/Tkinter.py,3665
b/email/test/test_email.py,2727
jects/fileobject.c,2362
c/Modules/carbonevt/_CarbonEvtmodule.c,2214
b/plat-mac/macerrors.py,1852
dules/bz2module.c,2191
c/perl/python.perl,2178
dules/regexpr.c,2094
thon/graminit.c,1770
dules/pyexpat.c,2057
dules/arraymodule.c,2037
jects/abstract.c,2192
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
added/bdist_wininst/install.c,2294
c/Modules/app/_Appmodule.c,1820
dules/flmodule.c,2138
dules/expat/xmltok_impl.c,1779
added/os2vacpp/makefile,1928
c/Modules/res/_Resmodule.c,1743
b/plat-sunos5/STROPTS.py,1813
jects/dictobject.c,2096
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2215
ols/scripts/texi2html.py,2078
c/Modules/mlte/_Mltemodule.c,1696
jects/object.c,2049
c/Modules/icn/_Icnmodule.c,1599
b/xml/dom/minidom.py,1938
c/Modules/dlg/_Dlgmodule.c,1595
dules/expat/xmltok.c,1634
thon/exceptions.c,1857
c/Modules/ae/_AEmodule.c,1458
added/_winreg.c,1526
dules/_hotshot.c,1656
thon/getargs.c,1562
dules/_csv.c,1556
thon/pythonrun.c,1675
b/plat-mac/Carbon/QuickTime.py,1252
b/tarfile.py,1934
dules/expat/xmlrole.c,1323
b/plat-sunos5/IN.py,1421
dules/mpzmodule.c,1690
rser/tokenizer.c,1421
c/Modules/te/_TEmodule.c,1330
c/Modules/cg/_CGmodule.c,1307
c/Tools/IDE/PyEdit.py,1359
b/test/test_minidom.py,1370
c/Modules/osa/_OSAmodule.c,1234
b/idlelib/EditorWindow.py,1424
thon/sysmodule.c,1294
b/urllib.py,1484
dules/audioop.c,1381
dules/structmodule.c,1288
jects/unicodetype_db.h,1090
b/compiler/pycodegen.py,1384
jects/descrobject.c,1255
c/tools/html2texi.pl,1750
b/test/test_set.py,1328
added/os2emx/python23.def,1161
c/Modules/drag/_Dragmodule.c,1148
b/compiler/transformer.py,1382
c/Modules/snd/_Sndmodule.c,1151
dules/stropmodule.c,1244
c/Modules/list/_Listmodule.c,1129
b/idlelib/PyShell.py,1332
b/test/test_builtin.py,1193
b/lib-tk/Tix.py,1801
jects/intobject.c,1172
jects/setobject.c,1117
b/plat-mac/gensuitemodule.py,1213
b/compiler/ast.py,1241
b/plat-mac/Carbon/AppleEvents.py,960
c/Tools/IDE/Wtext.py,1136
dules/binascii.c,1337
dules/mmapmodule.c,1124
jects/floatobject.c,1253
dules/zipimport.c,1188
b/idlelib/configDialog.py,1183
b/pickle.py,1403
b/pickletools.py,2242
c/tools/sgmlconv/docfixer.py,1073
jects/complexobject.c,1025
b/plat-mac/FrameWork.py,1123
b/test/test_optparse.py,1203
c/tools/sgmlconv/conversion.xml,914
b/urllib2.py,1294
c/Modules/cm/_Cmmodule.c,945
dules/termios.c,924
c/tools/py2texi.el,939
dules/gcmodule.c,1251
dules/ossaudiodev.c,1094
b/xmllib.py,933
c/Modules/Nav.c,943
b/optparse.py,1399
thon/marshal.c,882
dules/svmodule.c,964
dules/bsddbmodule.c,856
c/Modules/cg/CFMLateImport.c,1360
dules/errnomodule.c,786
b/httplib.py,1278
b/plat-atheos/IN.py,945
b/plat-mac/pimp.py,1002
jects/funcobject.c,875
dules/puremodule.c,986
c/Tools/IDE/PyDebugger.py,894
jects/tupleobject.c,858
b/imaplib.py,1452
ols/faqwiz/faqwiz.py,841
b/xml/dom/expatbuilder.py,983
b/test/test_array.py,887
dules/unicodedata.c,899
dules/timemodule.c,884
tup.py,1148
b/mhlib.py,999
dules/zlibmodule.c,907
b/test/test_iter.py,886
b/xmlrpclib.py,1421
thon/codecs.c,849
c/Demo/waste/htmled.py,831
mo/tix/tixwidgets.py,1004
mo/curses/xmas.py,906
jects/obmalloc.c,1375
mo/tkinter/guido/ss1.py,845
b/plat-unixware7/IN.py,836
b/plat-mac/EasyDialogs.py,839
b/bsddb/test/test_basics.py,932
b/plat-mac/Carbon/Controls.py,668
mo/rpc/rpc.py,891
b/sre_parse.py,777
b/aifc.py,959
b/plat-mac/findertools.py,832
dules/rgbimgmodule.c,763
dules/cdmodule.c,794
dules/_codecsmodule.c,816
b/plat-mac/Carbon/Appearance.py,648
b/platform.py,1236
jects/weakrefobject.c,783
c/Modules/qdoffs/_Qdoffsmodule.c,713
jects/frameobject.c,815
thon/errors.c,771
dules/_localemodule.c,779
b/rfc822.py,1010
c/Tools/IDE/Wbase.py,798
b/ftplib.py,803
b/cgi.py,1049
b/compiler/pyassem.py,818
SCOS/Modules/drawfmodule.c,664
b/test/test_sets.py,842
b/distutils/dist.py,1104
b/test/test_weakref.py,868
b/plat-irix6/FILE.py,674
dules/imageop.c,708
b/doctest.py,1505
b/distutils/ccompiler.py,1266
ols/webchecker/webchecker.py,869
b/test/test_grammar.py,741
dules/regexmodule.c,689
b/test/pickletester.py,953
dules/signalmodule.c,679
c/Modules/file/filesupport.py,852
clude/unicodeobject.h,1158
b/plat-mac/bundlebuilder.py,916
ols/unicode/makeunicodedata.py,781
rser/pgen.c,699
dules/cStringIO.c,731
b/test/test_unicode.py,722
c/perl/l2hinit.perl,734
ols/bgen/bgen/scantools.py,669
dules/selectmodule.c,688
b/threading.py,715
b/test/test_csv.py,724
b/test/test_codeccallbacks.py,709
dules/readline.c,757
b/test/test_itertools.py,832
c/Tools/IDE/Wwindows.py,636
b/test/re_tests.py,674
c/Demo/waste/swed.py,635
dules/pcremodule.c,636
dules/fcntlmodule.c,594
b/test/test_socket.py,755
c/Tools/IDE/PyBrowser.py,617
b/locale.py,778
dules/getaddrinfo.c,638
mo/tkinter/guido/sortvisu.py,634
b/test/string_tests.py,656
dules/_ssl.c,639
b/plat-linux2/IN.py,616
SCOS/Modules/swimodule.c,575
dules/_testcapimodule.c,643
b/test/test_re.py,621
b/test/test_copy.py,575
c/Modules/evt/_Evtmodule.c,548
b/unittest.py,801
b/logging/__init__.py,1196
SCOS/Modules/riscosmodule.c,570
c/Tools/IDE/Wlists.py,582
b/pstats.py,646
b/plat-mac/lib-scriptpackages/CodeWarrior/CodeWarrior_suite.py,682
added/os2vacpp/python.def,480
b/zipfile.py,615
added/os2emx/Makefile,671
added/getpathp.c,680
jects/bufferobject.c,568
b/modulefinder.py,591
b/plat-mac/lib-scriptpackages/StdSuites/Standard_Suite.py,738
b/test/test_sax.py,660
b/inspect.py,800
dules/gdbmmodule.c,523
b/test/test_urllib2.py,628
b/lib-old/fmt.py,623
b/idlelib/IOBinding.py,574
thon/modsupport.c,548
c/tools/sgmlconv/latex2esis.py,565
mo/metaclasses/index.html,605
c/Modules/ctl/ctlsupport.py,826
b/plat-mac/lib-scriptpackages/StdSuites/__init__.py,472
b/plat-mac/Carbon/CarbonEvents.py,451
dules/rotormodule.c,627
b/bsddb/dbtables.py,693
