id,weight
c/Modules/qt/_Qtmodule.c,28083
nfigure,23467
dules/unicodename_db.h,12543
dules/posixmodule.c,8619
c/Modules/qd/_Qdmodule.c,7144
jects/unicodeobject.c,8068
dules/glmodule.c,7628
dules/expat/xmlparse.c,6268
dules/_ctypes/libffi/configure,6864
c/Modules/ctl/_Ctlmodule.c,5804
dules/unicodedata_db.h,5135
dules/_bsddb.c,6041
dules/cjkcodecs/mappings_jp.h,4765
jects/typeobject.c,5848
dules/cPickle.c,5753
c/Modules/cf/_CFmodule.c,4995
jects/stringobject.c,4992
dules/cjkcodecs/mappings_cn.h,4103
dules/socketmodule.c,5094
dules/_ctypes/_ctypes.c,4861
b/test/test_descr.py,4246
dules/datetimemodule.c,4979
thon/ceval.c,4349
b/plat-mac/Carbon/QuickTime.py,3468
c/Modules/menu/_Menumodule.c,3469
dules/cjkcodecs/mappings_kr.h,3251
thon/compile.c,3944
thon/Python-ast.c,3202
c/Modules/win/_Winmodule.c,3258
c/Modules/file/_Filemodule.c,3296
dules/almodule.c,3226
sc/python-mode.el,3768
thon/ast.c,3266
dules/cjkcodecs/mappings_tw.h,2633
dules/_sre.c,3410
jects/longobject.c,3418
dules/_tkinter.c,3165
thon/import.c,3129
dules/parsermodule.c,3294
dules/clmodule.c,2559
b/test/test_datetime.py,3270
dules/cjkcodecs/mappings_hk.h,2340
jects/listobject.c,2932
b/email/test/test_email_renamed.py,3255
jects/classobject.c,2578
b/email/test/test_email.py,3249
thon/bltinmodule.c,2620
dules/_cursesmodule.c,2700
dules/itertoolsmodule.c,2544
thon/graminit.c,2126
dules/_elementtree.c,2815
b/lib-tk/Tkinter.py,3759
jects/fileobject.c,2478
added/bdist_wininst/install.c,2543
jects/abstract.c,2381
c/Modules/carbonevt/_CarbonEvtmodule.c,2222
dules/bz2module.c,2229
b/plat-mac/macerrors.py,1852
dules/arraymodule.c,2128
dules/pyexpat.c,2149
jects/dictobject.c,2411
jects/setobject.c,2201
c/perl/python.perl,2178
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
c/Modules/app/_Appmodule.c,1821
dules/flmodule.c,2139
dules/expat/xmltok_impl.c,1779
c/Modules/res/_Resmodule.c,1744
jects/object.c,2139
jects/exceptions.c,2147
added/os2vacpp/makefile,1886
b/decimal.py,3137
b/mailbox.py,2064
b/plat-sunos5/STROPTS.py,1813
dules/_struct.c,1878
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2215
ols/scripts/texi2html.py,2078
c/Modules/mlte/_Mltemodule.c,1681
c/Modules/icn/_Icnmodule.c,1599
dules/cjkcodecs/multibytecodec.c,1793
b/xml/dom/minidom.py,1936
thon/getargs.c,1770
b/test/test_builtin.py,1765
c/Modules/dlg/_Dlgmodule.c,1596
dules/_ctypes/libffi/config.sub,1569
thon/pythonrun.c,1857
dules/expat/xmltok.c,1639
b/test/test_mailbox.py,1795
b/tarfile.py,2149
ols/msi/uisample.py,1400
dules/_ctypes/cfield.c,1676
c/Modules/ae/_AEmodule.c,1454
dules/_csv.c,1604
added/_winreg.c,1521
jects/floatobject.c,1748
dules/_hotshot.c,1647
rser/tokenizer.c,1535
jects/unicodetype_db.h,1269
dules/expat/xmlrole.c,1330
thon/sysmodule.c,1466
b/locale.py,1562
dules/audioop.c,1612
b/plat-sunos5/IN.py,1421
dules/_ctypes/callproc.c,1598
b/compiler/pycodegen.py,1531
thon/symtable.c,1424
c/Modules/te/_TEmodule.c,1331
added/os2emx/python25.def,1314
b/idlelib/EditorWindow.py,1511
c/Modules/cg/_CGmodule.c,1308
b/test/test_optparse.py,1640
b/test/test_minidom.py,1397
b/test/test_set.py,1460
dules/_ctypes/libffi/config.guess,1453
b/urllib.py,1530
c/Modules/osa/_OSAmodule.c,1235
dules/collectionsmodule.c,1361
dules/zlib/deflate.c,1736
jects/descrobject.c,1283
b/compiler/transformer.py,1490
b/idlelib/PyShell.py,1439
b/test/test_cookielib.py,1736
b/doctest.py,2637
b/cookielib.py,1776
b/lib-tk/Tix.py,1888
c/tools/html2texi.pl,1750
jects/intobject.c,1252
b/compiler/ast.py,1356
c/Modules/drag/_Dragmodule.c,1149
dules/zlib/inflate.c,1368
thon/marshal.c,1143
dules/stropmodule.c,1248
c/Modules/snd/_Sndmodule.c,1151
c/Modules/list/_Listmodule.c,1130
b/test/cjkencodings_test.py,1004
dules/unicodedata.c,1223
dules/_sqlite/connection.c,1255
dules/mmapmodule.c,1186
b/test/test_codecs.py,1245
b/plat-mac/gensuitemodule.py,1213
dules/cjkcodecs/_codecs_iso2022.c,1123
dules/binascii.c,1351
b/plat-mac/Carbon/AppleEvents.py,960
tup.py,1524
b/optparse.py,1682
dules/zipimport.c,1191
b/idlelib/configDialog.py,1147
b/test/string_tests.py,1173
b/msilib/schema.py,1007
ols/msi/schema.py,1007
b/pickle.py,1383
dules/gcmodule.c,1389
b/pickletools.py,2246
b/plat-mac/pimp.py,1177
b/httplib.py,1428
jects/complexobject.c,1031
c/tools/sgmlconv/docfixer.py,1073
ols/msi/msi.py,1203
b/plat-mac/FrameWork.py,1123
dules/_sqlite/cursor.c,1057
dules/ossaudiodev.c,1136
jects/obmalloc.c,1744
added/_msi.c,1008
dules/_ctypes/libffi/src/powerpc/ffi.c,1249
c/tools/sgmlconv/conversion.xml,914
dules/termios.c,926
c/Modules/cm/_Cmmodule.c,947
b/urllib2.py,1354
c/tools/py2texi.el,951
dules/timemodule.c,1020
dules/zlibmodule.c,1027
b/xmllib.py,929
b/test/test_array.py,974
c/Modules/Nav.c,943
dules/svmodule.c,966
dules/bsddbmodule.c,858
b/test/test_bigmem.py,964
c/Modules/cg/CFMLateImport.c,1360
dules/zlib/trees.c,1219
b/test/test_decimal.py,1133
jects/tupleobject.c,890
dules/errnomodule.c,788
jects/funcobject.c,888
b/imaplib.py,1499
b/xmlrpclib.py,1488
dules/_lsprof.c,875
b/plat-atheos/IN.py,944
jects/weakrefobject.c,938
dules/_codecsmodule.c,934
dules/puremodule.c,988
b/test/test_weakref.py,1144
dules/_ctypes/libffi/src/sh/sysv.S,845
ols/faqwiz/faqwiz.py,841
b/xml/dom/expatbuilder.py,983
dules/zlib/gzio.c,1026
b/mhlib.py,1001
b/difflib.py,2020
ols/pybench/Lookups.py,945
b/bsddb/test/test_basics.py,989
jects/unicodectype.c,789
dules/readline.c,941
b/test/test_iter.py,886
thon/codecs.c,860
ols/unicode/makeunicodedata.py,943
ols/bgen/bgen/scantools.py,849
b/test/test_socket.py,962
b/zipfile.py,900
mo/tix/tixwidgets.py,1003
mo/curses/xmas.py,906
mo/tkinter/guido/ss1.py,845
b/plat-unixware7/IN.py,836
b/sre_parse.py,796
b/encodings/cp437.py,698
b/encodings/cp855.py,698
b/encodings/cp852.py,698
b/encodings/cp866.py,698
b/encodings/cp850.py,698
b/encodings/cp775.py,697
b/encodings/cp865.py,698
b/encodings/cp862.py,698
b/encodings/cp863.py,698
b/encodings/cp861.py,698
b/encodings/cp860.py,698
b/encodings/mac_arabic.py,698
b/encodings/cp737.py,698
b/test/test_urllib2.py,1054
b/encodings/cp857.py,694
b/plat-mac/EasyDialogs.py,838
b/encodings/cp864.py,690
b/encodings/cp869.py,689
b/distutils/dist.py,1222
b/plat-mac/Carbon/Controls.py,668
b/test/test_grammar.py,855
mo/rpc/rpc.py,893
ols/pybench/Exceptions.py,699
dules/rgbimgmodule.c,780
thon/errors.c,816
b/aifc.py,961
b/plat-mac/findertools.py,831
dules/cdmodule.c,796
b/platform.py,1254
b/plat-mac/Carbon/Appearance.py,648
dules/imageop.c,785
ols/pybench/Numbers.py,784
jects/frameobject.c,849
b/test/test_unicode.py,828
c/Modules/qdoffs/_Qdoffsmodule.c,714
ols/pybench/pybench.py,943
b/cgi.py,1071
b/test/test_itertools.py,954
clude/unicodeobject.h,1265
dules/_localemodule.c,780
b/ftplib.py,812
b/test/test_codeccallbacks.py,800
b/test/test_sets.py,856
b/rfc822.py,1002
dules/threadmodule.c,719
jects/bufferobject.c,706
b/test/regrtest.py,1381
dules/_testcapimodule.c,782
dules/sha512module.c,769
ols/pybench/Arithmetic.py,777
SCOS/Modules/drawfmodule.c,664
c/Modules/file/filesupport.py,897
b/compiler/pyassem.py,818
dules/cjkcodecs/_codecs_jp.c,731
ols/webchecker/webchecker.py,892
dules/_ssl.c,726
b/threading.py,816
dules/_ctypes/libffi/src/sh/ffi.c,728
b/xml/etree/ElementTree.py,1260
b/plat-irix6/FILE.py,674
rser/spark.py,840
b/test/test_re.py,728
b/distutils/ccompiler.py,1268
c/perl/l2hinit.perl,801
b/logging/__init__.py,1369
b/test/pickletester.py,969
dules/cStringIO.c,747
dules/selectmodule.c,734
b/plat-mac/bundlebuilder.py,934
b/sqlite3/test/dbapi.py,732
rser/pgen.c,706
dules/signalmodule.c,676
rser/asdl_c.py,777
b/subprocess.py,1217
ols/msi/msilib.py,674
b/pdb.py,1214
dules/fcntlmodule.c,603
b/test/re_tests.py,674
dules/sha256module.c,701
c/BuildScript/build-installer.py,1059
dules/_heapqmodule.c,619
dules/getaddrinfo.c,638
thon/modsupport.c,631
mo/tkinter/guido/sortvisu.py,634
SCOS/Modules/riscosmodule.c,603
dules/operator.c,604
b/test/mapping_tests.py,672
b/test/test_sax.py,751
b/logging/handlers.py,1019
b/pstats.py,684
ols/pybench/Constructs.py,564
b/test/test_with.py,620
b/test/test_copy.py,591
b/plat-linux2/IN.py,615
b/trace.py,792
b/test/test_difflib_expect.html,526
SCOS/Modules/swimodule.c,575
b/lib-tk/turtle.py,956
b/inspect.py,874
b/test/test_subprocess.py,651
b/unittest.py,807
c/Modules/evt/_Evtmodule.c,548
b/test/test_tarfile.py,664
b/test/test_trace.py,626
added/getpathp.c,702
added/os2emx/Makefile,694
c/Modules/MacOS.c,644
dules/zlib/infback.c,623
b/plat-mac/lib-scriptpackages/CodeWarrior/CodeWarrior_suite.py,682
b/modulefinder.py,595
added/os2vacpp/python.def,473
b/plat-mac/lib-scriptpackages/StdSuites/Standard_Suite.py,738
dules/_ctypes/libffi/src/powerpc/ffi_darwin.c,771
thon/peephole.c,615
b/idlelib/IOBinding.py,584
dules/_ctypes/libffi/src/mips/ffi.c,648
dules/_ctypes/libffi/src/s390/ffi.c,751
b/plat-freebsd7/IN.py,535
b/test/test_struct.py,619
c/tools/sgmlconv/latex2esis.py,565
dules/gdbmmodule.c,515
mo/metaclasses/index.html,605
c/Modules/ctl/ctlsupport.py,826
b/plat-mac/lib-scriptpackages/StdSuites/__init__.py,471
b/plat-mac/Carbon/CarbonEvents.py,451
b/distutils/command/bdist_msi.py,639
dules/_ctypes/libffi/src/sparc/ffi.c,608
dules/_ctypes/_ctypes_test.c,554
b/bsddb/dbtables.py,706
dules/getpath.c,694
dules/_ctypes/libffi/src/sh64/sysv.S,525
b/plat-freebsd6/IN.py,515
b/distutils/msvccompiler.py,638
dules/zlib/crc32.h,441
b/calendar.py,701
ols/pybench/Strings.py,562
b/idlelib/configHandler.py,696
c/Makefile,736
b/test/test_tempfile.py,668
mo/parser/unparse.py,516
b/idlelib/rpc.py,602
b/test/test_deque.py,615
b/sre_compile.py,531
dules/main.c,556
b/bdb.py,613
dules/_ctypes/libffi/src/pa/ffi.c,625
b/webbrowser.py,646
b/test/test_gc.py,636
ols/pybench/Unicode.py,542
c/Modules/launch/_Launchmodule.c,473
b/test/test_parser.py,486
added/_subprocess.c,578
b/test/test_posixpath.py,515
dules/imgfile.c,504
b/plat-mac/Carbon/Files.py,426
b/test/test_operator.py,482
b/test/list_tests.py,525
dules/zlib/example.c,565
dules/shamodule.c,593
thon/pystate.c,630
b/test/test_wsgiref.py,615
jects/codeobject.c,590
b/gettext.py,591
ols/pybench/Dict.py,504
b/distutils/command/build_ext.py,707
ols/bgen/bgen/bgenObjectDefinition.py,512
b/idlelib/Debugger.py,481
dules/_ctypes/stgdict.c,484
dules/expat/expat.h,1013
dules/linuxaudiodev.c,500
b/plat-irix6/DEVICE.py,400
dules/_ctypes/libffi/src/ia64/ffi.c,562
b/distutils/command/bdist_rpm.py,553
dules/_ctypes/libffi/src/x86/ffi_darwin.c,594
clude/object.h,868
b/plat-mac/Carbon/Sound.py,400
b/os.py,732
b/plat-irix6/GL.py,393
dules/_ctypes/libffi/src/x86/ffi64.c,569
b/random.py,862
b/sgmllib.py,548
dules/_randommodule.c,580
b/telnetlib.py,669
dules/_ctypes/libffi/src/ia64/unix.S,555
dules/_ctypes/callbacks.c,496
b/test/test_urllib.py,551
b/bsddb/test/test_thread.py,506
b/binhex.py,527
b/test/test_logging.py,683
b/test/test_scope.py,561
b/smtplib.py,743
b/test/test_random.py,536
ols/i18n/pygettext.py,669
mo/tkinter/guido/AttrDialog.py,452
b/mimify.py,464
c/Modules/snd/_Sndihooks.c,512
dules/sunaudiodev.c,465
dules/nismodule.c,444
b/ConfigParser.py,640
b/test/test_long.py,486
b/codecs.py,1007
b/test/test_uuid.py,459
b/plat-mac/lib-scriptpackages/SystemEvents/Standard_Suite.py,582
b/plat-mac/lib-scriptpackages/Terminal/Standard_Suite.py,582
b/plat-mac/Carbon/Icons.py,381
b/test/test_dict.py,467
thon/thread_pthread.h,533
b/test/test_strptime.py,519
b/idlelib/TreeWidget.py,478
dules/zlib/configure,459
b/asyncore.py,551
b/test/test_textwrap.py,568
clude/Python-ast.h,443
b/test/test_cfgparser.py,426
c/tools/prechm.py,519
c/Modules/cf/cfsupport.py,665
b/plat-mac/aetypes.py,568
dules/_hashopenssl.c,487
b/distutils/command/install.py,607
b/email/message.py,784
b/bsddb/test/test_associate.py,478
c/Demo/applescript/Disk_Copy/Standard_Suite.py,477
b/smtpd.py,549
dules/_ctypes/libffi/src/s390/sysv.S,429
clude/pyport.h,767
added/os2vacpp/getpathp.c,482
b/msilib/__init__.py,463
mo/pdist/rcvs.py,477
mo/tkinter/guido/solitaire.py,637
b/test/test_inspect.py,482
jects/structseq.c,407
b/ihooks.py,520
dules/cmathmodule.c,426
ols/webchecker/wcgui.py,463
ols/scripts/ftpmirror.py,400
thon/mactoolboxglue.c,470
dules/_sqlite/statement.c,432
ols/pybench/CommandLine.py,634
b/test/test_compile.py,402
b/test/test_gettext.py,458
c/Modules/icgluemodule.c,475
b/profile.py,619
dules/cjkcodecs/cjkcodecs.h,398
dules/_curses_panel.c,480
b/plat-mac/lib-scriptpackages/StdSuites/Type_Names_Suite.py,435
b/compiler/symbols.py,463
dules/_ctypes/libffi/src/sh64/ffi.c,451
ols/pybench/Calls.py,502
dules/cjkcodecs/_codecs_cn.c,443
b/email/_parseaddr.py,479
SCOS/Makefile,449
b/idlelib/PyParse.py,594
ols/scripts/pindent.py,543
b/test/test_support.py,517
b/nntplib.py,628
b/formatter.py,447
b/plat-irix5/flp.py,451
b/test/test_sgmllib.py,439
b/plat-irix6/flp.py,450
dules/dbmmodule.c,370
b/plat-mac/lib-scriptpackages/StdSuites/QuickDraw_Graphics_Suite.py,417
b/plat-darwin/IN.py,357
b/mimetypes.py,533
b/gzip.py,490
b/plat-mac/buildtools.py,420
b/pkgutil.py,546
b/imputil.py,727
b/test/test_zipimport.py,429
b/distutils/sysconfig.py,531
thon/thread_sgi.h,375
dules/_ctypes/libffi_msvc/ffi.c,479
jects/methodobject.c,365
b/test/test_funcattrs.py,402
b/plat-freebsd5/IN.py,355
c/tools/buildindex.py,388
b/sunau.py,474
b/test/test_csv.py,991
ols/freeze/freeze.py,497
b/plat-unixware7/STROPTS.py,328
rser/parser.c,433
b/test/test_mmap.py,395
b/ctypes/__init__.py,503
c/Modules/fm/_Fmmodule.c,358
b/email/feedparser.py,480
rser/asdl.py,415
b/copy.py,414
ols/modulator/modulator.py,383
b/sqlite3/test/userfunctions.py,413
dules/_ctypes/libffi/src/x86/sysv.S,378
dules/mathmodule.c,376
dules/_ctypes/libffi/src/x86/unix64.S,412
b/xml/sax/expatreader.py,414
ols/unicode/gencodec.py,426
b/plat-mac/plistlib.py,470
b/uuid.py,541
dules/_ctypes/libffi/src/x86/ffi.c,469
b/plat-irix6/IN.py,385
b/test/test_profilehooks.py,368
b/test/test_zlib.py,481
sc/BeOS-setup.py,574
c/Modules/folder/_Foldermodule.c,338
c/Modules/scrap/_Scrapmodule.c,357
b/test/test_contextlib.py,340
b/rexec.py,585
b/encodings/aliases.py,508
b/markupbase.py,392
b/plat-mac/lib-scriptpackages/StdSuites/Macintosh_Connectivity_Clas.py,373
b/htmllib.py,486
b/plat-irix6/WAIT.py,335
b/socket.py,413
ols/pybench/Tuples.py,360
dules/cgen.py,520
mo/pysvr/pysvr.c,370
b/sets.py,577
b/idlelib/AutoCompleteWindow.py,393
dules/_sqlite/module.c,409
c/Demo/textedit/ped.py,359
b/test/test_bool.py,348
dules/_ctypes/libffi/src/x86/win32.S,373
mo/sockets/gopher.py,347
b/test/test_os.py,421
b/xml/dom/xmlbuilder.py,386
b/Cookie.py,746
c/Demo/applescript.html,362
dules/_sqlite/cache.c,375
b/wave.py,489
b/test/test_pyexpat.py,388
b/encodings/cp874.py,307
b/encodings/iso8859_6.py,307
b/encodings/iso8859_11.py,307
b/encodings/tis_620.py,307
b/encodings/mac_turkish.py,307
b/encodings/cp424.py,307
b/encodings/mac_centeuro.py,307
b/encodings/mac_croatian.py,307
b/encodings/cp1140.py,307
b/encodings/mac_farsi.py,307
b/encodings/cp1254.py,307
b/encodings/mac_iceland.py,307
b/encodings/koi8_r.py,307
b/encodings/mac_roman.py,307
b/encodings/cp856.py,307
b/encodings/mac_cyrillic.py,307
b/encodings/mac_romanian.py,307
b/encodings/iso8859_3.py,307
dules/zlib/crc32.c,423
b/encodings/mac_greek.py,307
b/encodings/cp1006.py,307
b/encodings/koi8_u.py,307
b/encodings/cp1026.py,307
b/encodings/cp1253.py,307
b/encodings/cp875.py,307
b/encodings/cp1250.py,307
b/encodings/iso8859_7.py,307
b/encodings/iso8859_14.py,307
b/encodings/cp1258.py,307
b/encodings/cp1257.py,307
b/encodings/cp500.py,307
b/encodings/iso8859_10.py,307
b/encodings/iso8859_9.py,307
b/encodings/cp1252.py,307
b/encodings/iso8859_2.py,307
b/encodings/iso8859_5.py,307
b/encodings/cp1255.py,307
b/encodings/iso8859_16.py,307
b/encodings/iso8859_4.py,307
b/encodings/iso8859_8.py,307
b/encodings/iso8859_1.py,307
b/encodings/iso8859_15.py,307
b/encodings/cp1251.py,307
b/encodings/iso8859_13.py,307
b/encodings/cp1256.py,307
dules/xxmodule.c,376
b/encodings/cp037.py,307
c/Demo/mlte/mlted.py,374
jects/genobject.c,383
dules/_ctypes/libffi/src/alpha/osf.S,359
jects/sliceobject.c,351
b/xml/dom/pulldom.py,351
b/bsddb/test/test_dbtables.py,383
b/test/test_bz2.py,371
b/idlelib/MultiCall.py,404
b/plat-mac/lib-scriptpackages/SystemEvents/Disk_Folder_File_Suite.py,381
dules/cgensupport.c,310
dules/_ctypes/libffi/src/mips/o32.S,377
dules/cjkcodecs/_codecs_kr.c,355
dules/_ctypes/libffi/src/powerpc/ppc_closure.S,323
b/_strptime.py,453
added/os2emx/getpathp.c,418
thon/structmember.c,290
b/plat-irix6/FL.py,289
b/plat-mac/Carbon/Windows.py,279
b/test/test_augassign.py,327
b/plat-mac/lib-scriptpackages/CodeWarrior/Standard_Suite.py,408
ols/pynche/StripViewer.py,433
b/csv.py,415
b/site.py,424
b/ctypes/test/test_functions.py,383
b/test/test_class.py,404
b/plat-mac/lib-scriptpackages/Finder/Type_Definitions.py,346
mo/threads/sync.py,603
b/test/test_complex.py,341
b/ctypes/test/test_structures.py,385
dules/_ctypes/libffi/src/cris/ffi.c,381
b/plat-mac/aepack.py,366
b/tokenize.py,390
b/test/test_coercion.py,347
b/test/seq_tests.py,323
b/test/test_multibytecodec_support.py,318
b/htmlentitydefs.py,273
dules/resource.c,329
dules/md5.c,381
c/Modules/cf/pycfbridge.c,302
b/distutils/command/sdist.py,465
c/PythonLauncher/FileSettings.m,313
c/scripts/buildpkg.py,484
b/shlex.py,292
b/test/test_mhlib.py,348
b/test/test_sys.py,357
b/urlparse.py,375
