id,weight
nfigure,25408
dules/_ctypes/libffi/configure,24417
dules/unicodename_db.h,12543
jects/unicodeobject.c,9550
dules/_ctypes/libffi/aclocal.m4,7516
thon/Python-ast.c,6587
dules/posixmodule.c,7434
dules/expat/xmlparse.c,6268
dules/unicodedata_db.h,5135
jects/typeobject.c,6262
dules/_bsddb.c,6079
dules/cjkcodecs/mappings_jp.h,4765
dules/_ctypes/_ctypes.c,5378
dules/cjkcodecs/mappings_cn.h,4103
dules/socketmodule.c,5042
dules/datetimemodule.c,5017
b/test/test_descr.py,4100
thon/compile.c,4189
dules/cjkcodecs/mappings_kr.h,3251
thon/ceval.c,4053
sc/python-mode.el,3916
jects/longobject.c,3820
jects/bytesobject.c,3426
thon/ast.c,3321
jects/bytearrayobject.c,3301
dules/cjkcodecs/mappings_tw.h,2633
dules/_sre.c,3431
dules/itertoolsmodule.c,3077
thon/import.c,3292
b/decimal.py,5591
b/test/test_datetime.py,3346
dules/_tkinter.c,3089
dules/_cursesmodule.c,2934
dules/cjkcodecs/mappings_hk.h,2378
dules/parsermodule.c,3115
b/email/test/test_email.py,3409
jects/abstract.c,2754
jects/dictobject.c,2839
jects/listobject.c,2808
thon/graminit.c,2065
dules/_elementtree.c,2752
b/tkinter/__init__.py,3752
thon/bltinmodule.c,2305
added/bdist_wininst/install.c,2647
b/lib2to3/tests/test_fixers.py,3266
jects/setobject.c,2348
dules/arraymodule.c,2199
dules/_struct.c,2190
dules/pyexpat.c,2069
dules/bz2module.c,2052
dules/expat/xmltok_impl.c,1779
thon/pythonrun.c,2089
b/tarfile.py,2518
b/plat-sunos5/STROPTS.py,1813
jects/floatobject.c,2015
ols/scripts/texi2html.py,2075
dules/selectmodule.c,1878
dules/cjkcodecs/multibytecodec.c,1811
b/mailbox.py,1940
thon/getargs.c,1784
b/xml/dom/minidom.py,1939
dules/_ctypes/libffi/config.sub,1626
dules/_ctypes/cfield.c,1786
b/test/test_mailbox.py,1864
jects/exceptions.c,1969
added/winreg.c,1645
dules/expat/xmltok.c,1639
b/test/test_set.py,1768
ols/msi/uisample.py,1400
rser/tokenizer.c,1625
dules/_csv.c,1594
jects/object.c,1782
thon/sysmodule.c,1566
thon/symtable.c,1592
added/os2vacpp/makefile,1583
dules/_ssl.c,1639
dules/_ctypes/callproc.c,1698
jects/unicodetype_db.h,1313
b/http/cookiejar.py,2078
dules/expat/xmlrole.c,1330
b/locale.py,1575
b/urllib.py,1717
dules/audioop.c,1616
b/idlelib/EditorWindow.py,1554
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1775
b/test/test_codecs.py,1508
b/test/test_unittest.py,2297
dules/_ctypes/libffi/config.guess,1516
added/os2emx/python26.def,1314
b/test/test_optparse.py,1617
dules/mmapmodule.c,1369
jects/descrobject.c,1344
dules/_collectionsmodule.c,1378
b/test/test_decimal.py,1584
dules/zlib/deflate.c,1736
b/test/test_minidom.py,1326
dules/_sqlite/connection.c,1395
thon/marshal.c,1201
b/idlelib/PyShell.py,1418
b/tkinter/tix.py,1891
b/doctest.py,2598
b/test/test_http_cookiejar.py,1637
dules/zlib/inflate.c,1368
b/test/cjkencodings_test.py,1019
dules/_ctypes/libffi/src/powerpc/ffi.c,1429
b/test/test_builtin.py,1252
dules/binascii.c,1379
dules/unicodedata.c,1217
dules/cjkcodecs/_codecs_iso2022.c,1131
b/io.py,1794
b/test/test_itertools.py,1410
dules/zipimport.c,1198
b/optparse.py,1663
dules/_codecsmodule.c,1159
rser/asdl_c.py,1165
jects/complexobject.c,1133
b/idlelib/configDialog.py,1147
b/test/string_tests.py,1194
dules/_testcapimodule.c,1176
b/pickletools.py,2329
b/msilib/schema.py,1007
ols/msi/schema.py,1007
b/zipfile.py,1302
b/test/test_io.py,1172
dules/_sqlite/cursor.c,1110
dules/cmathmodule.c,1207
b/test/test_tarfile.py,1180
ols/msi/msi.py,1238
b/pickle.py,1352
dules/gcmodule.c,1373
b/test/test_socket.py,1238
dules/ossaudiodev.c,1136
jects/funcobject.c,998
jects/obmalloc.c,1745
b/test/test_ssl.py,1046
added/_msi.c,1008
dules/termios.c,926
dules/zlibmodule.c,1057
b/urllib2.py,1347
b/test/test_unicode.py,1083
dules/timemodule.c,1040
jects/tupleobject.c,958
jects/stringlib/string_format.h,1238
b/test/test_bytes.py,986
b/test/test_array.py,983
b/platform.py,1536
b/test/test_weakref.py,1179
b/test/test_bigmem.py,965
b/imaplib.py,1508
dules/zlib/trees.c,1219
dules/errnomodule.c,789
dules/readline.c,1017
dules/_lsprof.c,886
dules/signalmodule.c,929
b/plat-atheos/IN.py,944
clude/unicodeobject.h,1524
dules/_fileio.c,887
jects/weakrefobject.c,928
dules/_ctypes/libffi/src/sh/sysv.S,846
b/test/test_zipfile.py,1029
b/test/test_math.py,932
ols/faqwiz/faqwiz.py,840
b/xml/dom/expatbuilder.py,983
thon/_warnings.c,900
ols/unicode/makeunicodedata.py,993
dules/zlib/gzio.c,1026
dules/mathmodule.c,1055
jects/unicodectype.c,811
b/xmlrpc/client.py,1402
b/bsddb/test/test_basics.py,996
b/difflib.py,2023
b/test/test_urllib2.py,1086
thon/codecs.c,868
b/lib2to3/tests/data/py2_test_grammar.py,922
mo/tix/tixwidgets.py,1002
mo/curses/xmas.py,906
ols/bgen/bgen/scantools.py,846
mo/tkinter/guido/ss1.py,845
b/sre_parse.py,802
b/test/test_iter.py,862
ols/pybench/Lookups.py,945
b/plat-unixware7/IN.py,836
b/encodings/cp437.py,698
b/encodings/cp855.py,698
b/encodings/cp852.py,698
b/encodings/cp866.py,698
b/encodings/cp850.py,698
b/encodings/cp775.py,697
b/encodings/cp865.py,698
b/encodings/cp862.py,698
b/encodings/cp863.py,698
b/encodings/cp861.py,698
b/encodings/cp860.py,698
b/encodings/mac_arabic.py,698
b/encodings/cp737.py,698
b/encodings/cp857.py,694
b/http/client.py,1132
b/test/test_grammar.py,886
b/encodings/cp864.py,690
