id,weight
c/Modules/qt/_Qtmodule.c,28091
nfigure,26046
dules/_ctypes/libffi/configure,24420
dules/unicodename_db.h,15237
dules/posixmodule.c,9022
jects/unicodeobject.c,9078
dules/_ctypes/libffi/aclocal.m4,7516
c/Modules/qd/_Qdmodule.c,7154
dules/glmodule.c,7633
dules/_bsddb.c,7581
thon/Python-ast.c,6134
dules/expat/xmlparse.c,6268
dules/unicodedata_db.h,5511
c/Modules/ctl/_Ctlmodule.c,5815
jects/typeobject.c,6687
dules/cjkcodecs/mappings_jp.h,4765
dules/cPickle.c,5910
dules/_ctypes/_ctypes.c,5684
c/Modules/cf/_CFmodule.c,4996
jects/stringobject.c,5239
dules/socketmodule.c,5311
dules/cjkcodecs/mappings_cn.h,4103
thon/ceval.c,4727
b/test/test_descr.py,4399
dules/datetimemodule.c,5082
b/plat-mac/Carbon/QuickTime.py,3468
dules/itertoolsmodule.c,4000
c/Modules/menu/_Menumodule.c,3477
dules/cjkcodecs/mappings_kr.h,3251
thon/compile.c,3982
c/Modules/win/_Winmodule.c,3265
c/Modules/file/_Filemodule.c,3410
dules/_sre.c,3904
sc/python-mode.el,3906
dules/almodule.c,3232
jects/bytearrayobject.c,3419
thon/ast.c,3430
jects/longobject.c,3660
b/lib2to3/tests/data/infinite_recursion.py,2669
thon/import.c,3391
dules/cjkcodecs/mappings_tw.h,2633
b/decimal.py,5577
dules/parsermodule.c,3405
dules/_tkinter.c,3204
jects/abstract.c,3090
thon/bltinmodule.c,2927
b/test/test_datetime.py,3353
b/lib2to3/tests/test_fixers.py,4023
dules/clmodule.c,2563
dules/cjkcodecs/mappings_hk.h,2378
jects/listobject.c,3013
dules/_cursesmodule.c,2883
jects/classobject.c,2673
b/email/test/test_email.py,3289
b/email/test/test_email_renamed.py,3284
jects/fileobject.c,2665
thon/graminit.c,2145
dules/_elementtree.c,2825
jects/setobject.c,2493
b/lib-tk/Tkinter.py,3773
jects/dictobject.c,2615
added/bdist_wininst/install.c,2660
dules/arraymodule.c,2241
dules/bz2module.c,2308
jects/floatobject.c,2521
c/Modules/carbonevt/_CarbonEvtmodule.c,2231
dules/pyexpat.c,2192
b/plat-mac/macerrors.py,1857
dules/_struct.c,2167
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
jects/object.c,2314
c/Modules/app/_Appmodule.c,1832
dules/flmodule.c,2144
dules/expat/xmltok_impl.c,1779
b/lib-tk/turtle.py,4031
c/Modules/res/_Resmodule.c,1760
jects/exceptions.c,2175
b/mailbox.py,2119
b/tarfile.py,2527
added/os2vacpp/makefile,1880
thon/getargs.c,1871
b/plat-sunos5/STROPTS.py,1813
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2215
ols/scripts/texi2html.py,2078
c/Modules/mlte/_Mltemodule.c,1690
dules/selectmodule.c,1883
dules/cjkcodecs/multibytecodec.c,1829
thon/pythonrun.c,1958
c/Modules/icn/_Icnmodule.c,1607
b/test/test_mailbox.py,1926
added/_winreg.c,1706
dules/_ctypes/libffi/config.sub,1626
b/xml/dom/minidom.py,1941
dules/_ctypes/callproc.c,1910
c/Modules/dlg/_Dlgmodule.c,1609
dules/_ctypes/cfield.c,1772
thon/sysmodule.c,1706
jects/unicodetype_db.h,1424
dules/expat/xmltok.c,1639
rser/tokenizer.c,1651
b/test/test_set.py,1743
ols/msi/uisample.py,1400
b/locale.py,1721
c/Modules/ae/_AEmodule.c,1459
dules/_csv.c,1611
dules/_hotshot.c,1643
b/urllib.py,1768
dules/_ssl.c,1638
dules/audioop.c,1655
dules/expat/xmlrole.c,1330
b/test/test_builtin.py,1528
b/test/test_unittest.py,2334
dules/mmapmodule.c,1445
dules/_collectionsmodule.c,1465
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1775
b/idlelib/EditorWindow.py,1551
b/test/test_multiprocessing.py,1853
b/test/test_codecs.py,1496
b/compiler/pycodegen.py,1520
c/Modules/te/_TEmodule.c,1339
thon/symtable.c,1431
dules/_ctypes/libffi/config.guess,1516
c/Modules/cg/_CGmodule.c,1316
added/os2emx/python27.def,1311
jects/descrobject.c,1377
jects/intobject.c,1440
b/test/test_optparse.py,1637
dules/_sqlite/connection.c,1463
thon/marshal.c,1244
dules/zlib/deflate.c,1736
b/test/test_minidom.py,1326
b/test/test_decimal.py,1575
b/compiler/transformer.py,1499
b/test/test_cookielib.py,1736
b/idlelib/PyShell.py,1427
b/doctest.py,2686
b/cookielib.py,1789
b/test/test_itertools.py,1536
b/test/test_io.py,1347
jects/complexobject.c,1273
b/lib-tk/Tix.py,1891
b/compiler/ast.py,1360
dules/stropmodule.c,1274
c/Modules/drag/_Dragmodule.c,1158
c/Modules/snd/_Sndmodule.c,1161
dules/zlib/inflate.c,1368
c/Modules/list/_Listmodule.c,1140
b/io.py,1863
b/test/cjkencodings_test.py,1019
dules/_ctypes/libffi/src/powerpc/ffi.c,1429
dules/binascii.c,1401
dules/unicodedata.c,1221
b/test/test_ssl.py,1203
b/zipfile.py,1415
b/test/string_tests.py,1253
dules/zipimport.c,1230
dules/cjkcodecs/_codecs_iso2022.c,1131
b/plat-mac/gensuitemodule.py,1216
rser/asdl_c.py,1203
b/plat-mac/Carbon/AppleEvents.py,961
b/optparse.py,1684
dules/gcmodule.c,1488
ols/msi/msi.py,1300
dules/_testcapimodule.c,1165
b/idlelib/configDialog.py,1150
b/msilib/schema.py,1007
ols/msi/schema.py,1007
b/pickletools.py,2271
b/test/test_tarfile.py,1208
b/pickle.py,1383
dules/_codecsmodule.c,1115
dules/cmathmodule.c,1209
tup.py,1896
b/test/test_socket.py,1245
b/plat-mac/pimp.py,1182
added/_msi.c,1051
dules/_sqlite/cursor.c,1081
b/plat-mac/FrameWork.py,1126
b/test/test_unicode.py,1132
b/test/test_bigmem.py,1072
dules/ossaudiodev.c,1136
jects/obmalloc.c,1765
jects/tupleobject.c,998
b/test/test_array.py,1048
b/test/test_bytes.py,1043
c/Modules/cm/_Cmmodule.c,955
jects/stringlib/string_format.h,1274
b/urllib2.py,1371
dules/termios.c,926
b/multiprocessing/managers.py,1083
b/test/test_zipfile.py,1149
c/Modules/Nav.c,977
c/Modules/osa/_OSAmodule.c,899
dules/timemodule.c,1021
dules/zlibmodule.c,1039
b/test/test_weakref.py,1226
b/xmllib.py,929
b/platform.py,1537
b/httplib.py,1322
dules/svmodule.c,970
b/xmlrpclib.py,1516
dules/_fileio.c,935
b/bsddb/test/test_basics.py,1073
dules/bsddbmodule.c,862
dules/mathmodule.c,1118
b/imaplib.py,1507
dules/readline.c,1026
jects/weakrefobject.c,956
c/Modules/cg/CFMLateImport.c,1360
dules/zlib/trees.c,1219
b/test/test_urllib2.py,1165
jects/funcobject.c,892
dules/errnomodule.c,788
dules/signalmodule.c,931
b/lib-tk/test/test_ttk/test_widgets.py,1118
dules/_lsprof.c,887
