id,weight
nfigure,26587
dules/_ctypes/libffi/configure,24420
dules/unicodename_db.h,15326
jects/unicodeobject.c,9875
dules/_ctypes/libffi/aclocal.m4,7516
dules/posixmodule.c,7619
thon/Python-ast.c,6659
dules/unicodedata_db.h,5736
dules/expat/xmlparse.c,6268
jects/typeobject.c,6308
dules/cjkcodecs/mappings_jp.h,4765
dules/_ctypes/_ctypes.c,5421
dules/cjkcodecs/mappings_cn.h,4103
dules/socketmodule.c,5126
dules/_pickle.c,4695
dules/datetimemodule.c,5035
thon/ceval.c,4349
b/test/test_descr.py,4162
thon/compile.c,4187
dules/cjkcodecs/mappings_kr.h,3251
jects/longobject.c,4296
dules/_sre.c,3937
dules/itertoolsmodule.c,3565
sc/python-mode.el,3916
jects/bytesobject.c,3474
thon/ast.c,3384
jects/bytearrayobject.c,3347
thon/import.c,3505
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
b/decimal.py,5775
dules/_tkinter.c,3171
dules/_cursesmodule.c,2966
b/test/test_datetime.py,3345
dules/parsermodule.c,3229
b/lib2to3/tests/test_fixers.py,4023
dules/cjkcodecs/mappings_hk.h,2378
b/email/test/test_email.py,3409
jects/dictobject.c,2974
jects/listobject.c,2843
jects/abstract.c,2734
dules/_elementtree.c,2825
thon/dtoa.c,2654
thon/graminit.c,2069
thon/bltinmodule.c,2338
jects/setobject.c,2466
added/bdist_wininst/install.c,2693
b/tkinter/__init__.py,3754
dules/_io/textio.c,2420
dules/arraymodule.c,2205
jects/floatobject.c,2414
thon/pythonrun.c,2333
dules/bz2module.c,2138
dules/_io/bufferedio.c,2205
b/test/test_io.py,2257
dules/pyexpat.c,2086
b/test/test_unittest.py,3025
dules/expat/xmltok_impl.c,1779
dules/_struct.c,2010
b/turtle.py,4054
thon/getargs.c,1911
b/plat-sunos5/STROPTS.py,1813
dules/cjkcodecs/multibytecodec.c,1865
dules/selectmodule.c,1903
b/urllib/request.py,2283
b/tarfile.py,2453
ols/scripts/texi2html.py,2075
b/mailbox.py,1941
b/xml/dom/minidom.py,1951
b/test/test_mailbox.py,1919
dules/_ctypes/libffi/config.sub,1626
jects/unicodetype_db.h,1488
dules/_ctypes/cfield.c,1792
jects/exceptions.c,1985
thon/sysmodule.c,1726
b/test/test_set.py,1817
added/winreg.c,1648
dules/_ctypes/callproc.c,1859
jects/object.c,1866
dules/expat/xmltok.c,1639
b/locale.py,1758
rser/tokenizer.c,1661
thon/symtable.c,1679
ols/msi/uisample.py,1400
dules/_ssl.c,1700
dules/_csv.c,1618
added/os2vacpp/makefile,1563
dules/audioop.c,1673
b/test/test_decimal.py,1759
b/http/cookiejar.py,2078
b/test/test_minidom.py,1486
b/test/test_multiprocessing.py,1913
dules/expat/xmlrole.c,1330
b/idlelib/EditorWindow.py,1570
b/test/test_codecs.py,1539
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1775
dules/_ctypes/libffi/config.guess,1516
dules/_collectionsmodule.c,1440
jects/descrobject.c,1390
dules/mmapmodule.c,1399
added/os2emx/python27.def,1307
thon/marshal.c,1310
dules/_testcapimodule.c,1460
b/test/test_optparse.py,1605
b/test/test_itertools.py,1613
dules/binascii.c,1532
dules/_sqlite/connection.c,1414
dules/zlib/deflate.c,1736
tup.py,1660
b/idlelib/PyShell.py,1425
b/_pyio.py,1867
b/tkinter/tix.py,1891
b/doctest.py,2628
dules/unicodedata.c,1289
b/test/test_http_cookiejar.py,1636
dules/zlib/inflate.c,1368
b/test/cjkencodings_test.py,1019
b/test/test_builtin.py,1263
b/unittest.py,1585
dules/_ctypes/libffi/src/powerpc/ffi.c,1429
b/zipfile.py,1426
dules/zipimport.c,1241
b/test/test_ssl.py,1193
dules/cjkcodecs/_codecs_iso2022.c,1131
rser/asdl_c.py,1187
b/test/string_tests.py,1210
b/optparse.py,1679
ols/msi/msi.py,1302
dules/gcmodule.c,1490
b/test/test_bigmem.py,1167
b/pickletools.py,2333
b/test/test_socket.py,1321
dules/_codecsmodule.c,1146
b/idlelib/configDialog.py,1142
b/msilib/schema.py,1007
ols/msi/schema.py,1007
b/test/test_unicode.py,1206
b/test/test_tarfile.py,1215
dules/cmathmodule.c,1223
dules/ossaudiodev.c,1184
added/_msi.c,1069
dules/zlibmodule.c,1105
dules/_sqlite/cursor.c,1106
b/pickle.py,1350
jects/stringlib/string_format.h,1354
b/test/test_bytes.py,1082
jects/complexobject.c,1097
jects/tupleobject.c,1027
dules/_io/fileio.c,1034
b/test/test_long.py,1067
jects/obmalloc.c,1765
dules/timemodule.c,1075
jects/funcobject.c,998
dules/termios.c,936
b/multiprocessing/managers.py,1089
dules/mathmodule.c,1204
b/test/test_array.py,1016
b/test/test_zipfile.py,1144
b/test/test_float.py,974
jects/stringlib/formatter.h,1198
b/test/pickletester.py,1247
b/test/test_weakref.py,1226
clude/unicodeobject.h,1604
dules/readline.c,1038
b/platform.py,1516
dules/signalmodule.c,947
dules/errnomodule.c,802
b/test/test_urllib2.py,1170
dules/_lsprof.c,900
b/tkinter/test/test_ttk/test_widgets.py,1129
dules/zlib/trees.c,1219
b/imaplib.py,1476
ols/unicode/makeunicodedata.py,1030
b/pydoc.py,2326
b/plat-atheos/IN.py,944
thon/_warnings.c,917
jects/weakrefobject.c,932
dules/_ctypes/libffi/src/sh/sysv.S,846
ols/faqwiz/faqwiz.py,840
b/xml/dom/expatbuilder.py,983
dules/zlib/gzio.c,1026
jects/unicodectype.c,835
b/lib2to3/tests/data/py2_test_grammar.py,956
b/difflib.py,2023
b/xmlrpc/client.py,1383
thon/codecs.c,874
dules/_io/iobase.c,894
b/test/test_math.py,892
b/test/test_iter.py,884
b/test/test_collections.py,825
thon/errors.c,866
b/sre_parse.py,810
mo/tix/tixwidgets.py,1002
mo/curses/xmas.py,906
thon/pystrtod.c,1105
jects/frameobject.c,946
b/test/test_grammar.py,903
mo/tkinter/guido/ss1.py,845
ols/pybench/Lookups.py,945
b/plat-unixware7/IN.py,836
b/encodings/cp437.py,698
b/encodings/cp855.py,698
b/encodings/cp852.py,698
b/encodings/cp866.py,698
b/encodings/cp850.py,698
b/encodings/cp775.py,697
b/encodings/cp865.py,698
b/encodings/cp862.py,698
b/encodings/cp863.py,698
b/encodings/cp861.py,698
b/encodings/cp860.py,698
b/encodings/mac_arabic.py,698
b/encodings/cp737.py,698
b/encodings/cp857.py,694
b/test/test_re.py,835
b/encodings/cp864.py,690
b/encodings/cp869.py,689
dules/_ctypes/libffi/src/mips/ffi.c,926
b/http/client.py,1144
b/distutils/dist.py,1182
ols/pybench/Exceptions.py,699
b/logging/__init__.py,1559
mo/rpc/rpc.py,890
jects/memoryobject.c,822
b/test/regrtest.py,1230
b/test/test_codeccallbacks.py,849
b/threading.py,941
ols/pybench/pybench.py,954
ols/pybench/Numbers.py,784
dules/_threadmodule.c,749
b/test/test_dict.py,786
dules/sha512module.c,800
b/test/test_urllib.py,937
b/collections.py,828
b/subprocess.py,1319
dules/_io/_iomodule.c,760
dules/operator.c,716
dules/_io/stringio.c,769
b/ftplib.py,857
b/test/test_subprocess.py,806
b/test/test_tempfile.py,882
dules/_localemodule.c,752
b/http/server.py,1129
dules/_io/bytesio.c,757
ols/pybench/Arithmetic.py,777
dules/cjkcodecs/_codecs_jp.c,731
b/sqlite3/test/dbapi.py,762
ols/webchecker/webchecker.py,890
dules/_heapqmodule.c,694
b/logging/handlers.py,1136
rser/spark.py,849
b/test/test_trace.py,752
dules/_ctypes/libffi/src/sh/ffi.c,716
dules/_json.c,644
b/plat-darwin/IN.py,662
b/aifc.py,886
c/Tools/bundlebuilder.py,934
b/xml/etree/ElementTree.py,1236
b/test/test_logging.py,951
rser/pgen.c,708
b/pdb.py,1310
dules/fcntlmodule.c,644
dules/sha256module.c,732
b/inspect.py,1003
b/tkinter/ttk.py,1645
b/distutils/ccompiler.py,1191
jects/rangeobject.c,702
b/cgi.py,921
jects/classobject.c,648
b/test/support.py,933
b/test/test_with.py,668
b/importlib/_bootstrap.py,944
b/modulefinder.py,660
b/test/test_posixpath.py,638
dules/main.c,687
thon/modsupport.c,617
ols/msi/msilib.py,692
b/test/re_tests.py,670
b/test/test_warnings.py,668
c/BuildScript/build-installer.py,1066
dules/getaddrinfo.c,638
dules/_ctypes/callbacks.c,635
b/pstats.py,694
mo/tkinter/guido/sortvisu.py,633
b/trace.py,816
dules/getpath.c,779
b/test/test_copy.py,599
b/test/test_os.py,721
b/test/mapping_tests.py,665
ols/pybench/Constructs.py,564
b/test/test_sys.py,743
b/test/test_deque.py,733
thon/peephole.c,676
b/plat-linux2/IN.py,615
b/test/test_exceptions.py,627
b/test/test_difflib_expect.html,526
b/urllib/parse.py,793
dules/_ctypes/libffi/src/powerpc/ffi_darwin.c,800
b/plat-freebsd8/IN.py,571
b/distutils/msvc9compiler.py,711
b/test/test_parser.py,579
dules/_ctypes/_ctypes_test.c,602
dules/_multiprocessing/semaphore.c,625
b/test/test_wsgiref.py,700
dules/_hashopenssl.c,619
dules/_ctypes/libffi/src/s390/ffi.c,780
dules/_gdbmmodule.c,546
dules/zlib/infback.c,623
b/test/test_sax.py,696
b/test/test_types.py,636
dules/_ctypes/libffi/src/pa/ffi.c,709
b/plat-freebsd6/IN.py,551
clude/Python-ast.h,553
dules/_ctypes/stgdict.c,563
added/getpathp.c,680
added/os2vacpp/python.def,468
b/distutils/command/build_ext.py,748
thon/pystate.c,685
added/os2emx/Makefile,671
jects/structseq.c,539
b/multiprocessing/pool.py,600
b/distutils/command/bdist_msi.py,646
b/distutils/msvccompiler.py,642
mo/metaclasses/index.html,605
added/_subprocess.c,603
dules/_ctypes/libffi/src/sparc/ffi.c,610
b/test/test_xmlrpc.py,656
b/test/test_memoryio.py,545
b/idlelib/configHandler.py,704
dules/_ctypes/libffi/src/sh64/sysv.S,526
b/idlelib/IOBinding.py,546
b/test/list_tests.py,549
ols/pybench/Strings.py,568
jects/codeobject.c,626
b/distutils/command/install.py,685
dules/zlib/crc32.h,441
b/test/test_mmap.py,594
b/webbrowser.py,662
b/calendar.py,696
b/idlelib/rpc.py,598
jects/fileobject.c,529
ols/pybench/Unicode.py,541
b/smtplib.py,833
dules/_ctypes/libffi_osx/x86/x86-ffi64.c,624
b/bdb.py,612
mo/parser/unparse.py,509
dules/zlib/example.c,565
b/sre_compile.py,515
b/xmlrpc/server.py,877
b/lib2to3/pytree.py,802
b/_abcoll.py,603
dules/_ctypes/libffi/src/ia64/ffi.c,580
b/asyncore.py,617
clude/object.h,865
dules/_ctypes/libffi/src/mips/n32.S,534
b/codecs.py,1087
dules/_multiprocessing/connection.h,527
b/test/test_cfgparser.py,484
b/test/test_scope.py,712
b/distutils/command/bdist_rpm.py,552
ols/pybench/Dict.py,504
dules/_sqlite/statement.c,504
b/test/test_gc.py,635
b/idlelib/Debugger.py,492
dules/expat/expat.h,1013
b/test/test_strptime.py,567
dules/md5module.c,584
b/configparser.py,675
dules/nismodule.c,460
b/test/test_ftplib.py,516
dules/_ctypes/libffi/src/x86/ffi64.c,572
b/test/test_struct.py,527
dules/_ctypes/libffi/src/ia64/unix.S,560
dules/_dbmmodule.c,437
b/test/test_textwrap.py,596
b/test/test_pyexpat.py,526
b/test/test_uuid.py,473
dules/_ctypes/libffi_osx/x86/x86-ffi_darwin.c,569
b/telnetlib.py,657
mo/tkinter/guido/AttrDialog.py,451
ols/i18n/pygettext.py,666
clude/pyport.h,776
b/email/message.py,796
thon/thread_pthread.h,533
b/test/test_operator.py,429
dules/zlib/configure,459
ols/pybench/Calls.py,560
b/idlelib/TreeWidget.py,477
dules/sha1module.c,560
b/test/test_class.py,552
dules/_ctypes/libffi/src/x86/freebsd.S,458
dules/_randommodule.c,525
b/tokenize.py,524
dules/_ctypes/libffi/src/s390/sysv.S,434
b/test/test_zipimport.py,479
b/lib2to3/tests/test_pytree.py,458
b/gettext.py,539
b/test/test_random.py,495
dules/cjkcodecs/_codecs_kr.c,452
b/smtpd.py,546
