id,weight
nfigure,28198
dules/_ctypes/libffi/configure,24420
dules/unicodename_db.h,15326
jects/unicodeobject.c,10071
thon/Python-ast.c,7019
dules/_ctypes/libffi/aclocal.m4,7516
dules/posixmodule.c,7774
dules/unicodedata_db.h,5850
dules/expat/xmlparse.c,6268
jects/typeobject.c,6275
dules/cjkcodecs/mappings_jp.h,4765
dules/_ctypes/_ctypes.c,5428
dules/socketmodule.c,5153
dules/cjkcodecs/mappings_cn.h,4103
dules/_pickle.c,4979
dules/datetimemodule.c,5045
thon/ceval.c,4487
b/test/test_descr.py,4254
jects/longobject.c,4602
thon/compile.c,4070
dules/cjkcodecs/mappings_kr.h,3251
jects/unicodetype_db.h,3185
dules/_sre.c,3937
dules/itertoolsmodule.c,3583
sc/python-mode.el,3916
jects/bytesobject.c,3465
thon/ast.c,3428
jects/bytearrayobject.c,3350
thon/import.c,3495
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
b/decimal.py,5795
dules/_tkinter.c,3171
dules/_cursesmodule.c,2971
b/test/test_datetime.py,3353
dules/parsermodule.c,3248
dules/cjkcodecs/mappings_hk.h,2378
b/email/test/test_email.py,3409
b/test/test_unittest.py,3762
jects/dictobject.c,2980
dules/arraymodule.c,2692
jects/listobject.c,2863
jects/abstract.c,2724
dules/_io/textio.c,2603
dules/_elementtree.c,2825
b/lib2to3/tests/test_fixers.py,4229
thon/graminit.c,2080
thon/dtoa.c,2609
thon/bltinmodule.c,2349
jects/setobject.c,2466
added/bdist_wininst/install.c,2693
b/tkinter/__init__.py,3713
b/test/test_io.py,2425
dules/_io/bufferedio.c,2288
jects/floatobject.c,2443
thon/pythonrun.c,2365
dules/bz2module.c,2143
dules/pyexpat.c,2043
b/turtle.py,4132
dules/expat/xmltok_impl.c,1779
dules/_struct.c,2014
thon/getargs.c,1972
dules/_testcapimodule.c,1996
dules/selectmodule.c,1938
b/plat-sunos5/STROPTS.py,1813
b/tarfile.py,2490
b/urllib/request.py,2304
dules/cjkcodecs/multibytecodec.c,1865
ols/scripts/texi2html.py,2075
b/mailbox.py,1974
thon/sysmodule.c,1785
