id,weight
dules/unicodename_db.h,17259
nfigure,14860
dules/_ctypes/libffi/configure,14927
jects/unicodeobject.c,9840
thon/Python-ast.c,7019
dules/posixmodule.c,7737
dules/_ctypes/libffi/m4/libtool.m4,7360
dules/_ctypes/libffi/ltmain.sh,8406
dules/unicodedata_db.h,6202
dules/expat/xmlparse.c,6271
jects/typeobject.c,6280
dules/cjkcodecs/mappings_jp.h,4765
dules/_ctypes/_ctypes.c,5428
dules/socketmodule.c,5174
dules/cjkcodecs/mappings_cn.h,4103
dules/_pickle.c,4981
dules/datetimemodule.c,5191
jects/longobject.c,4812
thon/ceval.c,4464
b/test/test_descr.py,4282
jects/unicodetype_db.h,3419
thon/compile.c,4075
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_argparse.py,4169
dules/_sre.c,3939
dules/itertoolsmodule.c,3583
sc/python-mode.el,3916
thon/import.c,3832
thon/ast.c,3428
dules/_ctypes/libffi/src/dlmalloc.c,5099
b/decimal.py,6161
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
jects/bytesobject.c,3141
dules/_tkinter.c,3171
b/test/test_datetime.py,3401
jects/bytearrayobject.c,2971
dules/_cursesmodule.c,2967
dules/parsermodule.c,3248
dules/cjkcodecs/mappings_hk.h,2378
b/email/test/test_email.py,3466
dules/_elementtree.c,3112
jects/dictobject.c,2999
dules/arraymodule.c,2693
jects/abstract.c,2787
jects/listobject.c,2865
b/lib2to3/tests/test_fixers.py,4375
dules/_io/textio.c,2595
thon/dtoa.c,2921
thon/graminit.c,2080
thon/bltinmodule.c,2361
jects/setobject.c,2482
added/bdist_wininst/install.c,2693
b/tkinter/__init__.py,3713
b/test/test_io.py,2432
dules/_testcapimodule.c,2291
thon/pythonrun.c,2386
dules/_io/bufferedio.c,2288
jects/floatobject.c,2443
dules/bz2module.c,2149
b/test/test_decimal.py,2366
dules/pyexpat.c,2043
b/turtle.py,4132
dules/_struct.c,2025
dules/expat/xmltok_impl.c,1779
thon/getargs.c,1993
b/tarfile.py,2504
thon/sysmodule.c,1877
b/urllib/request.py,2342
dules/selectmodule.c,1929
b/plat-sunos5/STROPTS.py,1813
dules/_ctypes/libffi/config.sub,1702
dules/cjkcodecs/multibytecodec.c,1865
ols/scripts/texi2html.py,2075
added/winreg.c,1743
jects/exceptions.c,2043
b/test/test_mailbox.py,1957
b/mailbox.py,1966
b/locale.py,1889
b/xml/dom/minidom.py,1951
dules/_json.c,1744
dules/_ctypes/cfield.c,1805
b/test/test_set.py,1822
rser/tokenizer.c,1729
dules/_ctypes/callproc.c,1889
dules/_ssl.c,1818
b/argparse.py,2309
jects/object.c,1883
dules/expat/xmltok.c,1639
thon/symtable.c,1680
ols/msi/uisample.py,1400
dules/_csv.c,1618
b/test/test_multiprocessing.py,2045
b/test/test_codecs.py,1628
dules/_collectionsmodule.c,1569
dules/audioop.c,1673
added/os2vacpp/makefile,1549
b/test/test_logging.py,1774
b/http/cookiejar.py,2078
dules/_sqlite/connection.c,1601
b/test/test_minidom.py,1481
dules/expat/xmlrole.c,1330
b/idlelib/EditorWindow.py,1571
thon/marshal.c,1375
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1776
dules/_ctypes/libffi/config.guess,1498
jects/descrobject.c,1399
added/os2emx/python27.def,1314
dules/mmapmodule.c,1410
b/test/test_itertools.py,1662
b/test/test_optparse.py,1602
dules/binascii.c,1543
tup.py,1713
dules/mathmodule.c,1703
b/_pyio.py,1973
dules/zlib/deflate.c,1736
b/test/test_tarfile.py,1482
b/test/test_float.py,1394
ols/gdb/libpython.py,1558
b/idlelib/PyShell.py,1425
b/doctest.py,2669
b/test/test_socket.py,1496
b/tkinter/tix.py,1964
jects/stringlib/formatter.h,1527
dules/unicodedata.c,1289
b/test/test_ssl.py,1279
b/test/test_http_cookiejar.py,1636
dules/zlib/inflate.c,1368
b/test/test_builtin.py,1265
b/test/cjkencodings_test.py,1019
dules/_ctypes/libffi/src/powerpc/ffi.c,1442
ols/msi/msi.py,1383
b/test/test_array.py,1212
b/zipfile.py,1427
dules/zipimport.c,1238
dules/cjkcodecs/_codecs_iso2022.c,1131
rser/asdl_c.py,1203
b/test/string_tests.py,1230
dules/_threadmodule.c,1105
b/test/test_unicode.py,1237
b/optparse.py,1679
jects/obmalloc.c,1874
dules/gcmodule.c,1490
b/test/test_bigmem.py,1169
b/pickletools.py,2333
dules/_codecsmodule.c,1147
dules/_ctypes/libffi/aclocal.m4,1054
b/idlelib/configDialog.py,1143
b/msilib/schema.py,1007
ols/msi/schema.py,1007
dules/cmathmodule.c,1224
dules/_io/fileio.c,1082
dules/ossaudiodev.c,1190
b/test/test_bytes.py,1108
added/_msi.c,1069
dules/zlibmodule.c,1105
b/test/test_long.py,1136
b/test/test_weakref.py,1344
b/test/test_zipfile.py,1255
dules/_sqlite/cursor.c,1106
thon/codecs.c,1070
jects/stringlib/string_format.h,1355
b/pickle.py,1336
jects/complexobject.c,1095
jects/tupleobject.c,1028
ols/unicode/makeunicodedata.py,1166
dules/timemodule.c,1095
jects/funcobject.c,1003
b/xml/etree/ElementTree.py,1664
dules/termios.c,939
b/test/regrtest.py,1488
b/test/pickletester.py,1315
b/multiprocessing/managers.py,1089
b/test/test_urllib2.py,1263
dules/_ctypes/libffi/src/x86/win32.S,1055
dules/readline.c,1113
dules/signalmodule.c,965
clude/unicodeobject.h,1612
b/test/test_math.py,1021
b/test/test_subprocess.py,1021
dules/_lsprof.c,905
dules/errnomodule.c,802
b/tkinter/test/test_ttk/test_widgets.py,1133
b/platform.py,1537
dules/zlib/trees.c,1219
b/imaplib.py,1476
dules/_ctypes/libffi/src/mips/ffi.c,1029
b/pydoc.py,2330
b/ftplib.py,1038
jects/weakrefobject.c,949
b/subprocess.py,1516
b/test/test_collections.py,898
thon/_warnings.c,919
dules/_ctypes/libffi/src/sh/sysv.S,850
b/xmlrpc/client.py,1479
b/lib2to3/tests/data/py2_test_grammar.py,974
ols/faqwiz/faqwiz.py,840
b/xml/dom/expatbuilder.py,983
dules/zlib/gzio.c,1026
b/logging/__init__.py,1669
b/difflib.py,2027
b/unittest/test/test_loader.py,1292
b/http/client.py,1201
b/distutils/dist.py,1228
b/test/support.py,1223
b/test/test_grammar.py,925
thon/errors.c,888
b/test/test_re.py,882
thon/pystrtod.c,1198
b/lib2to3/tests/data/py3_test_grammar.py,923
dules/_io/iobase.c,889
b/test/test_iter.py,884
jects/frameobject.c,955
dules/_io/stringio.c,900
b/sre_parse.py,816
mo/tix/tixwidgets.py,1002
b/sqlite3/test/dbapi.py,863
mo/curses/xmas.py,906
mo/tkinter/guido/ss1.py,845
ols/pybench/Lookups.py,945
b/plat-unixware7/IN.py,836
b/encodings/cp437.py,698
b/encodings/cp855.py,698
b/encodings/cp852.py,698
b/encodings/cp866.py,698
b/encodings/cp850.py,698
b/encodings/cp775.py,697
b/encodings/cp865.py,698
b/encodings/cp862.py,698
b/encodings/cp863.py,698
b/encodings/cp861.py,698
b/encodings/cp860.py,698
b/encodings/mac_arabic.py,698
b/encodings/cp737.py,698
dules/_io/bytesio.c,874
jects/memoryobject.c,839
b/encodings/cp857.py,694
b/encodings/cp864.py,690
b/encodings/cp869.py,689
b/threading.py,961
b/unittest/case.py,1074
ols/pybench/Exceptions.py,699
mo/rpc/rpc.py,890
dules/_io/_iomodule.c,805
b/test/test_codeccallbacks.py,849
b/test/test_xmlrpc.py,934
b/collections.py,865
b/test/test_urllib.py,971
ols/pybench/pybench.py,954
ols/pybench/Numbers.py,784
dules/main.c,815
b/logging/config.py,894
jects/rangeobject.c,822
b/test/test_os.py,883
dules/sha512module.c,797
b/inspect.py,1071
b/test/test_tempfile.py,898
dules/operator.c,716
c/BuildScript/build-installer.py,1187
dules/_ctypes/libffi/src/powerpc/ffi_darwin.c,928
b/test/test_shutil.py,805
b/test/test_with.py,752
b/test/test_dict.py,773
b/test/test_trace.py,790
b/http/server.py,1140
b/test/test_copy.py,698
b/logging/handlers.py,1146
b/test/test_warnings.py,758
ols/pybench/Arithmetic.py,777
dules/cjkcodecs/_codecs_jp.c,731
ols/webchecker/webchecker.py,890
dules/_heapqmodule.c,694
b/test/test_ftplib.py,784
rser/spark.py,849
dules/_ctypes/libffi/src/sh/ffi.c,716
dules/_localemodule.c,727
b/plat-darwin/IN.py,662
