id,weight
dules/unicodename_db.h,18813
nfigure,15069
dules/_ctypes/libffi/configure,14927
jects/unicodeobject.c,10369
dules/posixmodule.c,8459
thon/Python-ast.c,6985
dules/_ctypes/libffi/m4/libtool.m4,7360
dules/unicodedata_db.h,6391
dules/_ctypes/libffi/ltmain.sh,8406
dules/expat/xmlparse.c,6271
dules/_pickle.c,6351
jects/typeobject.c,6309
dules/cjkcodecs/mappings_jp.h,4765
dules/socketmodule.c,5375
dules/_ctypes/_ctypes.c,5421
dules/cjkcodecs/mappings_cn.h,4103
dules/_datetimemodule.c,5461
jects/longobject.c,4872
thon/ceval.c,4514
b/test/test_descr.py,4294
jects/unicodetype_db.h,3409
thon/compile.c,4082
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_argparse.py,4338
dules/_sre.c,3936
dules/itertoolsmodule.c,3584
thon/import.c,3878
thon/ast.c,3417
dules/_ctypes/libffi/src/dlmalloc.c,5099
b/decimal.py,6248
b/test/datetimetester.py,3678
b/lib2to3/tests/data/infinite_recursion.py,2669
b/email/test/test_email.py,3912
dules/cjkcodecs/mappings_tw.h,2633
jects/bytesobject.c,3122
dules/_tkinter.c,3169
jects/bytearrayobject.c,2969
dules/_cursesmodule.c,2978
dules/parsermodule.c,3248
dules/cjkcodecs/mappings_hk.h,2378
jects/dictobject.c,3047
dules/_elementtree.c,3122
dules/arraymodule.c,2755
jects/listobject.c,2865
jects/abstract.c,2772
b/lib2to3/tests/test_fixers.py,4515
dules/_io/textio.c,2624
thon/graminit.c,2144
b/test/test_io.py,2699
dules/_testcapimodule.c,2560
thon/dtoa.c,2918
thon/bltinmodule.c,2380
jects/setobject.c,2486
added/bdist_wininst/install.c,2693
b/tkinter/__init__.py,3713
thon/pythonrun.c,2464
dules/_io/bufferedio.c,2342
b/test/test_decimal.py,2427
jects/floatobject.c,2445
dules/bz2module.c,2180
dules/_ssl.c,2161
dules/_struct.c,2056
dules/pyexpat.c,2016
b/turtle.py,4139
thon/sysmodule.c,2012
dules/expat/xmltok_impl.c,1779
b/tarfile.py,2600
b/urllib/request.py,2406
jects/exceptions.c,2127
dules/selectmodule.c,1932
b/plat-sunos5/STROPTS.py,1813
added/winreg.c,1818
dules/_ctypes/libffi/config.sub,1702
dules/cjkcodecs/multibytecodec.c,1865
ols/scripts/texi2html.py,2075
b/mailbox.py,1980
dules/_json.c,1786
b/test/test_mailbox.py,1957
b/xml/dom/minidom.py,1962
b/locale.py,1889
b/test/test_set.py,1856
thon/getargs.c,1779
b/test/test_logging.py,2024
b/argparse.py,2335
b/test/test_socket.py,1983
rser/tokenizer.c,1732
dules/_ctypes/cfield.c,1744
dules/_ctypes/callproc.c,1846
jects/object.c,1905
dules/expat/xmltok.c,1639
b/test/test_multiprocessing.py,2127
thon/symtable.c,1694
ols/msi/uisample.py,1400
dules/_csv.c,1614
b/test/test_codecs.py,1693
b/test/test_tarfile.py,1763
dules/_collectionsmodule.c,1569
b/test/test_ssl.py,1564
dules/audioop.c,1666
added/os2vacpp/makefile,1549
b/http/cookiejar.py,2085
b/test/test_minidom.py,1504
b/datetime.py,2108
dules/_sqlite/connection.c,1605
