id,weight
dules/unicodename_db.h,20704
dules/_ctypes/libffi/configure,17378
nfigure,16373
jects/unicodeobject.c,14649
dules/posixmodule.c,11966
dules/_ctypes/libffi/m4/libtool.m4,8001
dules/_ctypes/libffi/ltmain.sh,9661
thon/Python-ast.c,7157
dules/unicodedata_db.h,6569
dules/_decimal/libmpdec/mpdecimal.c,8149
dules/expat/xmlparse.c,6403
dules/socketmodule.c,6733
jects/typeobject.c,6649
dules/_pickle.c,6487
dules/cjkcodecs/mappings_jp.h,4765
dules/_decimal/_decimal.c,5663
thon/importlib.h,4393
jects/unicodetype_db.h,4333
dules/_ctypes/_ctypes.c,5445
nfigure.ac,4620
dules/cjkcodecs/mappings_cn.h,4103
dules/_datetimemodule.c,5564
b/test/test_decimal.py,5144
b/test/test_descr.py,4667
dules/itertoolsmodule.c,4525
jects/longobject.c,5033
thon/ceval.c,4674
b/test/test_argparse.py,4884
thon/compile.c,4257
b/test/test_socket.py,4829
b/test/test_email/test_email.py,4955
thon/ast.c,3872
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_buffer.py,4273
dules/_sre.c,3915
jects/dictobject.c,3790
b/decimal.py,6408
dules/_ctypes/libffi/src/dlmalloc.c,5166
dules/_cursesmodule.c,3434
b/test/test_logging.py,3844
b/test/datetimetester.py,3769
dules/_elementtree.c,3540
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
jects/bytearrayobject.c,3105
dules/parsermodule.c,3387
jects/bytesobject.c,3030
b/html/entities.py,2506
dules/_tkinter.c,3183
dules/arraymodule.c,2902
b/test/test_io.py,3141
b/test/test_multiprocessing.py,3425
dules/cjkcodecs/mappings_hk.h,2378
dules/_ssl.c,2876
jects/listobject.c,2974
dules/_io/textio.c,2758
dules/_testcapimodule.c,2748
jects/abstract.c,2765
jects/memoryobject.c,2977
b/lib2to3/tests/test_fixers.py,4529
b/test/test_email/test__header_value_parser.py,2552
thon/graminit.c,2162
dules/_testbuffer.c,2875
thon/pythonrun.c,2724
thon/bltinmodule.c,2471
thon/dtoa.c,2958
jects/setobject.c,2540
dules/_io/bufferedio.c,2545
b/email/_header_value_parser.py,2953
b/tkinter/__init__.py,3856
added/bdist_wininst/install.c,2693
jects/exceptions.c,2593
b/turtle.py,4132
dules/selectmodule.c,2294
b/test/test_codecs.py,2208
dules/_struct.c,2142
jects/floatobject.c,2354
thon/sysmodule.c,2105
b/test/test_inspect.py,2282
b/urllib/request.py,2602
b/test/test_mailbox.py,2286
dules/pyexpat.c,2005
dules/expat/xmltok_impl.c,1783
b/mailbox.py,2160
b/test/test_ssl.py,1988
dules/_ssl_data.h,1653
nfig.sub,1773
dules/_ctypes/libffi/aclocal.m4,1902
dules/_ctypes/libffi/config.sub,1767
b/test/test_os.py,2080
dules/_json.c,1885
added/winreg.c,1830
dules/cjkcodecs/multibytecodec.c,1887
b/plat-sunos5/STROPTS.py,1813
jects/object.c,2035
b/test/test_unicode.py,1958
b/tarfile.py,2431
thon/import.c,1938
ols/scripts/texi2html.py,2075
b/xml/dom/minidom.py,1985
b/test/test_subprocess.py,2045
b/test/test_set.py,1894
thon/getargs.c,1813
b/locale.py,1891
rser/tokenizer.c,1777
b/test/test_itertools.py,2057
b/argparse.py,2366
dules/_collectionsmodule.c,1769
tup.py,2155
b/test/test_tarfile.py,1914
dules/expat/xmltok.c,1651
dules/_ctypes/callproc.c,1840
dules/_csv.c,1661
b/unittest/mock.py,2211
dules/_ctypes/cfield.c,1701
