id,weight
c/Modules/qt/_Qtmodule.c,28091
dules/unicodename_db.h,17259
nfigure,15387
dules/_ctypes/libffi/configure,14927
dules/_bsddb.c,10026
dules/posixmodule.c,9373
jects/unicodeobject.c,8923
c/Modules/qd/_Qdmodule.c,7154
dules/_ctypes/libffi/m4/libtool.m4,7360
thon/Python-ast.c,6788
dules/_ctypes/libffi/ltmain.sh,8406
dules/glmodule.c,7633
dules/unicodedata_db.h,6202
dules/expat/xmlparse.c,6330
c/Modules/ctl/_Ctlmodule.c,5815
jects/typeobject.c,6744
dules/cjkcodecs/mappings_jp.h,4765
dules/cPickle.c,6023
dules/_ctypes/_ctypes.c,5750
c/Modules/cf/_CFmodule.c,4996
dules/socketmodule.c,5467
dules/cjkcodecs/mappings_cn.h,4103
nfigure.ac,4445
jects/stringobject.c,4839
b/test/test_descr.py,4713
thon/ceval.c,4903
dules/datetimemodule.c,5117
b/test/test_argparse.py,4763
b/plat-mac/Carbon/QuickTime.py,3468
dules/itertoolsmodule.c,4106
jects/unicodetype_db.h,3337
c/Modules/menu/_Menumodule.c,3477
thon/compile.c,3997
dules/cjkcodecs/mappings_kr.h,3251
jects/longobject.c,4377
c/Modules/win/_Winmodule.c,3265
c/Modules/file/_Filemodule.c,3410
dules/_sre.c,3951
thon/ast.c,3563
dules/almodule.c,3232
dules/_ctypes/libffi/src/dlmalloc.c,5104
b/decimal.py,6198
thon/import.c,3477
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
dules/parsermodule.c,3493
dules/_tkinter.c,3272
thon/bltinmodule.c,3059
jects/bytearrayobject.c,3054
jects/dictobject.c,3244
jects/abstract.c,3113
b/email/test/test_email.py,3558
b/test/test_datetime.py,3367
dules/clmodule.c,2563
jects/listobject.c,3044
dules/cjkcodecs/mappings_hk.h,2378
b/test/test_io.py,3027
jects/classobject.c,2696
dules/_cursesmodule.c,2892
jects/fileobject.c,2882
dules/_elementtree.c,3097
b/email/test/test_email_renamed.py,3297
b/lib2to3/tests/test_fixers.py,4541
thon/graminit.c,2177
dules/_io/textio.c,2651
thon/dtoa.c,2918
jects/setobject.c,2519
jects/floatobject.c,2707
dules/_json.c,2424
b/lib-tk/Tkinter.py,3763
added/bdist_wininst/install.c,2660
dules/bz2module.c,2375
dules/arraymodule.c,2261
dules/_io/bufferedio.c,2433
b/lib-tk/turtle.py,4035
c/Modules/carbonevt/_CarbonEvtmodule.c,2219
jects/object.c,2508
b/plat-mac/macerrors.py,1857
dules/pyexpat.c,2136
b/test/test_decimal.py,2351
b/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py,2373
dules/_struct.c,2071
c/Modules/app/_Appmodule.c,1832
dules/flmodule.c,2144
b/mailbox.py,2230
dules/expat/xmltok_impl.c,1779
b/tarfile.py,2590
jects/exceptions.c,2220
added/_winreg.c,1866
c/Modules/res/_Resmodule.c,1760
b/test/test_multiprocessing.py,2433
thon/getargs.c,1908
dules/_testcapimodule.c,1947
b/test/test_mailbox.py,2118
added/os2vacpp/makefile,1880
thon/pythonrun.c,2023
b/plat-sunos5/STROPTS.py,1813
b/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py,2215
dules/_ctypes/libffi/config.sub,1702
dules/selectmodule.c,1902
ols/scripts/texi2html.py,2078
c/Modules/mlte/_Mltemodule.c,1690
dules/cjkcodecs/multibytecodec.c,1829
c/Modules/icn/_Icnmodule.c,1607
thon/sysmodule.c,1782
b/locale.py,1882
b/xml/dom/minidom.py,1943
b/argparse.py,2361
dules/_ctypes/callproc.c,1923
c/Modules/dlg/_Dlgmodule.c,1609
rser/tokenizer.c,1726
b/test/test_set.py,1832
dules/_ctypes/cfield.c,1752
b/test/test_codecs.py,1757
tup.py,2110
dules/expat/xmltok.c,1639
dules/_ssl.c,1760
b/test/test_builtin.py,1710
dules/_collectionsmodule.c,1655
ols/msi/uisample.py,1400
dules/_csv.c,1623
c/Modules/ae/_AEmodule.c,1459
b/test/test_logging.py,1931
dules/_sqlite/connection.c,1667
dules/_hotshot.c,1643
b/idlelib/EditorWindow.py,1685
dules/mmapmodule.c,1531
b/test/test_unicode.py,1666
b/test/test_minidom.py,1511
thon/symtable.c,1556
thon/marshal.c,1410
dules/audioop.c,1633
jects/intobject.c,1567
dules/expat/xmlrole.c,1330
b/test/test_tarfile.py,1659
jects/descrobject.c,1436
b/test/test_socket.py,1705
b/compiler/pycodegen.py,1555
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1776
dules/_ctypes/libffi/config.guess,1498
c/Modules/te/_TEmodule.c,1339
added/os2emx/python27.def,1322
c/Modules/cg/_CGmodule.c,1316
b/test/test_itertools.py,1659
b/_pyio.py,2017
b/test/test_optparse.py,1626
b/doctest.py,2792
b/urllib.py,1602
b/idlelib/PyShell.py,1506
b/test/test_ssl.py,1395
b/compiler/transformer.py,1535
dules/binascii.c,1531
dules/zlib/deflate.c,1736
b/test/test_cookielib.py,1762
b/test/test_float.py,1402
b/compiler/ast.py,1419
jects/complexobject.c,1353
b/cookielib.py,1794
dules/mathmodule.c,1624
b/lib-tk/Tix.py,1965
b/test/string_tests.py,1336
jects/stringlib/formatter.h,1529
c/Modules/drag/_Dragmodule.c,1158
dules/stropmodule.c,1270
b/zipfile.py,1481
dules/unicodedata.c,1280
