id,weight
dules/unicodename_db.h,18813
dules/_ctypes/libffi/configure,17598
nfigure,15408
jects/unicodeobject.c,10487
dules/posixmodule.c,8622
dules/_ctypes/libffi/m4/libtool.m4,7994
dules/_ctypes/libffi/ltmain.sh,9655
thon/Python-ast.c,6996
dules/unicodedata_db.h,6391
dules/expat/xmlparse.c,6403
dules/_pickle.c,6425
jects/typeobject.c,6432
dules/cjkcodecs/mappings_jp.h,4765
dules/socketmodule.c,5407
dules/_ctypes/_ctypes.c,5473
dules/cjkcodecs/mappings_cn.h,4103
dules/_datetimemodule.c,5472
nfigure.ac,4378
b/test/test_descr.py,4561
jects/longobject.c,4926
thon/ceval.c,4562
b/test/test_argparse.py,4799
jects/unicodetype_db.h,3409
thon/compile.c,4118
dules/cjkcodecs/mappings_kr.h,3251
b/email/test/test_email.py,4824
dules/itertoolsmodule.c,3747
thon/import.c,4014
dules/_sre.c,4004
dules/_ctypes/libffi/src/dlmalloc.c,5166
thon/ast.c,3425
b/decimal.py,6255
b/test/datetimetester.py,3685
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
jects/bytesobject.c,3132
dules/parsermodule.c,3378
b/test/test_io.py,3195
dules/_tkinter.c,3185
jects/bytearrayobject.c,2982
dules/_cursesmodule.c,2981
jects/dictobject.c,3084
dules/cjkcodecs/mappings_hk.h,2378
dules/arraymodule.c,2789
dules/_elementtree.c,3134
jects/abstract.c,2784
dules/_io/textio.c,2710
jects/listobject.c,2875
b/lib2to3/tests/test_fixers.py,4541
dules/_testcapimodule.c,2634
thon/graminit.c,2144
thon/bltinmodule.c,2416
thon/dtoa.c,2918
jects/setobject.c,2505
added/bdist_wininst/install.c,2693
b/tkinter/__init__.py,3772
dules/_io/bufferedio.c,2459
thon/pythonrun.c,2550
b/turtle.py,4133
b/test/test_logging.py,2607
dules/_ssl.c,2249
b/test/test_decimal.py,2433
jects/floatobject.c,2453
dules/bz2module.c,2193
b/test/test_codecs.py,2161
dules/pyexpat.c,2042
dules/_struct.c,2064
thon/sysmodule.c,2042
b/test/test_mailbox.py,2270
b/test/test_multiprocessing.py,2538
dules/expat/xmltok_impl.c,1783
b/urllib/request.py,2484
dules/_ctypes/libffi/config.sub,1790
b/mailbox.py,2154
dules/_ctypes/libffi/aclocal.m4,1903
b/tarfile.py,2590
b/test/test_socket.py,2205
added/winreg.c,1850
jects/exceptions.c,2146
dules/selectmodule.c,1927
b/plat-sunos5/STROPTS.py,1813
b/test/test_subprocess.py,2120
dules/cjkcodecs/multibytecodec.c,1865
dules/_json.c,1810
ols/scripts/texi2html.py,2075
b/xml/dom/minidom.py,1969
b/locale.py,1891
thon/getargs.c,1796
b/test/test_set.py,1873
b/argparse.py,2376
rser/tokenizer.c,1747
b/test/test_ssl.py,1771
jects/object.c,1981
b/test/test_unicode.py,1861
dules/expat/xmltok.c,1651
dules/_ctypes/callproc.c,1851
b/test/test_tarfile.py,1850
dules/_collectionsmodule.c,1686
dules/_ctypes/cfield.c,1719
thon/symtable.c,1699
dules/_csv.c,1622
ols/msi/uisample.py,1400
b/idlelib/EditorWindow.py,1692
b/test/test_minidom.py,1536
thon/marshal.c,1468
tup.py,1944
b/test/test_cfgparser.py,1696
dules/_sqlite/connection.c,1622
b/http/cookiejar.py,2091
dules/audioop.c,1664
added/os2vacpp/makefile,1549
b/datetime.py,2114
dules/mmapmodule.c,1500
dules/expat/xmlrole.c,1336
dules/mathmodule.c,1945
dules/_ctypes/libffi/config.guess,1535
jects/descrobject.c,1439
b/test/test_itertools.py,1714
b/plat-sunos5/IN.py,1421
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1776
ols/gdb/libpython.py,1705
b/test/test_zipfile.py,1648
dules/zlib/deflate.c,1834
