id,weight
dules/unicodename_db.h,20741
dules/_ctypes/libffi/configure,21691
jects/unicodeobject.c,15468
nfigure,16774
dules/posixmodule.c,12397
dules/_ctypes/libffi/ltmain.sh,10932
dules/_ctypes/libffi/m4/libtool.m4,7989
thon/Python-ast.c,7060
dules/unicodedata_db.h,6575
dules/_decimal/libmpdec/mpdecimal.c,8410
dules/expat/xmlparse.c,6403
dules/socketmodule.c,6946
jects/typeobject.c,7084
dules/_pickle.c,7184
dules/cjkcodecs/mappings_jp.h,4765
dules/_decimal/_decimal.c,5769
thon/importlib.h,4376
nfigure.ac,4836
dules/_ctypes/_ctypes.c,5496
jects/unicodetype_db.h,4338
b/test/test_decimal.py,5506
b/test/test_descr.py,5006
dules/cjkcodecs/mappings_cn.h,4103
dules/_datetimemodule.c,5616
thon/ceval.c,4859
dules/itertoolsmodule.c,4615
jects/longobject.c,5130
b/test/test_argparse.py,4986
b/test/test_socket.py,5171
thon/compile.c,4389
b/test/test_email/test_email.py,5289
dules/_ssl.c,4207
thon/ast.c,3894
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_buffer.py,4294
b/test/test_logging.py,4151
jects/dictobject.c,3871
dules/_elementtree.c,3772
dules/_cursesmodule.c,3522
b/decimal.py,6414
dules/_ctypes/libffi/src/dlmalloc.c,5166
b/test/_test_multiprocessing.py,3841
dules/_testcapimodule.c,3362
b/test/datetimetester.py,3787
b/test/test_io.py,3516
b/lib2to3/tests/data/infinite_recursion.py,2669
dules/cjkcodecs/mappings_tw.h,2633
dules/parsermodule.c,3449
ols/clinic/clinic.py,4197
jects/bytearrayobject.c,3107
dules/arraymodule.c,2949
b/html/entities.py,2506
jects/bytesobject.c,3016
dules/_tkinter.c,3151
b/test/test_inspect.py,3135
b/test/test_ssl.py,2938
b/test/test_codecs.py,2927
dules/cjkcodecs/mappings_hk.h,2378
thon/pythonrun.c,3000
jects/listobject.c,2984
dules/_io/textio.c,2814
b/lib2to3/tests/test_fixers.py,4687
jects/abstract.c,2761
b/test/test_email/test__header_value_parser.py,2606
jects/memoryobject.c,2986
