id,weight
dules/unicodename_db.h,25537
dules/_ctypes/libffi/configure,21691
nfigure,17868
jects/unicodeobject.c,15505
dules/posixmodule.c,13084
thon/Python-ast.c,8097
dules/_ctypes/libffi/ltmain.sh,10932
dules/unicodedata_db.h,7378
dules/_ctypes/libffi/m4/libtool.m4,7989
dules/socketmodule.c,7758
dules/_decimal/libmpdec/mpdecimal.c,8411
b/pydoc_data/topics.py,12949
jects/unicodetype_db.h,5799
dules/expat/xmlparse.c,6421
jects/typeobject.c,7568
dules/_pickle.c,7357
nfigure.ac,5402
dules/clinic/posixmodule.c.h,6151
dules/_decimal/_decimal.c,5922
dules/cjkcodecs/mappings_jp.h,4765
dules/_datetimemodule.c,6009
thon/ceval.c,5486
thon/compile.c,5375
b/test/test_decimal.py,5704
b/test/test_descr.py,5362
dules/_ctypes/_ctypes.c,5513
dules/_ssl.c,5483
thon/ast.c,5147
jects/longobject.c,5561
dules/cjkcodecs/mappings_cn.h,4103
b/test/test_socket.py,5613
dules/itertoolsmodule.c,4676
dules/_testcapimodule.c,4614
b/test/test_argparse.py,4989
b/test/test_email/test_email.py,5390
b/test/datetimetester.py,4820
jects/dictobject.c,4308
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_buffer.py,4395
b/test/test_logging.py,4335
b/test/test_io.py,3980
b/test/_test_multiprocessing.py,4027
b/test/test_ssl.py,3637
b/_pydecimal.py,6449
dules/_ctypes/libffi/src/dlmalloc.c,5166
dules/_cursesmodule.c,3486
dules/_elementtree.c,3980
b/test/test_inspect.py,3638
dules/_tkinter.c,3653
ols/clinic/clinic.py,4384
b/lib2to3/tests/data/infinite_recursion.py,2669
jects/bytesobject.c,3388
b/test/test_codecs.py,3254
dules/cjkcodecs/mappings_tw.h,2633
jects/abstract.c,3230
b/test/test_os.py,3389
b/html/entities.py,2509
ols/msi/bundle/bootstrap/PythonBootstrapperApplication.cpp,3265
thon/importlib_external.h,2436
dules/cjkcodecs/mappings_hk.h,2378
jects/listobject.c,2992
dules/arraymodule.c,3015
jects/memoryobject.c,3114
