id,weight
dules/unicodename_db.h,25537
nfigure,17993
jects/unicodeobject.c,15679
dules/posixmodule.c,13182
thon/Python-ast.c,8163
dules/unicodedata_db.h,7378
dules/socketmodule.c,7758
dules/_decimal/libmpdec/mpdecimal.c,8411
b/pydoc_data/topics.py,12949
jects/typeobject.c,7720
jects/unicodetype_db.h,5799
dules/expat/xmlparse.c,6421
dules/_pickle.c,7369
dules/clinic/posixmodule.c.h,6496
nfigure.ac,5453
dules/_decimal/_decimal.c,5922
dules/cjkcodecs/mappings_jp.h,4765
dules/_datetimemodule.c,6056
b/test/test_descr.py,5498
b/test/test_decimal.py,5711
thon/compile.c,5361
dules/_ctypes/_ctypes.c,5522
thon/ceval.c,5368
thon/ast.c,5240
dules/_ssl.c,5480
dules/cjkcodecs/mappings_cn.h,4103
jects/longobject.c,5552
b/test/test_socket.py,5655
dules/itertoolsmodule.c,4672
dules/_testcapimodule.c,4651
b/test/test_argparse.py,5006
b/test/test_email/test_email.py,5402
b/test/datetimetester.py,4868
jects/dictobject.c,4415
dules/cjkcodecs/mappings_kr.h,3251
b/test/test_logging.py,4394
b/test/test_buffer.py,4395
b/test/test_io.py,4015
b/test/_test_multiprocessing.py,4125
b/test/test_ssl.py,3636
dules/_elementtree.c,4029
b/_pydecimal.py,6454
b/test/test_inspect.py,3645
dules/_cursesmodule.c,3446
ols/clinic/clinic.py,4439
jects/bytesobject.c,3430
dules/_tkinter.c,3650
b/lib2to3/tests/data/infinite_recursion.py,2669
b/test/test_codecs.py,3254
dules/cjkcodecs/mappings_tw.h,2633
b/test/test_os.py,3471
b/html/entities.py,2509
ols/msi/bundle/bootstrap/PythonBootstrapperApplication.cpp,3265
thon/importlib_external.h,2432
dules/cjkcodecs/mappings_hk.h,2378
dules/arraymodule.c,3023
jects/memoryobject.c,3114
b/test/test_email/test__header_value_parser.py,2715
b/test/test_unicode.py,2906
dules/_io/textio.c,2931
b/lib2to3/tests/test_fixers.py,4602
jects/listobject.c,3062
thon/graminit.c,2263
b/test/test_enum.py,2602
jects/exceptions.c,2915
dules/_testbuffer.c,2895
b/test/test_asyncio/test_events.py,2782
b/tkinter/__init__.py,4002
thon/getargs.c,2527
dules/selectmodule.c,2608
dules/_io/bufferedio.c,2744
b/email/_header_value_parser.py,2970
jects/abstract.c,2582
b/test/test_subprocess.py,2853
jects/setobject.c,2564
dules/_sre.c,2910
thon/sysmodule.c,2459
b/test/pickletester.py,2922
b/test/test_xml_etree.py,3101
added/bdist_wininst/install.c,2700
thon/dtoa.c,2876
thon/bltinmodule.c,2755
b/test/test_tarfile.py,2608
dules/_collectionsmodule.c,2426
b/turtle.py,4139
dules/_ssl_data.h,1948
b/test/test_asyncio/test_tasks.py,2545
b/inspect.py,3063
b/urllib/request.py,2743
dules/_struct.c,2367
jects/floatobject.c,2631
b/test/test_typing.py,2426
thon/importlib.h,1822
dules/_asynciomodule.c,2470
b/test/test_functools.py,2128
jects/bytearrayobject.c,2413
b/test/test_mailbox.py,2288
b/test/test_zipfile.py,2203
dules/expat/xmltok_impl.c,1783
rser/tokenizer.c,1985
dules/_json.c,1977
b/test/test_itertools.py,2316
b/test/test_re.py,2030
nfig.sub,1794
jects/genobject.c,2078
jects/object.c,2131
b/tarfile.py,2541
b/mailbox.py,2146
b/test/test_collections.py,1924
b/test/test_configparser.py,2096
thon/import.c,2154
thon/marshal.c,1853
dules/pyexpat.c,1982
b/test/support/__init__.py,2590
b/test/test_ipaddress.py,1951
b/test/test_httplib.py,1903
ols/scripts/texi2html.py,2075
b/xml/dom/minidom.py,1981
b/unittest/mock.py,2403
b/test/test_set.py,1902
tup.py,2260
b/test/test_shutil.py,1917
b/_pyio.py,2531
dules/cjkcodecs/multibytecodec.c,1925
b/argparse.py,2389
b/zipfile.py,2029
b/test/test_builtin.py,1841
thon/symtable.c,1789
dules/zlib/deflate.c,2163
jects/odictobject.c,2433
b/test/test_lzma.py,1764
dules/_csv.c,1691
b/datetime.py,2279
b/test/test_urllib2.py,1920
b/test/test_coroutines.py,2151
b/test/test_asyncio/test_selector_events.py,1793
dules/expat/xmltok.c,1651
jects/descrobject.c,1698
b/test/test_bytes.py,1744
dules/_sqlite/connection.c,1724
ols/gdb/libpython.py,1914
jects/obmalloc.c,2385
dules/_ctypes/callproc.c,1803
b/unittest/test/testmock/testpatch.py,1853
b/test/test_weakref.py,1952
b/typing.py,2335
b/test/test_minidom.py,1574
dules/_ctypes/cfield.c,1663
b/test/test_asyncio/test_base_events.py,1761
thon/pythonrun.c,1547
dules/clinic/_codecsmodule.c.h,1699
dules/clinic/_operator.c.h,1648
b/unittest/test/test_case.py,1833
dules/mathmodule.c,2307
b/idlelib/editor.py,1639
thon/codecs.c,1538
b/http/cookiejar.py,2098
b/locale.py,1695
dules/_tracemalloc.c,1840
added/launcher.c,1574
dules/expat/xmlrole.c,1336
b/tkinter/test/test_ttk/test_widgets.py,1707
dules/zipimport.c,1585
b/test/test_email/test_headerregistry.py,1596
dules/mmapmodule.c,1474
dules/timemodule.c,1494
dules/audioop.c,1905
b/test/test_asyncio/test_unix_events.py,1620
dules/_ctypes/libffi_osx/powerpc/ppc-ffi_darwin.c,1776
b/pickletools.py,2840
b/test/test_types.py,1544
dules/zlib/inflate.c,1561
nfig.guess,1420
added/winreg.c,1956
b/unittest/test/testmock/testmock.py,1569
b/idlelib/configdialog.py,1467
b/test/test_statistics.py,1992
b/test/test_optparse.py,1664
b/idlelib/pyshell.py,1538
b/doctest.py,2787
b/test/test_nntplib.py,1575
thon/pylifecycle.c,1671
ols/stringbench/stringbench.py,1482
dules/signalmodule.c,1640
b/pickle.py,1612
b/test/test_array.py,1388
dules/_threadmodule.c,1408
thon/fileutils.c,1588
b/test/test_http_cookiejar.py,1772
b/test/test_float.py,1420
thon/formatter_unicode.c,1583
dules/_decimal/libmpdec/io.c,1577
dules/_operator.c,1757
dules/_functoolsmodule.c,1308
dules/_lzmamodule.c,1525
b/test/test_urllib.py,1568
b/test/test_grammar.py,1417
b/test/string_tests.py,1383
dules/overlapped.c,1346
b/ipaddress.py,2297
rser/asdl_c.py,1343
clude/unicodeobject.h,2332
dules/faulthandler.c,1395
dules/gcmodule.c,1826
dules/readline.c,1430
b/test/test_pathlib.py,2203
