id,weight
added/seeds.rb,3415
p/assets/javascripts/modules/map/spatial_selection.js.coffee,246
ec/echo/client_middleware/echo10_dataset_middleware_spec.rb,185
ec/features/map/spatial_selection_spec.rb,212
p/assets/javascripts/modules/temporal/temporal_range_selection.js.coffee,201
p/assets/javascripts/modules/map/map.js.coffee,288
ec/echo/client_spec.rb,201
p/assets/javascripts/modules/map/leaflet-plugins/spherical_polygon.js.coffee,264
ec/features/temporal/temporal_selection_spec.rb,185
p/assets/stylesheets/modules/master_overlay.css.scss,186
p/assets/stylesheets/modules/landing.css.scss,163
ec/features/map/shapefile_spec.rb,170
p/assets/javascripts/modules/map/leaflet-plugins/shapefile_layer.js.coffee,188
ec/features/dataset_facets/dataset_facets_spec.rb,170
p/presenters/dataset_details_presenter.rb,142
p/assets/javascripts/modules/map/geoutil.js.coffee,192
ec/echo/client_middleware/echo10_granule_middleware_spec.rb,132
ec/features/projects/add_to_project_spec.rb,137
ec/features/map/map_interface_spec.rb,159
p/assets/javascripts/models/data/query.js.coffee,139
p/assets/stylesheets/modules/layout.css.scss,135
p/assets/stylesheets/modules/dropdown.css.scss,112
p/assets/stylesheets/modules/map/map.css.scss,103
p/assets/javascripts/modules/help.js.coffee,99
p/assets/stylesheets/modules/buttons.css.scss,91
ec/features/projects/project_dataset_list_spec.rb,94
p/assets/javascripts/models/data/dataset_facets.js.coffee,94
p/models/dataset_extra.rb,99
p/assets/stylesheets/modules/edsc_icons.css.scss,79
b/echo/query_transformations.rb,97
p/assets/javascripts/util/plugin.js.coffee,96
p/assets/javascripts/modules/map/leaflet-plugins/draw_errors.js.coffee,111
ec/features/dataset_details_spec.rb,81
b/echo/client.rb,83
p/assets/javascripts/modules/map/leaflet-plugins/draw_toolbar.js.coffee,94
ec/features/dataset_results_spec.rb,77
p/assets/javascripts/models/data/datasets.js.coffee,79
p/assets/javascripts/modules/map/layer_builder.js.coffee,67
ec/helpers/spatial_helpers.rb,78
p/assets/javascripts/modules/map/coordinate.js.coffee,89
p/assets/javascripts/models/data/project.js.coffee,73
p/assets/javascripts/modules/map/leaflet-plugins/interpolation.js.coffee,104
ec/echo/client_middleware/atom_dataset_middleware_spec.rb,62
ec/spec_helper.rb,104
ec/features/clear_filters_spec.rb,72
ec/features/dataset_details_presenter_spec.rb,65
p/assets/javascripts/modules/master_overlay.coffee,83
ec/helpers/overlay_helpers.rb,64
p/assets/javascripts/modules/landing.js.coffee,65
p/controllers/datasets_controller.rb,61
p/assets/stylesheets/modules/facets.css.scss,63
p/assets/stylesheets/modules/panel_list.css.scss,55
ec/helpers/overlay_matchers.rb,55
b/echo/client_middleware/echo10_dataset_middleware.rb,50
ec/features/granules/granule_search_overlay_spec.rb,59
b/echo/client_middleware/atom_dataset_middleware.rb,56
p/services/places_client.rb,56
ec/features/map/placename_autocomplete_spec.rb,58
p/assets/javascripts/models/page/search_page.js.coffee,65
p/assets/javascripts/modules/map/leaflet-plugins/polar_rectangle.js.coffee,61
p/assets/javascripts/modules/map/leaflet-plugins/proj.js.coffee,74
p/assets/javascripts/models/data/xhr_model.js.coffee,53
p/assets/stylesheets/modules/doc_example.css.scss,50
ec/features/map/search_by_dataset_location_spec.rb,56
ec/features/landing_page_spec.rb,55
p/assets/javascripts/modules/map/leaflet-plugins/projection_switching_layer.js.coffee,66
p/controllers/placenames_controller.rb,49
ec/helpers/snappybara.rb,50
p/assets/stylesheets/modules/typography.css.scss,47
b/echo/client_middleware/echo10_granule_middleware.rb,45
ec/helpers/map_matchers.rb,44
p/assets/javascripts/modules/map/arc.js.coffee,77
p/assets/javascripts/modules/map/leaflet-plugins/projection_switcher.js.coffee,48
b/echo/client_middleware/logging_middleware.rb,36
ec/features/dataset_keyword_search_spec.rb,43
ec/features/datasets_overlay_spec.rb,37
p/assets/javascripts/models/ui/temporal.js.coffee,34
p/controllers/application_controller.rb,28
b/echo/response.rb,34
p/assets/javascripts/modules/map/leaflet-plugins/gibs_tile_layer.js.coffee,49
ec/helpers/page_helpers.rb,38
blic/422.html,26
blic/404.html,26
p/services/ogre_client.rb,32
blic/500.html,25
p/assets/javascripts/util/date.js.coffee,30
p/assets/javascripts/models/ui/spatial_type.js.coffee,31
p/assets/stylesheets/modules/forms.css.scss,24
p/assets/javascripts/modules/autocomplete.js.coffee,31
p/assets/javascripts/models/knockout_extensions.js.coffee,28
p/assets/stylesheets/application.css.scss,29
ec/features/dataset_metadata_spec.rb,19
p/assets/stylesheets/modules/autocomplete.css.scss,26
p/controllers/catalog_controller.rb,25
p/assets/stylesheets/modules/project.css.scss,20
p/assets/javascripts/util/url.js.coffee,28
b/echo/util.rb,15
b/echo/client_middleware/errors_middleware.rb,18
p/assets/stylesheets/modules/popover.css.scss,15
b/echo/dataset.rb,13
p/assets/stylesheets/modules/settings.css.scss,31
p/assets/javascripts/models/ui/datasets_list.js.coffee,18
ec/models/dataset_extra_spec.rb,13
ec/helpers/project_helpers.rb,14
p/controllers/conversions_controller.rb,26
p/assets/javascripts/util/xhr.js.coffee,15
p/assets/javascripts/util/string.js.coffee,17
p/controllers/granules_controller.rb,13
p/assets/javascripts/modules/map/leaflet-plugins/sedac_tile_layer.js.coffee,16
added/migrate/20140102155714_create_dataset_extras.rb,11
ec/javascripts/support/jasmine.yml,76
p/assets/javascripts/models/ui/project_list.js.coffee,14
added/schema.rb,25
ec/javascripts/helpers/SpecHelper.js,9
p/assets/javascripts/namespaces.js.coffee,8
n/autospec,16
ec/helpers/default_tags.rb,7
st/performance/browsing_test.rb,12
n/rspec,16
p/assets/javascripts/models/page/current.js.coffee,15
p/assets/javascripts/models/data/granules.js.coffee,11
st/test_helper.rb,13
p/assets/stylesheets/modules/_env.css.scss,14
b/echo/granule.rb,5
added/migrate/20140129200846_add_has_granules_to_dataset_extra.rb,5
ec/helpers/page_matchers.rb,5
p/assets/javascripts/modules/dropdown.js.coffee,10
ec/helpers/shared_browser_session.rb,15
p/controllers/static_pages_controller.rb,5
p/assets/javascripts/modules/toolbar.js.coffee,4
ript/rails,6
p/assets/javascripts/modules/button_effects.js.coffee,5
p/assets/javascripts/modules/doc_example.js.coffee,3
p/assets/stylesheets/modules/_knockout.css.scss,10
