id,weight
added/seeds.rb,3537
p/assets/javascripts/modules/timeline/timeline.coffee,992
ec/features/address_bar_spec.rb,581
p/assets/javascripts/modules/map/leaflet-plugins/granule_layer.js.coffee,542
ec/features/granules/granule_filters_spec.rb,414
p/assets/stylesheets/modules/data_access.css.scss,406
ec/controllers/data_access_controller_spec.rb,426
p/assets/stylesheets/modules/master_overlay.css.scss,391
p/assets/javascripts/modules/map/map.js.coffee,446
p/assets/stylesheets/modules/map/map.css.scss,350
p/assets/javascripts/modules/help.js.coffee,310
p/assets/javascripts/models/data/query.js.coffee,342
ec/echo/client_middleware/echo10_dataset_middleware_spec.rb,275
ec/features/data_access/data_download_spec.rb,332
ec/features/dataset_facets/dataset_facets_spec.rb,297
p/assets/javascripts/util/url.js.coffee,279
p/controllers/data_access_controller.rb,281
p/assets/javascripts/modules/map/spatial_selection.js.coffee,281
p/assets/javascripts/models/data/project.js.coffee,280
ec/features/data_access/xy_box_subsetting_spec.rb,271
ec/features/map/spatial_selection_spec.rb,261
ec/javascripts/models/querySpec.coffee,259
ec/features/data_access/data_access_workflow_spec.rb,273
p/models/dataset_extra.rb,267
p/assets/javascripts/models/ui/project_list.js.coffee,242
ec/features/map/granule_selection_spec.rb,258
ec/models/dataset_extra_spec.rb,252
p/assets/javascripts/models/data/account.js.coffee,238
p/assets/javascripts/models/ui/granules_list.js.coffee,261
ec/features/timeline/timeline_date_selection_spec.rb,254
p/assets/stylesheets/modules/panel_list.css.scss,231
p/assets/javascripts/models/ui/state_manager.coffee,241
p/assets/javascripts/models/ui/temporal.js.coffee,215
ec/features/map/map_zooming_spec.rb,233
p/assets/stylesheets/modules/buttons.css.scss,206
p/assets/stylesheets/modules/timeline.css.scss,206
p/services/esi_client.rb,214
ec/features/granules/granule_list_spec.rb,208
p/models/opendap_configuration.rb,189
p/assets/stylesheets/modules/dropdown.css.scss,203
p/assets/javascripts/modules/map/leaflet-plugins/spherical_polygon.js.coffee,279
ec/features/map/granule_footprint_visualizations_spec.rb,210
ec/features/map/shapefile_spec.rb,195
ec/helpers/timeline_matchers.rb,202
p/assets/javascripts/models/ui/granule_timeline.coffee,197
ec/features/data_access/opendap_retrieval_spec.rb,176
ec/javascripts/models/granuleAttributesSpec.coffee,200
p/assets/stylesheets/modules/landing.css.scss,175
p/assets/javascripts/modules/map/geoutil.js.coffee,229
p/assets/stylesheets/modules/layout.css.scss,186
ec/features/datasets/featured_datasets_spec.rb,166
p/controllers/datasets_controller.rb,172
p/assets/javascripts/modules/map/leaflet-plugins/shapefile_layer.js.coffee,191
p/assets/javascripts/modules/temporal/temporal_range_selection.js.coffee,169
ec/features/temporal/datepicker_spec.rb,152
p/controllers/application_controller.rb,166
ec/echo/client_spec.rb,167
ec/features/map/grid_search_spec.rb,154
p/assets/javascripts/modules/map/leaflet-plugins/draw_toolbar.js.coffee,176
ec/spec_helper.rb,191
p/assets/javascripts/models/data/xhr_model.js.coffee,157
ec/features/projects/add_to_project_spec.rb,148
ec/features/map/placename_autocomplete_spec.rb,146
ec/features/timeline/timeline_temporal_selection_spec.rb,154
p/assets/stylesheets/modules/dataset_details.css.scss,143
p/assets/javascripts/models/knockout_extensions.js.coffee,148
ec/features/temporal/temporal_selection_spec.rb,143
p/assets/javascripts/models/data/dataset.js.coffee,147
ec/echo/client_middleware/echo10_granule_middleware_spec.rb,131
p/assets/javascripts/models/data/service_options.js.coffee,125
ec/helpers/page_helpers.rb,131
p/assets/javascripts/modules/master_overlay.coffee,138
p/assets/stylesheets/modules/granule_filters.css.scss,123
p/assets/javascripts/models/ui/datasets_list.js.coffee,123
p/assets/javascripts/modules/banner.coffee,119
b/echo/echo_client.rb,127
b/vcr/edsc_configurer.rb,114
ec/features/map/map_interface_spec.rb,135
p/assets/javascripts/models/data/granule_attributes.coffee,117
p/controllers/granules_controller.rb,120
p/assets/stylesheets/modules/typography.css.scss,116
ec/features/timeline/timeline_display_spec.rb,128
p/assets/javascripts/models/data/granules.js.coffee,125
p/presenters/dataset_details_presenter.rb,103
b/vcr/split_persister.rb,112
ec/features/data_access/status_page_spec.rb,108
ec/features/help/site_tour_spec.rb,124
p/assets/stylesheets/modules/echoforms.css.scss,117
ec/helpers/spatial_helpers.rb,114
added/schema.rb,112
ec/features/data_access/access_option_defaults_spec.rb,110
p/assets/javascripts/models/data/grid.coffee,96
ec/helpers/overlay_helpers.rb,102
p/assets/javascripts/modules/global_hooks.js.coffee,111
ec/features/projects/project_dataset_list_spec.rb,100
ec/features/users/expired_token_spec.rb,106
ec/features/datasets/dataset_details_spec.rb,93
b/colormaps/xml_to_json.rb,92
ec/features/data_access/duplicate_service_options_spec.rb,96
p/assets/stylesheets/splash.css.scss,89
p/presenters/details_presenter.rb,92
p/models/retrieval.rb,90
ec/features/datasets/dataset_apis_spec.rb,91
ec/helpers/map_matchers.rb,92
p/assets/javascripts/modules/autocomplete.js.coffee,92
p/assets/javascripts/models/data/dataset_facets.js.coffee,95
p/assets/javascripts/modules/echoformsext.coffee,109
ec/features/map/base_layer_date_display_spec.rb,94
p/assets/javascripts/modules/legend.coffee,91
ec/features/datasets/dataset_results_spec.rb,90
ec/features/timeline/timeline_zooming_spec.rb,95
p/assets/javascripts/util/plugin.js.coffee,96
ec/features/projects/dataset_dragging_spec.rb,84
p/assets/javascripts/modules/map/leaflet-plugins/draw_errors.js.coffee,112
ec/features/clear_filters_spec.rb,88
p/assets/stylesheets/modules/forms.css.scss,82
p/assets/javascripts/modules/landing.js.coffee,83
p/assets/javascripts/util/metrics.js.coffee,94
ec/features/users/contact_information_spec.rb,87
ec/features/projects/add_to_project_from_granules_spec.rb,83
ec/features/granules/granule_filter_tracking_spec.rb,78
ec/features/map/colormap_spec.rb,81
ec/features/timeline/timeline_tooltip_spec.rb,81
p/assets/javascripts/modules/map/leaflet-plugins/interpolation.js.coffee,117
p/assets/javascripts/util/date.js.coffee,84
ec/features/temporal/temporal_constraint_disambiguation_spec.rb,82
ec/features/projects/dataset_color_coding_spec.rb,77
b/echo/query_transformations.rb,83
ec/features/granules/granule_details_spec.rb,65
ec/features/timeline/timeline_temporal_display_spec.rb,79
ec/javascripts/util/deparamSpec.coffee,69
ec/features/projects/viewing_projects_spec.rb,78
ec/helpers/url_helpers.rb,76
ec/features/datasets/dataset_details_presenter_spec.rb,72
b/echo/base_client.rb,76
p/assets/javascripts/modules/map/mouse_events_layer.js.coffee,77
p/assets/stylesheets/modules/banner.css.scss,69
ec/helpers/dataset_helpers.rb,71
p/assets/javascripts/models/page/search_page.js.coffee,85
ec/features/data_access/single_granule_access_spec.rb,69
p/assets/stylesheets/modules/facets.css.scss,75
