id,weight
b/bootstrap/4.0/FSharp.Compiler.xml,37484
b/bootstrap/2.0/FSharp.Compiler.xml,37464
b/bootstrap/2.0/FSharp.Core.xml,9198
b/bootstrap/4.0/FSharp.Core.xml,8727
b/bootstrap/4.0/fsi.xml,1379
b/bootstrap/4.0/fsc.xml,557
stall-sh,520
b/bootstrap/4.0/FSharp.Build.xml,355
b/bootstrap/2.0/FSharp.Build.xml,350
nfigure.ac,79
c/fsharp/unittests/Unittests.dll.config,28
c/assemblyinfo/assemblyinfo.FSharp.LanguageService.Base.dll.cs,20
c/fsharp/FSharp.Core.Unittests/Properties/AssemblyInfo.cs,36
c/assemblyinfo/assemblyinfo.FSharp.ProjectSystem.Base.dll.cs,14
c/fsharp/FSharp.Core.Unittests/App.xaml,8
c/fsharp/FSharp.Core.Unittests/Properties/AppManifest.xml,6
c/fsharp/fsi/fsi.exe.config,6
togen.sh,3
