id,weight
plug-ins/gfig/gfig.c,12857
po-plug-ins/es.po,12601
plug-ins/flame/cmap.c,5734
app/paint_funcs.c,6164
app/widgets/gimpgradienteditor.c,6197
plug-ins/gflare/gflare.c,5668
plug-ins/pygimp/gimpmodule.c,4607
po/hu.po,7372
po/nl.po,7637
po/fi.po,6909
po/cs.po,6667
po/ru.po,6603
plug-ins/script-fu/regexrepl.c,5730
po/sv.po,6500
po/no.po,6487
plug-ins/script-fu/siod/slib.c,3735
po-plug-ins/it.po,6481
po/fr.po,6267
po/ja.po,7245
po/it.po,6749
po/ko.po,6322
po/pl.po,6307
po/da.po,6315
app/layers_dialog.c,4084
po/de.po,6055
app/gimpimage-convert.c,4109
plug-ins/gimpressionist/about.c,3100
app/gimage_cmds.c,3554
plug-ins/pygimp/doc/gimp-objects.html,3004
ltmain.sh,3975
plug-ins/script-fu/siod/sliba.c,2912
plug-ins/common/curve_bend.c,3670
plug-ins/common/CML_explorer.c,3110
app/plug_in.c,3226
app/widgets/gimppaletteeditor.c,3278
app/gimpimage.c,3519
plug-ins/perl/examples/logulator,2724
app/tools/bezier_select.c,3361
plug-ins/mosaic/mosaic_logo.h,2499
app/tools_cmds.c,2899
plug-ins/common/sample_colorize.c,3168
plug-ins/libgck/gck/gckcolor.c,3193
plug-ins/common/spheredesigner.c,2935
plug-ins/common/jigsaw.c,2708
app/paths_dialog.c,3011
app/gimprc.c,2763
plug-ins/ifscompose/ifscompose.c,2766
plug-ins/mosaic/mosaic.c,2689
app/xcf/xcf.c,2864
plug-ins/common/video.c,2450
plug-ins/common/wmf.c,2475
ltconfig,3017
plug-ins/common/ps.c,2683
app/gui/channels-dialog.c,2635
app/undo.c,2844
plug-ins/common/psd.c,2695
plug-ins/FractalExplorer/Dialogs.c,2370
plug-ins/script-fu/script-fu-scripts.c,2208
plug-ins/xjt/xjt.c,2459
app/xinput_airbrush.c,2843
app/preferences_dialog.c,2174
libgimpwidgets/gimpcolorselect.c,2145
po-plug-ins/fr.po,3313
app/gdisplay.c,2247
po-plug-ins/ja.po,3285
plug-ins/gap/gap_mov_dialog.c,2377
app/fileops.c,2032
app/layer_cmds.c,1874
po-plug-ins/no.po,3211
po-plug-ins/sv.po,3207
plug-ins/common/xwd.c,2091
po-plug-ins/ko.po,3192
po-plug-ins/da.po,3192
po-plug-ins/ru.po,3189
plug-ins/common/newsprint.c,2379
plug-ins/common/gif.c,2637
plug-ins/print/print.c,2228
plug-ins/pygimp/doc/gimp-module-procedures.html,1503
plug-ins/FractalExplorer/FractalExplorer.c,2243
plug-ins/common/psp.c,1822
app/tools/paint_core.c,1960
plug-ins/perl/configure,1834
app/tools/gimpblendtool.c,1838
plug-ins/gap/gap_lib.c,2188
plug-ins/common/animationplay.c,1848
app/gimpchannel.c,1731
plug-ins/common/warp.c,1927
plug-ins/jpeg/jpeg.h,1904
app/tools/iscissors.c,1843
app/gui/brush-select.c,1713
plug-ins/twain/twain.h,1819
plug-ins/imagemap/imap_csim_lex.c,1828
plug-ins/common/tiff.c,1568
plug-ins/fits/fitsrw.c,2096
plug-ins/common/sunras.c,1663
app/tools/airbrush_blob.c,1831
plug-ins/common/bumpmap.c,1840
app/tools/levels.c,1509
app/drawable_cmds.c,1411
plug-ins/common/film.c,1605
app/tools/gimpcurvestool.c,1542
plug-ins/imagemap/imap_main.c,1428
app/layer.c,1619
plug-ins/common/iwarp.c,1446
app/tools/gimpcroptool.c,1516
app/transform_core.c,1628
libgimp/gimp.c,1423
app/tools/ink.c,1603
app/gui/help-commands.c,1467
plug-ins/imagemap/imap_cern_lex.c,1710
plug-ins/imagemap/imap_ncsa_lex.c,1699
plug-ins/gap/gap_range_ops.c,1623
app/widgets/gimpitemfactory.c,1305
plug-ins/common/vpropagate.c,1288
config.sub,1215
plug-ins/common/tga.c,1529
libgimp/gimpmenu.c,1393
app/tools/path_tool.c,1561
app/color_cmds.c,1260
plug-ins/sel2path/fit.c,1951
app/nav_window.c,1367
libgimpbase/gimpprotocol.c,1195
plug-ins/common/sparkle.c,1239
plug-ins/struc/struc.h,1034
plug-ins/common/depthmerge.c,1244
plug-ins/common/tileit.c,1320
libgimp/gimpimage_pdb.c,1276
plug-ins/common/papertile.c,1267
po-script-fu/es.po,2097
plug-ins/print/print-pcl.c,1495
app/widgets/gimpdevices.c,1204
plug-ins/sinus/sinus_logo.h,973
plug-ins/gap/gap_main.c,1224
app/resize.c,1192
plug-ins/common/lic.c,1440
plug-ins/MapObject/mapobject_ui.c,1419
app/interface.c,1223
plug-ins/flame/libifs.c,1167
plug-ins/common/nova.c,1322
plug-ins/fp/fp_gtk.c,1166
plug-ins/common/gpb.c,1142
plug-ins/common/align_layers.c,1066
plug-ins/common/Makefile.am,1155
plug-ins/imagemap/imap_csim_parse.c,1185
plug-ins/AlienMap/AlienMap.c,1231
app/tools/tools.c,1058
plug-ins/AlienMap2/AlienMap2.c,1234
plug-ins/gap/gap_arr_dialog.c,1251
plug-ins/common/polar.c,1260
plug-ins/common/scatter_hsv.c,1034
plug-ins/helpbrowser/helpbrowser.c,1126
plug-ins/common/wind.c,1105
config.guess,1087
plug-ins/fits/fits.c,1116
plug-ins/common/compose.c,1083
plug-ins/common/pnm.c,1088
plug-ins/flame/flame.c,1023
plug-ins/script-fu/script-fu.c,1027
docs/script-fu.tex,935
plug-ins/dbbrowser/plugin-browser.c,1115
app/tools/tool_options.c,1018
app/gimage_mask_cmds.c,971
app/procedural_db_cmds.c,969
plug-ins/common/gifload.c,1146
plug-ins/common/blinds.c,1146
plug-ins/gap/gap_mod_layer.c,1223
plug-ins/common/xbm.c,1096
plug-ins/MapObject/mapobject_shade.c,1221
plug-ins/common/flarefx.c,1061
plug-ins/common/sharpen.c,1373
plug-ins/libgck/gck/gckui.c,1158
plug-ins/FractalExplorer/logo.h,788
plug-ins/imagemap/imap_object.c,907
app/gimpcontextpreview.c,943
plug-ins/common/decompose.c,1009
plug-ins/gap/gap_mpege.c,1037
plug-ins/common/ripple.c,1017
plug-ins/gdyntext/gdyntext_ui.c,959
app/module_db.c,1062
plug-ins/perl/Gimp/UI.pm,958
plug-ins/gimpressionist/repaint.c,871
app/colormap_dialog.i.c,913
plug-ins/common/despeckle.c,1372
plug-ins/common/whirlpinch.c,1134
modules/colorsel_triangle.c,915
plug-ins/Lighting/lighting_ui.c,1115
plug-ins/common/nlfilt.c,1043
plug-ins/ifscompose/ifscompose_utils.c,920
plug-ins/imagemap/imap_ncsa_parse.c,1020
plug-ins/pagecurl/pagecurl.c,1049
app/tools/hue_saturation.c,947
app/pixmaps2.h,1037
plug-ins/imagemap/imap_cern_parse.c,1016
libgimpwidgets/gimpsizeentry.c,980
plug-ins/gfig/pix_data.h,757
plug-ins/common/fractaltrace.c,893
app/paths_cmds.c,856
plug-ins/webbrowser/webbrowser.c,992
plug-ins/common/cubism.c,889
plug-ins/common/gee.c,931
app/tools/gimpbycolorselecttool.c,938
app/channel_cmds.c,840
plug-ins/winsnap/winsnap.c,1220
plug-ins/common/mail.c,1021
app/tools/text_tool.c,989
app/image_render.c,863
app/tile_swap.c,872
app/parasite_cmds.c,802
app/pattern_select.c,909
plug-ins/common/displace.c,886
app/text_tool_cmds.c,792
plug-ins/common/convmatrix.c,908
plug-ins/gap/resize.c,825
plug-ins/perl/Gimp/Fu.pm,901
modules/colorsel_water.c,838
plug-ins/gfli/gfli.c,879
plug-ins/megawidget/megawidget.c,847
app/widgets/gtkwrapbox.c,775
plug-ins/common/mblur.c,925
app/global_edit.c,885
libgimp/gimp.h,861
plug-ins/common/xpm.c,866
app/display/gimpdisplayshell-callbacks.c,828
app/tools/gimpcolorbalancetool.c,821
plug-ins/perl/po/it.po,906
app/tools/gimpeditselectiontool.c,845
app/app_procs.c,810
tools/pdbgen/app.pl,774
app/gimpdrawable.c,748
plug-ins/perl/po/de.po,939
app/tools/paintbrush.c,779
plug-ins/gap/gap_filter_codegen.c,747
plug-ins/twain/twain.c,1148
plug-ins/common/animoptimize.c,865
plug-ins/common/png.c,987
plug-ins/gfli/fli.c,721
app/tools/gimpsourcetool.c,787
plug-ins/imagemap/imap_polygon.c,725
plug-ins/gimpressionist/ppmtool.c,701
plug-ins/sinus/sinus.c,785
plug-ins/gap/gap_dbbrowser_utils.c,793
plug-ins/common/gauss_iir.c,752
app/tools/color_picker.c,757
plug-ins/maze/maze_face.c,898
plug-ins/gimpressionist/orientmap.c,717
plug-ins/sgi/sgilib.c,882
app/tools/gimpinktool-blob.c,752
plug-ins/print/print-ps.c,1111
plug-ins/common/edge.c,853
app/widgets/gimpwidgets-utils.c,857
plug-ins/sel2path/sel2path.c,750
plug-ins/pygimp/doc/structure-of-plugin.html,573
plug-ins/gdyntext/gdyntext.c,687
libgimp/gimppixelrgn.c,742
plug-ins/perl/examples/gimpmagick,628
app/unit_cmds.c,674
plug-ins/unsharp/unsharp.c,900
plug-ins/common/diffraction.c,831
app/selection.c,731
plug-ins/gap/gap_pdb_calls.c,835
app/tools/measure.c,709
plug-ins/gimpressionist/presets.c,681
plug-ins/common/rotate.c,772
app/lc_dialog.c,732
app/gimpimage-duplicate.c,727
plug-ins/common/destripe.c,955
libgimp/gimpdrawable_pdb.c,691
plug-ins/twain/tw_func.c,999
plug-ins/common/mapcolor.c,696
app/tools/gimpregionselecttool.c,701
app/fsdither.h,559
plug-ins/common/pixelize.c,795
plug-ins/common/winprint.c,673
plug-ins/xjt/xpdb_calls.c,786
plug-ins/gflare/gtkmultioptionmenu.c,671
app/brushes_cmds.c,622
plug-ins/common/csource.c,609
app/gui/file-new-dialog.c,684
app/widgets/gtkvwrapbox.c,653
app/widgets/gtkhwrapbox.c,653
acinclude.m4,560
