id,weight
query/sqlite/sqlite3.c,146388
query/devtools/shell.cpp,3861
ols/cpplint.py,5761
query/sqlite3.h,7386
query/database/results.cpp,316
ols/gentable.py,352
query/core/md5.h,368
query/tables/manual/hash.cpp,440
query/tables/manual/filesystem.cpp,427
query/core/test_util.cpp,221
query/database/query_tests.cpp,172
query/database/db_handle.cpp,208
query/database/query.cpp,169
query/database/results_tests.cpp,138
query/database/db_handle_tests.cpp,125
query/tables/base.h,204
query/tables/generated/generated_example.cpp,110
query/database/results.h,218
query/database/query.h,141
query/database/db_handle.h,174
query/config/config.cpp,91
query/scheduler/scheduler.cpp,89
query/tables/generated_example.h,82
query/core/sqlite_util.cpp,73
query/registry/registry_tests.cpp,63
query/config/config_tests.cpp,61
query/registry.h,81
query/logger/logger.cpp,58
query/config/plugins/filesystem.cpp,61
query/registry/registry_template.h,71
query/config.h,85
akeLists.txt,47
query/logger/plugins/filesystem.cpp,49
query/logger/logger_tests.cpp,50
query/logger/plugins/facebook/scribe.cpp,50
query/core/test_util.h,82
query/core/test_util_tests.cpp,41
query/core/sqlite_util_tests.cpp,42
query/config/plugins/facebook/configerator.cpp,38
query/config/plugin.h,36
query/core/status_tests.cpp,34
query/logger/plugin.h,35
query/main/daemon.cpp,31
query/registry/init_registry.h,47
query/core/status.h,25
query/logger.h,36
query/tables/hash.h,35
query/registry/singleton.h,28
query/tables/filesystem.h,35
query/core.h,33
query/tables/implementations/example.cpp,24
kefile,20
query/scheduler/scheduler_tests.cpp,18
query/database.h,11
query/main/lib.h,14
query/tables/implementations/example.h,14
query/scheduler.h,15
query/devtools.h,13
query/main/shell.cpp,7
query/main/lib.cpp,9
