id,weight
te/vendor/JSXTransformer.js,10862
te/vendor/codemirror/codemirror.js,6047
query/devtools/shell.cpp,4436
te/src/api/Master.js,654
te/src/api/v1.1.0.js,643
te/src/api/v1.0.5.js,589
ols/provision.sh,505
te/vendor/codemirror/javascript.js,425
query/core/darwin/test_util.cpp,371
ols/profile.py,421
ols/git-clang-format.py,485
query/database/results.cpp,366
query/core/md5.h,421
query/events/events.cpp,398
query/tables/system/darwin/ca_certs.cpp,394
query/CMakeLists.txt,320
query/core/test_util.cpp,290
clude/osquery/events.h,778
te/vendor/codemirror/syntax.css,409
query/tables/system/darwin/processes.cpp,295
query/tables/manual/filesystem.cpp,418
query/events/linux/inotify_tests.cpp,295
te/vendor/codemirror/codemirror.css,239
xygen/DoxygenLayout.xml,194
query/events/darwin/fsevents_tests.cpp,257
query/tables/system/darwin/firewall.cpp,216
te/vendor/codemirror/solarized.css,173
ols/gentable.py,277
query/tables/networking/darwin/routes.cpp,219
query/tables/system/darwin/process_open_files.cpp,206
query/events/linux/inotify.cpp,234
query/filesystem/filesystem.cpp,204
query/filesystem/darwin/plist.mm,178
query/events/events_tests.cpp,237
query/tables/networking/linux/routes.cpp,198
ols/make_osx_package.sh,176
query/events/darwin/fsevents.cpp,196
query/tables/system/linux/processes.cpp,195
te/src/pages/TablesPage.js,162
query/tables/networking/linux/port_inode.cpp,188
te/assets/style.css,175
query/devtools/printer_tests.cpp,148
query/tables/system/darwin/firewall_tests.cpp,142
query/database/results_tests.cpp,159
ols/genapi.py,172
query/database/db_handle.cpp,172
query/tables/system/darwin/launchd.cpp,144
query/core/system.cpp,147
query/database/query_tests.cpp,141
query/scheduler/scheduler.cpp,138
query/devtools/printer.cpp,141
query/tables/system/darwin/apps.cpp,136
query/events/darwin/scnetwork.cpp,148
query/tables/networking/utils.cpp,140
query/tables/system/cpuid.cpp,143
query/tables/system/darwin/nvram.cpp,151
akeLists.txt,126
query/tables/system/darwin/kextstat.cpp,137
query/tables/base.h,195
query/tables/system/darwin/startup_items.cpp,135
query/tables/networking/darwin/listening_ports.cpp,130
query/database/query.cpp,126
query/config/config.cpp,120
te/src/Root.js,127
query/tables/networking/linux/inet_diag.h,135
query/tables/system/darwin/ca_certs_tests.cpp,128
ake/FindRocksDB.cmake,123
query/tables/utility/crontab.cpp,119
query/tables/CMakeLists.txt,96
query/filesystem/filesystem_tests.cpp,106
query/tables/system/suid_bin.cpp,107
query/tables/system/linux/block_devices.cpp,95
query/tables/networking/darwin/interfaces.cpp,109
query/events/darwin/fsevents.h,117
query/core/init_osquery.cpp,114
query/database/db_handle_tests.cpp,91
query/tables/system/darwin/apps_tests.cpp,83
te/src/pages/OverviewPage.js,90
query/dispatcher/dispatcher.cpp,92
clude/osquery/database/results.h,348
query/tables/system/darwin/usb_devices.cpp,90
query/core/sql.cpp,82
query/filesystem/darwin/plist_tests.cpp,81
query/tables/system/shell_history.cpp,85
clude/osquery/tables.h,171
clude/osquery/database/query.h,302
te/src/components/NavMain.js,82
query/events/linux/inotify.h,136
query/core/tables.cpp,77
query/core/darwin/NSProcessInfo+PECocoaBackports.mm,102
query/tables/system/darwin/homebrew_packages.cpp,79
ols/lib.sh,70
query/tables/system/linux/rpm_packages.cpp,94
query/tables/system/darwin/users.mm,72
query/filesystem/linux/proc.cpp,77
clude/osquery/flags.h,126
query/events/events_database_tests.cpp,77
ake/FindReadline.cmake,80
query/config/config_tests.cpp,77
query/core/sqlite_util.cpp,69
query/events/darwin/scnetwork.h,87
query/tables/system/darwin/groups.mm,66
query/tables/system/darwin/quarantine.cpp,73
query/core/darwin/NSProcessInfo+PECocoaBackports.h,89
clude/osquery/core.h,192
query/tables/system/linux/pci_devices.cpp,72
query/filesystem/darwin/plist_benchmark.cpp,63
query/logger/logger.cpp,62
query/tables/networking/linux/arp_cache.cpp,71
query/main/daemon.cpp,65
query/tables/networking/linux/socket_inode.cpp,63
query/tables/system/darwin/launchd_tests.cpp,56
query/tables/system/linux/kernel_modules.cpp,64
te/src/components/PageFooter.js,52
clude/osquery/database/db_handle.h,243
te/src/pages/HomePage.js,63
clude/osquery/registry.h,88
ake/FindThrift.cmake,63
query/core/test_util.h,100
query/registry/registry_template.h,69
te/src/components/QuickLinks.js,52
clude/osquery/filesystem.h,187
query/tables/networking/etc_hosts.cpp,52
query/tables/utility/hash.cpp,53
query/tables/events/darwin/passwd_changes.cpp,72
query/core/test_util_tests.cpp,48
clude/osquery/dispatcher.h,211
query/core/sqlite_util_tests.cpp,50
query/tables/system/linux/mounts.cpp,47
query/tables/system/last.cpp,51
query/registry/registry_tests.cpp,55
query/core/darwin/PECocoaBackportsGlobal.h,68
ols/stress.py,53
clude/osquery/config.h,154
query/tables/system/darwin/mounts.cpp,46
kefile,41
query/tables/events/linux/passwd_changes.cpp,69
query/tables/system/linux/users.cpp,44
query/logger/plugins/facebook/scribe.cpp,46
ake/FindDl.cmake,53
query/dispatcher/dispatcher_tests.cpp,43
query/logger/plugins/filesystem.cpp,44
ols/run.cpp,40
query/tables/system/linux/groups.cpp,39
query/config/plugins/filesystem.cpp,42
ake/FindGlog.cmake,49
ols/flag_test.cpp,37
query/core/status_tests.cpp,39
query/logger/logger_tests.cpp,42
query/tables/system/logged_in_users.cpp,38
ake/FindGflags.cmake,48
query/events/CMakeLists.txt,31
te/server.js,31
ake/FindLZMA.cmake,48
query/config/plugins/facebook/configerator.cpp,34
clude/osquery/sql.h,102
ake/FindCrypto.cmake,43
query/tables/system/darwin/firewall.h,53
te/src/components/PageHeader.js,27
query/registry/registry.h,34
te/src/components/PageContainer.js,31
query/tables/system/freebsd/processes.cpp,33
query/core/CMakeLists.txt,23
query/core/sql_tests.cpp,30
query/tables/utility/time.cpp,26
query/tables/networking/etc_hosts_tests.cpp,29
query/core/conversions_tests.cpp,30
ols/registry_test.cpp,28
query/registry/init_registry.h,44
query/tables/system/darwin/osx_version.mm,29
query/core/conversions.h,35
query/core/text_tests.cpp,27
te/src/components/WideContainer.js,23
query/filesystem/CMakeLists.txt,21
clude/osquery/status.h,95
clude/osquery/config/plugin.h,67
te/build.js,19
clude/osquery/logger/plugin.h,69
te/src/pages/BasePage.js,23
te/src/pages/NotFoundPage.js,22
clude/osquery/logger.h,75
query/core/text.cpp,21
clude/osquery/devtools.h,94
query/tables/networking/freebsd/routes.cpp,23
query/registry/registry.cpp,29
