id,weight
query/devtools/shell.cpp,2199
ols/provision.sh,588
query/filesystem/filesystem.cpp,622
query/events/events.cpp,620
query/extensions/extensions.cpp,533
query/registry/registry.cpp,509
query/database/results.cpp,414
ols/profile.py,400
ols/formatting/git-clang-format.py,485
query/core/watcher.cpp,415
clude/osquery/registry.h,716
ols/tests/test_base.py,332
ols/tests/test_extensions.py,398
clude/osquery/events.h,778
query/events/events_tests.cpp,386
query/tables/system/darwin/processes.cpp,342
query/tables/networking/linux/process_open_sockets.cpp,314
query/sql/virtual_table.cpp,298
query/tables/system/darwin/packages.cpp,308
query/core/test_util.cpp,270
query/events/linux/inotify_tests.cpp,312
query/filesystem/filesystem_tests.cpp,251
query/core/init.cpp,305
query/extensions/interface.cpp,261
query/tables/system/darwin/xattr_tests.cpp,206
query/tables/system/darwin/keychain_utils.cpp,282
query/tables/system/darwin/preferences.cpp,258
query/tables/system/linux/processes.cpp,278
query/logger/logger.cpp,285
ols/codegen/genapi.py,253
query/events/linux/inotify.cpp,258
ols/codegen/gentable.py,302
xygen/DoxygenLayout.xml,194
ake/CMakeLibs.cmake,217
query/events/darwin/fsevents_tests.cpp,259
query/tables/system/darwin/firewall.cpp,222
query/registry/registry_tests.cpp,278
query/config/config.cpp,239
query/tables/system/darwin/xattr.cpp,194
query/core/tables.cpp,229
query/tables/networking/darwin/routes.cpp,227
query/distributed/distributed_tests.cpp,225
akeLists.txt,211
query/extensions/extensions_tests.cpp,245
query/sql/sqlite_util.cpp,217
query/tables/networking/linux/routes.cpp,206
query/database/results_tests.cpp,193
query/events/darwin/fsevents.cpp,208
ols/deployment/make_osx_package.sh,182
query/filesystem/darwin/plist.mm,174
query/events/darwin/iokit_hid.cpp,199
query/tables/system/darwin/process_open_descriptors.cpp,184
query/tables/system/darwin/firewall_tests.cpp,159
query/extensions/interface.h,295
clude/osquery/tables.h,331
query/tables/CMakeLists.txt,141
query/distributed/distributed.cpp,171
query/database/db_handle.cpp,186
query/tables/system/ubuntu/deb_packages.cpp,196
query/sql/sqlite_util_tests.cpp,164
query/core/system.cpp,171
query/tables/system/darwin/launchd.cpp,152
query/tables/system/darwin/apps.cpp,154
ols/deployment/osqueryctl,138
query/tables/system/darwin/xprotect.cpp,173
query/tables/system/darwin/sysctl_utils.cpp,174
query/core/flags.cpp,158
query/database/query_tests.cpp,146
query/events/linux/udev.cpp,160
query/config/config_tests.cpp,171
query/dispatcher/scheduler.cpp,149
query/events/darwin/scnetwork.cpp,156
query/tables/networking/interfaces.cpp,158
query/tables/system/cpuid.cpp,151
query/tables/networking/utils.cpp,148
query/CMakeLists.txt,153
ols/deployment/make_linux_package.sh,136
query/tables/utility/osquery.cpp,133
query/tables/system/darwin/kernel_info.cpp,151
query/core/watcher.h,239
query/tables/system/darwin/startup_items.cpp,145
query/events/events_database_tests.cpp,153
query/database/query.cpp,137
query/tables/system/darwin/packages.h,141
query/tables/networking/linux/inet_diag.h,145
query/core/flags_tests.cpp,145
query/tables/system/darwin/apps_tests.cpp,117
query/tables/system/suid_bin.cpp,134
query/tables/system/darwin/iokit_registry.cpp,139
query/devtools/printer.cpp,124
ols/deployment/osqueryd.initd,135
query/tables/system/crontab.cpp,127
query/tables/system/system_controls.cpp,126
clude/osquery/flags.h,209
query/tables/system/darwin/kernel_extensions.cpp,128
clude/osquery/core.h,249
query/dispatcher/dispatcher.cpp,132
query/sql/sql.cpp,122
query/tables/applications/darwin/browser_safari.cpp,125
query/core/tables_tests.cpp,134
query/tables/system/smbios_utils.cpp,112
query/tables/applications/darwin/browser_firefox.cpp,118
query/devtools/printer_tests.cpp,112
query/events/darwin/iokit_hid.h,149
query/tables/system/darwin/keychain_items.cpp,117
query/core/hash.cpp,112
query/tables/system/linux/block_devices.cpp,106
query/logger/logger_tests.cpp,136
query/tables/system/linux/sysctl_utils.cpp,116
query/tables/system/darwin/block_devices.cpp,112
clude/osquery/database/results.h,392
query/tables/applications/darwin/browser_chrome.cpp,112
query/events/darwin/fsevents.h,128
ake/FindRocksDB.cmake,110
query/filesystem/linux/mem.cpp,112
