id,weight
ikits/learn/datasets/pendigits/training/pendigits_tra.py,6509
ikits/learn/datasets/german/german.py,4086
ikits/learn/datasets/pendigits/testing/pendigits_tes.py,3037
ikits/learn/svm/libsvm-2.82/svm.cpp,3075
ikits/learn/manifold/src/matrix/matrix_functions.h,1142
ikits/learn/manifold/src/matrix/dynamic_container_matrix.h,1343
ikits/learn/neighbors/src/BallTree.cpp,840
ikits/learn/manifold/src/matrix/expression_template.h,1299
ikits/learn/manifold/src/matrix/type_traits.h,873
ikits/learn/manifold/src/matrix/expression_template_iterators.h,776
c/sphinxext/docscrape.py,499
ikits/learn/datasets/heart/heart.py,370
ikits/learn/em/src/pure_den.c,461
ikits/learn/neighbors/src/BallTree.h,591
ikits/learn/manifold/src/matrix/sub_vector_matrix_lib.h,676
ikits/learn/manifold/src/matrix/iterator_based_functions.h,647
ikits/learn/em/gauss_mix.py,728
ikits/learn/manifold/src/matrix/sub_vector_matrix_iterator.h,531
ikits/learn/manifold/src/matrix/sub_matrix_lib.h,548
ikits/learn/manifold/src/matrix/matrix_lib.h,486
ikits/learn/svm/tests/test_classification.py,307
ikits/learn/em/gmm_em.py,519
ikits/learn/manifold/src/matrix/static_container_matrix.h,431
ikits/learn/svm/predict.py,230
c/sphinxext/docscrape_sphinx.py,226
ikits/learn/em/online_em.py,466
ikits/learn/manifold/src/matrix/inversion.h,217
ikits/learn/manifold/regression/PLMR.py,273
ikits/learn/svm/tests/test_regression.py,173
ikits/learn/em/tests/test_online_em.py,230
ikits/learn/svm/dataset.py,194
ikits/learn/em/profile_data/profile_online_em.py,241
ikits/learn/em/tests/test_densities.py,240
c/sphinxext/numpydoc.py,195
ikits/learn/em/tests/test_gmm_em.py,198
ikits/learn/datasets/nwis/nwis.py,137
ikits/learn/neighbors/src/BallTreePoint.h,161
ikits/learn/manifold/src/matrix/pointer_matrix.h,238
ikits/learn/manifold/src/matrix/sub_vector_lib.h,256
ikits/learn/em/densities.py,307
ikits/learn/manifold/src/matrix/sub_matrix_iterator.h,193
ikits/learn/em/densities2.py,230
ikits/learn/manifold/src/matrix/container_iterator.h,203
ikits/learn/manifold/compression/similarities.py,204
ikits/learn/manifold/src/matrix/diagonal_matrix_iterator.h,189
ikits/learn/svm/tests/test_dataset.py,137
ikits/learn/svm/libsvm.py,146
ikits/learn/manifold/compression/cost_function/modifiedCompression.h,174
ikits/learn/svm/classification.py,193
ikits/learn/em/_c_densities.py,224
b/make.bat,113
ikits/learn/utils/tests/test_preprocessing.py,122
ikits/learn/ann/srn.py,168
