id,weight
ikits/learn/src/libsvm.c,7667
ikits/learn/glm/src/cd_fast.c,6628
ikits/learn/src/liblinear.c,6044
ikits/learn/src/svm.cpp,3101
ikits/learn/src/linear.cpp,2093
ikits/learn/manifold/src/matrix/matrix_functions.h,1142
ikits/learn/manifold/src/matrix/dynamic_container_matrix.h,1343
ikits/learn/src/BallTree.cpp,816
ikits/learn/manifold/src/matrix/expression_template.h,1299
ikits/learn/manifold/src/matrix/type_traits.h,873
ikits/learn/manifold/src/matrix/expression_template_iterators.h,776
c/sphinxext/docscrape.py,499
ikits/learn/em/src/pure_den.c,462
ikits/learn/src/BallTree.h,591
ikits/learn/manifold/src/matrix/sub_vector_matrix_lib.h,676
ikits/learn/manifold/src/matrix/iterator_based_functions.h,647
ikits/learn/src/libsvm_helper.c,488
ikits/learn/em/gauss_mix.py,728
ikits/learn/manifold/src/matrix/sub_vector_matrix_iterator.h,531
ikits/learn/manifold/src/matrix/sub_matrix_lib.h,548
ikits/learn/manifold/src/matrix/matrix_lib.h,486
ikits/learn/src/blas/blasp.h,430
ikits/learn/em/gmm_em.py,520
ikits/learn/manifold/src/matrix/static_container_matrix.h,431
ikits/learn/src/tron.cpp,239
c/sphinxext/docscrape_sphinx.py,226
ikits/learn/em/online_em.py,466
ikits/learn/glm/coordinate_descent.py,362
ikits/learn/feature_selection/tests/test_feature_select.py,291
ikits/learn/manifold/src/matrix/inversion.h,217
ikits/learn/svm.py,482
ikits/learn/manifold/regression/PLMR.py,273
ikits/learn/feature_selection/univ_selection.py,392
ikits/learn/src/liblinear_helper.c,198
ikits/learn/em/tests/test_online_em.py,230
ikits/learn/tests/test_svm.py,264
ikits/learn/em/profile_data/profile_online_em.py,241
c/sphinxext/numpydoc.py,195
ikits/learn/em/tests/test_gmm_em.py,198
ikits/learn/src/BallTreePoint.h,161
ikits/learn/glm/regression.py,420
ikits/learn/manifold/src/matrix/pointer_matrix.h,238
ikits/learn/manifold/src/matrix/sub_vector_lib.h,256
ikits/learn/em/densities.py,307
ikits/learn/em/tests/test_densities.py,215
ikits/learn/manifold/src/matrix/sub_matrix_iterator.h,193
ikits/learn/em/densities2.py,230
ikits/learn/manifold/src/matrix/container_iterator.h,203
ikits/learn/manifold/compression/similarities.py,204
ikits/learn/manifold/src/matrix/diagonal_matrix_iterator.h,189
ikits/learn/manifold/compression/cost_function/modifiedCompression.h,174
ikits/learn/cross_val.py,284
ikits/learn/benchmarks/bench_svm.py,152
ikits/learn/em/_c_densities.py,224
c/make.bat,113
ikits/learn/utils/tests/test_preprocessing.py,122
ikits/learn/ann/srn.py,168
c/sphinxext/gen_rst.py,176
ikits/learn/glm/tests/test_coordinate_descent.py,214
ikits/learn/manifold/src/matrix/matrix_traits.h,130
ikits/learn/utils/preprocessing.py,202
ikits/learn/ann/mlp.py,147
ikits/learn/ann/doc/mlp.html,93
ikits/learn/lda.py,162
ikits/learn/manifold/src/matrix/diagonal_matrix_lib.h,170
ikits/learn/manifold/regression/MLPLMR.py,126
ikits/learn/ann/doc/srn.html,90
ikits/learn/glm/tests/test_ridge.py,130
ikits/learn/manifold/regression/cluster/ModifiedGeneralClustering.h,119
ikits/learn/manifold/regression/CPLMR.py,151
ikits/learn/ann/doc/rbf.html,86
amples/em/discriminant_analysis.py,128
c/Makefile,89
ikits/learn/ann/rbf.py,134
ikits/learn/setup.py,86
ikits/learn/em/tests/test_gauss_mix.py,86
ikits/learn/em/tests/generate_tests_data.py,98
ikits/learn/manifold/compression/geodesic_mds.py,154
ikits/learn/src/svm.h,109
ikits/learn/manifold/compression/cca_multiresolution_dimensionality_reduction.py,83
ikits/learn/src/linear.h,70
ikits/learn/benchmarks/bench_balltree.py,81
ikits/learn/manifold/compression/multiresolution_dimensionality_reduction.py,82
ikits/learn/manifold/compression/robust_dimensionality_reduction.py,89
tup.py,67
ikits/learn/manifold/compression/cost_function/cost_function.py,95
ikits/learn/em/doc/examples/demo2.py,104
ikits/learn/em/doc/examples/demo1.py,109
ikits/learn/benchmarks/bench_plot_balltree.py,58
ikits/learn/manifold/projection/ML_projection.py,98
ikits/learn/metrics.py,157
ikits/learn/logistic.py,108
ikits/learn/manifold/stats/gaussian.py,127
ikits/learn/manifold/stats/laplace.py,129
amples/plot_roc_crossval.py,70
