id,weight
ikits/learn/src/_libsvm.c,6834
ikits/learn/src/cd_fast.c,6628
ikits/learn/src/_liblinear.c,5291
ikits/learn/src/minilearn/_minilearn.c,4086
ikits/learn/src/cblas/atlas_reflvl2.h,3187
ikits/learn/src/svm.cpp,3101
ikits/learn/src/linear.cpp,2093
ikits/learn/src/cblas/atlas_reflevel2.h,791
ikits/learn/src/BallTree.cpp,816
ikits/learn/src/cblas/cblas.h,596
c/sphinxext/docscrape.py,499
ikits/learn/glm.py,1023
ikits/learn/src/BallTree.h,591
ikits/learn/src/libsvm_helper.c,488
ikits/learn/src/blas/blasp.h,430
ikits/learn/tests/test_gmm.py,362
ikits/learn/src/cblas/atlas_refmisc.h,370
ikits/learn/gmm.py,598
ikits/learn/src/tron.cpp,239
c/sphinxext/docscrape_sphinx.py,226
ikits/learn/svm.py,483
ikits/learn/src/liblinear_helper.c,198
ikits/learn/tests/test_svm.py,264
c/sphinxext/numpydoc.py,195
ikits/learn/feature_selection/tests/test_feature_select.py,227
ikits/learn/src/BallTreePoint.h,161
ikits/learn/cross_val.py,359
ikits/learn/src/minilearn/lars.c,310
ikits/learn/src/cblas/cblas_dnrm2.c,206
ikits/learn/benchmarks/bench_svm.py,158
c/make.bat,113
ikits/learn/utils/tests/test_preprocessing.py,122
ikits/learn/ann/srn.py,168
c/sphinxext/gen_rst.py,176
ikits/learn/setup.py,121
ikits/learn/lda.py,168
ikits/learn/utils/preprocessing.py,202
ikits/learn/tests/test_coordinate_descent.py,188
ikits/learn/ann/mlp.py,147
ikits/learn/ann/doc/mlp.html,93
ikits/learn/tests/test_glm.py,153
ikits/learn/ann/doc/srn.html,90
ikits/learn/tests/test_ridge.py,130
ikits/learn/ann/doc/rbf.html,86
ikits/learn/src/cblas/cblas_dscal.c,183
c/Makefile,90
ikits/learn/feature_selection/univariate_selection.py,193
ikits/learn/ann/rbf.py,134
ikits/learn/src/cblas/ATL_dtpsv.c,211
ikits/learn/src/svm.h,109
ikits/learn/benchmarks/bench_balltree.py,81
ikits/learn/src/linear.h,70
tup.py,67
ikits/learn/meanshift.py,113
ikits/learn/src/cblas/cblas_dtpsv.c,83
ikits/learn/benchmarks/bench_plot_balltree.py,58
ikits/learn/metrics.py,157
ikits/learn/logistic.py,107
amples/plot_classification_probability.py,77
ikits/learn/src/cblas/cblas_daxpy.c,159
ikits/learn/src/blas/dnrm2.c,62
ikits/learn/datasets/base.py,111
amples/plot_roc_crossval.py,72
ikits/learn/datasets/samples_generator.py,164
ikits/learn/src/blas/daxpy.c,49
ikits/learn/src/blas/ddot.c,50
ikits/learn/src/cblas/cblas_ddot.c,135
ikits/learn/utils/extmath.py,56
ikits/learn/src/blas/dscal.c,44
amples/plot_roc.py,51
amples/plot_meanshift.py,58
ikits/learn/tests/test_metrics.py,45
ikits/learn/naive_bayes.py,87
amples/plot_feature_selection.py,94
amples/plot_precision_recall.py,48
ikits/learn/src/tron.h,34
ikits/learn/tests/test_neighbors.py,51
amples/glm/plot_lasso_coordinate_descent_path.py,57
ikits/learn/tests/test_logistic.py,33
amples/plot_gmm.py,44
amples/svm/plot_weighted_classes.py,45
amples/glm/lasso_path_with_crossvalidation.py,59
amples/glm/plot_lar.py,49
amples/svm/plot_svm_hyperplane.py,44
ikits/learn/src/cblas/ATL_dreftpsvLTN.c,99
amples/glm/lasso_and_elasticnet.py,49
ikits/learn/src/cblas/ATL_dreftpsvLTU.c,99
amples/svm/plot_custom_kernel.py,55
ikits/learn/src/cblas/ATL_dreftpsvUNN.c,99
ikits/learn/src/cblas/ATL_dreftpsvUNU.c,99
ikits/learn/src/cblas/ATL_dreftpsvLNU.c,98
ikits/learn/neighbors.py,144
ikits/learn/src/cblas/ATL_dreftpsvUTN.c,98
ikits/learn/src/cblas/atlas_enum.h,55
ikits/learn/src/cblas/ATL_dreftpsvUTU.c,98
ikits/learn/src/cblas/cblas_xerbla.c,53
amples/svm/plot_svm.py,46
ikits/learn/src/cblas/ATL_dreftpsvLNN.c,98
amples/plot_gmm_pdf.py,40
c/conf.py,198
amples/plot_confusion_matrix.py,39
amples/plot_digits_classification.py,52
amples/plot_neighbors.py,44
ikits/learn/src/cblas/cblas_errprn.c,50
amples/logistic_l1_l2_coef.py,40
ikits/learn/tests/test_lda.py,36
amples/svm/plot_svm_nonlinear.py,31
amples/svm/plot_svm_oneclass.py,28
ikits/learn/src/blas/Makefile,22
ikits/learn/src/minilearn/minilearn.h,22
amples/glm/plot_ols.py,28
ikits/learn/src/blas/blas.h,25
ikits/learn/tests/test_naive_bayes.py,22
amples/naive_bayes.py,32
amples/lda.py,33
ikits/learn/datasets/setup.py,12
ikits/learn/ann/setup.py,9
ikits/learn/utils/__init__.py,5
ikits/learn/datasets/__init__.py,1
ikits/learn/__init__.py,4
ikits/__init__.py,1
ikits/learn/ann/__init__.py,12
ikits/learn/feature_selection/__init__.py,3
