id,weight
ikits/learn/linear_model/sgd_fast.c,11456
ikits/learn/svm/src/libsvm/_libsvm.c,8192
ikits/learn/svm/src/liblinear/_liblinear.c,7686
ikits/learn/svm/src/libsvm/_libsvm_sparse.c,6747
ikits/learn/linear_model/sgd_fast_sparse.c,7015
ikits/learn/linear_model/cd_fast.c,6693
ikits/learn/linear_model/sparse/src/cd_fast_sparse.c,6123
ikits/learn/cluster/_inertia.c,4839
ikits/learn/utils/arrayfuncs.c,4771
ikits/learn/utils/sparsetools/csgraph_wrap.cxx,4001
ikits/learn/preprocessing/sparse/src/_preprocessing.c,4215
ikits/learn/src/cblas/atlas_reflvl2.h,3187
ikits/learn/svm/src/libsvm/svm.cpp,3085
ikits/learn/svm/src/liblinear/linear.cpp,2298
ikits/learn/src/cblas/atlas_aux.h,942
ikits/learn/src/BallTree.cpp,877
ikits/learn/src/cblas/atlas_reflevel2.h,792
ikits/learn/src/cblas/cblas.h,596
ikits/learn/hmm.py,1060
ikits/learn/tests/test_hmm.py,651
ikits/learn/gaussian_process/gaussian_process.py,869
ikits/learn/src/cblas/atlas_misc.h,477
c/sphinxext/numpy_ext/docscrape.py,498
c/sphinxext/numpy_ext_old/docscrape.py,492
ikits/learn/src/BallTree.h,591
ikits/learn/src/cblas/atlas_reflevel1.h,423
ikits/learn/mixture.py,690
ikits/learn/svm/src/blas/blasp.h,430
ikits/learn/src/cblas/atlas_level2.h,338
ikits/learn/src/cblas/atlas_refmisc.h,370
ikits/learn/svm/src/libsvm/libsvm_helper.c,419
ikits/learn/svm/src/libsvm/libsvm_sparse_helper.c,373
ikits/learn/externals/joblib/memory.py,521
ikits/learn/cross_val.py,646
ikits/learn/externals/joblib/format_stack.py,430
ikits/learn/externals/joblib/test/test_memory.py,418
ikits/learn/svm/src/liblinear/liblinear_helper.c,311
ikits/learn/feature_extraction/text/dense.py,590
amples/applications/svm_gui.py,312
ikits/learn/svm/tests/test_svm.py,408
ikits/learn/svm/base.py,427
ikits/learn/linear_model/tests/test_sgd.py,318
ikits/learn/feature_extraction/tests/test_text.py,299
c/sphinxext/numpy_ext/docscrape_sphinx.py,226
ikits/learn/svm/src/liblinear/tron.cpp,235
ikits/learn/linear_model/least_angle.py,432
ikits/learn/feature_selection/tests/test_feature_select.py,287
ikits/learn/linear_model/sparse/stochastic_gradient.py,462
ikits/learn/tests/test_mixture.py,259
ikits/learn/metrics/metrics.py,599
ikits/learn/tests/test_pca.py,235
amples/applications/plot_species_distribution_modeling.py,271
ikits/learn/fastica.py,359
ikits/learn/externals/joblib/parallel.py,298
ikits/learn/linear_model/bayes.py,420
ikits/learn/pca.py,395
ikits/learn/feature_selection/univariate_selection.py,395
ikits/learn/metrics/tests/test_metrics.py,247
ikits/learn/linear_model/stochastic_gradient.py,393
ikits/learn/grid_search.py,279
ikits/learn/cluster/hierarchical.py,402
ikits/learn/linear_model/base.py,292
ikits/learn/linear_model/coordinate_descent.py,448
ikits/learn/externals/joblib/func_inspect.py,231
ikits/learn/base.py,275
ikits/learn/src/BallTreePoint.h,161
c/themes/scikit-learn/layout.html,157
ikits/learn/cluster/k_means_.py,377
amples/applications/wikipedia_principal_eigenvector.py,227
ikits/learn/svm/sparse/base.py,243
ikits/learn/svm/src/libsvm/svm.h,178
ikits/learn/linear_model/sparse/tests/test_coordinate_descent.py,175
ikits/learn/utils/sparsetools/csgraph.h,148
c/sphinxext/numpy_ext_old/docscrape_sphinx.py,133
c/sphinxext/numpy_ext/numpydoc.py,164
ikits/learn/neighbors.py,397
c/sphinxext/gen_rst.py,186
nchmarks/bench_sgd_covertype.py,195
ikits/learn/src/cblas/cblas_dnrm2.c,206
ikits/learn/linear_model/tests/test_coordinate_descent.py,158
nchmarks/bench_svm.py,164
amples/document_classification_20newsgroups.py,172
ikits/learn/datasets/samples_generator.py,348
amples/plot_lda_qda.py,135
c/make.bat,113
ikits/learn/svm/tests/test_sparse.py,156
ikits/learn/pipeline.py,201
ikits/learn/preprocessing/tests/test_preprocessing.py,125
ikits/learn/lda.py,243
ikits/learn/utils/sparsetools/complex_ops.h,98
ikits/learn/gaussian_process/correlation_models.py,285
ikits/learn/utils/graph.py,149
nchmarks/bench_plot_lasso_path.py,116
ikits/learn/cluster/affinity_propagation_.py,234
ikits/learn/externals/joblib/test/test_numpy_pickle.py,141
ikits/learn/tests/test_fastica.py,146
ikits/learn/qda.py,220
amples/applications/stock_market.py,104
ikits/learn/utils/extmath.py,198
ikits/learn/externals/joblib/test/test_hashing.py,145
c/Makefile,97
amples/applications/plot_face_recognition.py,171
nchmarks/bench_glmnet.py,117
ikits/learn/src/cblas/atlas_refalias2.h,85
ikits/learn/utils/fixes.py,125
ikits/learn/externals/joblib/test/test_parallel.py,121
ikits/learn/utils/tests/test_svd.py,147
ikits/learn/pls.py,97
ikits/learn/preprocessing/__init__.py,129
ikits/learn/externals/joblib/logger.py,138
ikits/learn/src/cblas/cblas_dscal.c,183
ikits/learn/externals/joblib/numpy_pickle.py,151
ikits/learn/src/cblas/atlas_level1.h,129
ikits/learn/datasets/base.py,210
amples/mlcomp_sparse_document_classification.py,122
c/sphinxext/numpy_ext_old/numpydoc.py,111
ikits/learn/src/cblas/ATL_sreftrsv.c,213
ikits/learn/tests/test_cross_val.py,100
ikits/learn/src/cblas/ATL_dreftrsv.c,213
ikits/learn/tests/test_neighbors.py,113
nchmarks/bench_lasso.py,95
ikits/learn/cluster/mean_shift_.py,205
ikits/learn/cluster/spectral.py,200
amples/gaussian_process/plot_gp_probabilistic_classification_after_regression.py,112
ikits/learn/tests/test_base.py,111
amples/grid_search_text_feature_extraction.py,140
amples/cluster/plot_feature_agglomeration_vs_univariate_selection.py,98
ikits/learn/tests/test_grid_search.py,92
amples/mixture/plot_gmm_classifier.py,115
ikits/learn/tests/test_pipeline.py,99
ikits/learn/linear_model/tests/test_least_angle.py,105
ikits/learn/utils/sparsetools/csgraph.py,74
ikits/learn/externals/joblib/test/test_func_inspect.py,101
ikits/learn/svm/src/liblinear/linear.h,73
nchmarks/bench_plot_svd.py,77
amples/plot_lda_vs_qda.py,81
ikits/learn/svm/setup.py,84
nchmarks/bench_balltree.py,78
ikits/learn/src/cblas/cblas_dtrsv.c,87
ikits/learn/src/cblas/cblas_strsv.c,87
ikits/learn/feature_extraction/image.py,106
ikits/learn/src/cblas/ATL_drefrot.c,170
ikits/learn/feature_selection/rfe.py,201
ikits/learn/src/cblas/ATL_srefrot.c,170
ikits/learn/datasets/mlcomp.py,105
ikits/learn/utils/src/cholesky_delete.c,81
ikits/learn/src/cblas/atlas_refalias1.h,59
ikits/learn/feature_extraction/text/sparse.py,119
ikits/learn/linear_model/sparse/coordinate_descent.py,133
ikits/learn/cluster/tests/test_hierarchical.py,82
tup.py,61
ikits/learn/externals/joblib/hashing.py,115
ikits/learn/setup.py,63
amples/plot_ica_vs_pca.py,101
amples/linear_model/plot_sgd_iris.py,82
ikits/learn/naive_bayes.py,110
ikits/learn/src/cblas/ATL_srefcopy.c,148
ikits/learn/src/cblas/ATL_drefcopy.c,148
ikits/learn/gaussian_process/tests/test_gaussian_process.py,84
ikits/learn/covariance/covariance.py,140
nchmarks/bench_plot_balltree.py,61
ikits/learn/externals/joblib/my_exceptions.py,85
amples/plot_classification_probability.py,75
amples/cluster/plot_segmentation_toy.py,102
ikits/learn/src/cblas/cblas_daxpy.c,159
ikits/learn/svm/libsvm.py,476
ikits/learn/svm/src/blas/dnrm2.c,62
ikits/learn/linear_model/sparse/tests/test_logistic.py,71
ikits/learn/linear_model/tests/test_logistic.py,66
amples/linear_model/lasso_dense_vs_sparse_data.py,70
amples/linear_model/plot_ard.py,69
ikits/learn/svm/sparse/libsvm.py,121
amples/linear_model/plot_bayesian_ridge.py,65
ikits/learn/linear_model/tests/test_ridge.py,70
amples/plot_train_error_vs_test_error.py,74
ikits/learn/svm/src/blas/ddot.c,50
ikits/learn/svm/src/blas/daxpy.c,49
ikits/learn/linear_model/setup.py,47
amples/plot_roc_crossval.py,67
ikits/learn/preprocessing/sparse/__init__.py,65
amples/cluster/plot_affinity_propagation.py,74
ikits/learn/cluster/tests/test_spectral.py,55
ikits/learn/cluster/tests/test_k_means.py,54
ikits/learn/src/cblas/cblas_ddot.c,135
nchmarks/bench_glm.py,58
amples/linear_model/plot_sgd_weighted_classes.py,58
amples/grid_search_digits.py,67
amples/cluster/kmeans_digits.py,59
c/conf.py,213
