id,weight
ikits/learn/linear_model/sgd_fast.c,11918
ikits/learn/svm/libsvm.c,11037
ikits/learn/svm/liblinear.c,8646
ikits/learn/svm/sparse/libsvm.c,7588
ikits/learn/tree/_tree.c,8097
ikits/learn/utils/graph_shortest_path.c,8295
ikits/learn/svm/src/libsvm/_libsvm_sparse.c,6747
ikits/learn/src/ball_tree.cpp,7120
ikits/learn/linear_model/sgd_fast_sparse.c,7452
ikits/learn/cluster/_k_means.c,6846
ikits/learn/linear_model/cd_fast.c,6692
ikits/learn/linear_model/sparse/src/cd_fast_sparse.c,6123
ikits/learn/preprocessing/src/_preprocessing.c,5302
ikits/learn/cluster/_inertia.c,4836
ikits/learn/utils/arrayfuncs.c,4771
ikits/learn/utils/sparsetools/csgraph_wrap.cxx,4039
ikits/learn/src/cblas/atlas_reflvl2.h,3187
ikits/learn/svm/src/libsvm/svm.cpp,3085
ikits/learn/svm/src/liblinear/linear.cpp,2338
ikits/learn/utils/arpack.py,1595
ikits/learn/src/cblas/atlas_aux.h,942
ikits/learn/src/cblas/atlas_reflevel2.h,792
ikits/learn/src/cblas/cblas.h,596
ikits/learn/hmm.py,1069
ikits/learn/tests/test_hmm.py,661
ikits/learn/mixture/dpgmm.py,806
ikits/learn/gaussian_process/gaussian_process.py,836
ikits/learn/src/cblas/atlas_misc.h,477
c/sphinxext/numpy_ext/docscrape.py,498
ikits/learn/src/BallTree.h,629
c/sphinxext/numpy_ext_old/docscrape.py,492
ikits/learn/linear_model/least_angle.py,980
ikits/learn/cross_val.py,878
ikits/learn/src/cblas/atlas_reflevel1.h,423
ikits/learn/svm/src/libsvm/libsvm_sparse_helper.c,434
ikits/learn/mixture/gmm.py,729
ikits/learn/utils/sparsetools/npy_3kcompat.h,402
ikits/learn/svm/src/liblinear/liblinear_helper.c,390
ikits/learn/externals/joblib/memory.py,596
ikits/learn/decomposition/sparse_pca.py,754
ikits/learn/svm/src/blas/blasp.h,430
ikits/learn/src/cblas/atlas_level2.h,338
ikits/learn/cluster/k_means_.py,752
ikits/learn/linear_model/tests/test_sgd.py,450
ikits/learn/linear_model/base.py,521
ikits/learn/svm/src/libsvm/libsvm_helper.c,422
ikits/learn/src/cblas/atlas_refmisc.h,370
ikits/learn/tree/tree.py,511
ikits/learn/svm/tests/test_svm.py,448
ikits/learn/externals/joblib/format_stack.py,430
ikits/learn/externals/joblib/test/test_memory.py,418
ikits/learn/feature_extraction/text.py,579
ikits/learn/preprocessing/tests/test_preprocessing.py,340
ikits/learn/svm/base.py,487
ikits/learn/pls.py,808
ikits/learn/datasets/samples_generator.py,917
ikits/learn/linear_model/omp.py,556
amples/applications/svm_gui.py,303
ikits/learn/decomposition/tests/test_pca.py,336
ikits/learn/externals/joblib/parallel.py,440
ikits/learn/feature_extraction/tests/test_text.py,323
ikits/learn/datasets/_svmlight_format.cpp,338
ikits/learn/manifold/locally_linear.py,518
ikits/learn/decomposition/nmf.py,495
ikits/learn/feature_selection/tests/test_feature_select.py,322
ikits/learn/metrics/metrics.py,700
ikits/learn/datasets/lfw.py,438
c/sphinxext/numpy_ext/docscrape_sphinx.py,230
ikits/learn/svm/src/liblinear/tron.cpp,235
ikits/learn/linear_model/ridge.py,551
ikits/learn/preprocessing/__init__.py,612
ikits/learn/metrics/tests/test_metrics.py,309
ikits/learn/mixture/tests/test_gmm.py,262
ikits/learn/linear_model/tests/test_ridge.py,254
ikits/learn/tests/test_neighbors.py,261
ikits/learn/base.py,345
ikits/learn/grid_search.py,340
ikits/learn/feature_selection/univariate_selection.py,451
ikits/learn/decomposition/pca.py,511
ikits/learn/feature_extraction/image.py,380
ikits/learn/decomposition/fastica_.py,378
ikits/learn/cluster/tests/test_k_means.py,227
ikits/learn/svm/sparse/base.py,317
ikits/learn/feature_extraction/tests/test_image.py,210
ikits/learn/linear_model/coordinate_descent.py,556
ikits/learn/linear_model/bayes.py,419
ikits/learn/neighbors.py,534
ikits/learn/utils/__init__.py,386
c/themes/scikit-learn/layout.html,179
amples/applications/plot_species_distribution_modeling.py,288
ikits/learn/datasets/base.py,349
c/sphinxext/gen_rst.py,252
amples/document_classification_20newsgroups.py,209
ikits/learn/externals/joblib/func_inspect.py,230
nchmarks/bench_plot_nmf.py,162
ikits/learn/covariance/tests/test_covariance.py,206
ikits/learn/cluster/hierarchical.py,381
ikits/learn/linear_model/sparse/stochastic_gradient.py,407
ikits/learn/linear_model/tests/test_least_angle.py,207
ikits/learn/externals/joblib/test/test_parallel.py,193
ikits/learn/naive_bayes.py,502
amples/applications/wikipedia_principal_eigenvector.py,227
ikits/learn/decomposition/tests/test_sparse_pca.py,158
ikits/learn/tests/test_pls.py,163
ikits/learn/svm/tests/test_sparse.py,202
ikits/learn/linear_model/tests/test_coordinate_descent.py,182
ikits/learn/linear_model/sparse/tests/test_coordinate_descent.py,178
ikits/learn/svm/src/libsvm/svm.h,178
ikits/learn/datasets/tests/test_lfw.py,185
ikits/learn/utils/sparsetools/csgraph.h,148
c/sphinxext/numpy_ext_old/docscrape_sphinx.py,133
c/sphinxext/numpy_ext/numpydoc.py,164
nchmarks/bench_plot_fastkmeans.py,141
ikits/learn/externals/joblib/test/test_hashing.py,197
amples/manifold/plot_lle_digits.py,170
ikits/learn/datasets/tests/test_samples_generator.py,151
ikits/learn/datasets/tests/test_mldata.py,145
ikits/learn/utils/fixes.py,164
ikits/learn/decomposition/kernel_pca.py,256
nchmarks/bench_sgd_covertype.py,195
ikits/learn/src/cblas/cblas_dnrm2.c,206
ikits/learn/tree/tests/test_tree.py,192
nchmarks/bench_sgd_regression.py,130
ikits/learn/lda.py,267
nchmarks/bench_svm.py,161
ikits/learn/datasets/twenty_newsgroups.py,197
amples/plot_lda_qda.py,135
c/make.bat,113
ikits/learn/linear_model/tests/test_omp.py,130
nchmarks/bench_plot_omp_lars.py,121
ikits/learn/tests/test_pipeline.py,142
ikits/learn/metrics/pairwise.py,301
ikits/learn/utils/extmath.py,223
ikits/learn/linear_model/stochastic_gradient.py,331
ikits/learn/utils/sparsetools/complex_ops.h,98
ikits/learn/gaussian_process/correlation_models.py,285
ikits/learn/utils/graph.py,149
ikits/learn/externals/joblib/test/test_func_inspect.py,144
nchmarks/bench_plot_lasso_path.py,115
ikits/learn/decomposition/tests/test_fastica.py,148
ikits/learn/cluster/affinity_propagation_.py,234
ikits/learn/externals/joblib/test/test_numpy_pickle.py,141
nchmarks/bench_glmnet.py,129
ikits/learn/tests/test_cross_val.py,122
nchmarks/bench_tree.py,126
amples/applications/stock_market.py,104
ikits/learn/externals/joblib/logger.py,150
ikits/learn/qda.py,217
c/Makefile,102
amples/mlcomp_sparse_document_classification.py,142
amples/plot_pls.py,138
tup.py,99
ikits/learn/manifold/tests/test_isomap.py,122
ikits/learn/pipeline.py,185
ikits/learn/decomposition/tests/test_kernel_pca.py,114
amples/applications/face_recognition.py,164
ikits/learn/src/cblas/atlas_refalias2.h,85
ikits/learn/externals/joblib/numpy_pickle.py,156
ikits/learn/cluster/spectral.py,286
ikits/learn/utils/tests/test_svd.py,147
amples/linear_model/plot_lasso_model_selection.py,154
ikits/learn/cluster/tests/test_hierarchical.py,118
ikits/learn/src/cblas/cblas_dscal.c,183
ikits/learn/src/cblas/atlas_level1.h,129
ikits/learn/decomposition/tests/test_nmf.py,126
ikits/learn/covariance/shrunk_covariance_.py,401
c/sphinxext/numpy_ext_old/numpydoc.py,111
ikits/learn/datasets/mldata.py,190
amples/decomposition/plot_faces_decomposition.py,117
ikits/learn/src/cblas/ATL_sreftrsv.c,213
ikits/learn/src/cblas/ATL_dreftrsv.c,213
nchmarks/bench_lasso.py,95
ikits/learn/tests/test_grid_search.py,103
ikits/learn/cluster/mean_shift_.py,204
ikits/learn/metrics/tests/test_pairwise.py,85
ikits/learn/manifold/tests/test_locally_linear.py,89
amples/cluster/plot_feature_agglomeration_vs_univariate_selection.py,101
amples/cluster/plot_mini_batch_kmeans.py,110
amples/gaussian_process/plot_gp_probabilistic_classification_after_regression.py,112
ikits/learn/tests/test_base.py,111
amples/mixture/plot_gmm_classifier.py,115
ikits/learn/tests/test_naive_bayes.py,131
ikits/learn/metrics/tests/test_cluster.py,78
amples/decomposition/plot_kernel_pca.py,90
ikits/learn/utils/sparsetools/csgraph.py,74
ikits/learn/svm/setup.py,84
ikits/learn/svm/src/liblinear/linear.h,73
nchmarks/bench_plot_svd.py,77
amples/plot_lda_vs_qda.py,81
ikits/learn/covariance/empirical_covariance_.py,214
nchmarks/bench_balltree.py,78
ikits/learn/svm/tests/test_bounds.py,73
ikits/learn/src/cblas/cblas_dtrsv.c,87
amples/document_clustering.py,97
ikits/learn/src/cblas/cblas_strsv.c,87
ikits/learn/externals/joblib/my_exceptions.py,94
ikits/learn/linear_model/tests/test_logistic.py,88
ikits/learn/cluster/dbscan_.py,195
ikits/learn/linear_model/sparse/coordinate_descent.py,141
ikits/learn/manifold/isomap.py,189
ikits/learn/setup.py,65
ikits/learn/src/cblas/ATL_drefrot.c,170
ikits/learn/feature_selection/rfe.py,201
ikits/learn/src/cblas/ATL_srefrot.c,170
