id,weight
learn/linear_model/sgd_fast.c,12209
learn/svm/libsvm.c,10886
learn/tree/_tree.c,11755
learn/neighbors/ball_tree.c,13550
learn/svm/liblinear.c,9619
learn/svm/libsvm_sparse.c,8010
learn/cluster/_k_means.c,7936
learn/utils/graph_shortest_path.c,8595
learn/_hmmc.c,7167
learn/linear_model/cd_fast.c,7631
learn/svm/src/libsvm/_libsvm_sparse.c,6747
learn/utils/murmurhash.c,6841
learn/utils/seq_dataset.c,6957
learn/linear_model/sparse/src/cd_fast_sparse.c,6597
learn/utils/sparsefuncs.c,6529
learn/cluster/_hierarchical.c,5879
learn/ensemble/_gradient_boosting.c,5760
learn/utils/weight_vector.c,5766
learn/datasets/_svmlight_format.c,5670
learn/utils/arrayfuncs.c,5316
learn/utils/arraybuilder.c,5145
learn/utils/sparsetools/csgraph_wrap.cxx,4039
learn/src/cblas/atlas_reflvl2.h,3187
learn/svm/src/libsvm/svm.cpp,3086
learn/svm/src/liblinear/linear.cpp,2348
learn/check_build/_check_build.c,1208
learn/utils/arpack.py,1598
learn/src/cblas/atlas_aux.h,942
learn/src/cblas/atlas_reflevel2.h,792
learn/cross_validation.py,1310
learn/hmm.py,1094
learn/src/cblas/cblas.h,596
learn/svm/base.py,863
learn/cluster/k_means_.py,1190
learn/tests/test_hmm.py,655
learn/linear_model/tests/test_sgd.py,644
learn/gaussian_process/gaussian_process.py,857
learn/mixture/dpgmm.py,744
learn/svm/tests/test_svm.py,676
learn/decomposition/dict_learning.py,1159
learn/tree/tree.py,933
c/sphinxext/numpy_ext/docscrape.py,507
learn/src/cblas/atlas_misc.h,477
learn/feature_extraction/tests/test_text.py,564
c/sphinxext/numpy_ext_old/docscrape.py,498
learn/linear_model/least_angle.py,1042
learn/ensemble/forest.py,993
learn/mixture/gmm.py,758
learn/ensemble/gradient_boosting.py,858
learn/tests/test_preprocessing.py,469
learn/datasets/samples_generator.py,1197
learn/feature_extraction/text.py,759
learn/svm/src/liblinear/liblinear_helper.c,408
learn/src/cblas/atlas_reflevel1.h,423
learn/svm/src/libsvm/libsvm_sparse_helper.c,436
learn/utils/sparsetools/npy_3kcompat.h,402
learn/cluster/tests/test_k_means.py,465
learn/neighbors/tests/test_neighbors.py,410
learn/externals/joblib/memory.py,557
learn/neighbors/base.py,583
learn/linear_model/stochastic_gradient.py,758
learn/src/cblas/atlas_level2.h,338
learn/svm/src/blas/blasp.h,430
learn/preprocessing.py,764
learn/metrics/metrics.py,961
learn/svm/src/libsvm/libsvm_helper.c,422
learn/linear_model/ridge.py,766
learn/src/cblas/atlas_refmisc.h,370
learn/manifold/locally_linear.py,652
learn/covariance/graph_lasso_.py,537
learn/externals/joblib/format_stack.py,437
learn/tests/test_cross_validation.py,359
learn/externals/joblib/test/test_memory.py,440
amples/applications/svm_gui.py,331
learn/covariance/robust_covariance.py,605
learn/grid_search.py,488
learn/pls.py,837
learn/linear_model/randomized_l1.py,593
learn/tree/tests/test_tree.py,353
learn/decomposition/tests/test_pca.py,346
learn/metrics/tests/test_metrics.py,378
learn/externals/joblib/parallel.py,494
learn/linear_model/coordinate_descent.py,815
c/themes/scikit-learn/layout.html,268
learn/linear_model/omp.py,564
learn/linear_model/tests/test_ridge.py,349
learn/mixture/tests/test_gmm.py,321
learn/decomposition/nmf.py,540
learn/ensemble/tests/test_forest.py,304
learn/feature_selection/tests/test_feature_select.py,341
learn/externals/joblib/numpy_pickle.py,422
learn/utils/src/MurmurHash3.cpp,346
learn/ensemble/tests/test_gradient_boosting.py,317
c/sphinxext/numpy_ext/docscrape_sphinx.py,240
learn/metrics/pairwise.py,657
learn/datasets/lfw.py,435
learn/svm/src/liblinear/tron.cpp,236
learn/metrics/tests/test_pairwise.py,268
c/sphinxext/gen_rst.py,374
learn/base.py,383
learn/linear_model/base.py,342
learn/linear_model/tests/test_coordinate_descent.py,271
learn/feature_selection/univariate_selection.py,473
learn/datasets/base.py,505
amples/document_classification_20newsgroups.py,264
learn/decomposition/pca.py,527
learn/decomposition/fastica_.py,388
learn/cluster/hierarchical.py,396
learn/externals/joblib/test/test_parallel.py,242
learn/feature_extraction/image.py,382
learn/linear_model/bayes.py,430
learn/feature_extraction/tests/test_image.py,212
learn/svm/tests/test_sparse.py,244
learn/metrics/cluster/supervised.py,688
learn/tests/test_multiclass.py,204
learn/datasets/twenty_newsgroups.py,282
learn/naive_bayes.py,453
learn/covariance/tests/test_covariance.py,218
learn/linear_model/tests/test_least_angle.py,229
amples/applications/plot_stock_market.py,259
nchmarks/bench_plot_neighbors.py,185
learn/externals/joblib/func_inspect.py,239
learn/multiclass.py,451
learn/externals/joblib/test/test_numpy_pickle.py,212
nchmarks/bench_covertype.py,243
nchmarks/bench_plot_nmf.py,162
learn/tests/test_grid_search.py,213
learn/semi_supervised/label_propagation.py,388
learn/datasets/tests/test_samples_generator.py,173
learn/utils/fixes.py,192
amples/applications/wikipedia_principal_eigenvector.py,226
learn/linear_model/sparse/tests/test_coordinate_descent.py,179
