id,weight
learn/linear_model/sgd_fast.c,12939
learn/tree/_tree.c,12943
learn/svm/libsvm.c,10886
learn/neighbors/ball_tree.c,13550
learn/svm/liblinear.c,9619
learn/linear_model/cd_fast.c,10033
learn/svm/libsvm_sparse.c,8010
learn/cluster/_k_means.c,7936
learn/utils/sparsefuncs.c,7542
learn/utils/graph_shortest_path.c,8595
learn/_hmmc.c,7167
learn/svm/src/libsvm/_libsvm_sparse.c,6747
learn/utils/murmurhash.c,6841
learn/utils/seq_dataset.c,6957
learn/ensemble/_gradient_boosting.c,6277
learn/cluster/_hierarchical.c,5879
learn/utils/weight_vector.c,5766
learn/datasets/_svmlight_format.c,5670
learn/utils/arrayfuncs.c,5316
learn/utils/arraybuilder.c,5145
learn/utils/sparsetools/csgraph_wrap.cxx,4039
learn/src/cblas/atlas_reflvl2.h,3187
learn/svm/src/libsvm/svm.cpp,3086
learn/svm/src/liblinear/linear.cpp,2861
learn/__check_build/_check_build.c,1208
learn/utils/arpack.py,1606
learn/src/cblas/atlas_aux.h,942
learn/src/cblas/atlas_reflevel2.h,792
learn/hmm.py,1181
learn/cross_validation.py,1312
learn/src/cblas/cblas.h,596
learn/cluster/k_means_.py,1223
learn/tests/test_hmm.py,661
learn/svm/base.py,771
learn/linear_model/tests/test_sgd.py,687
learn/gaussian_process/gaussian_process.py,897
learn/decomposition/dict_learning.py,1168
learn/mixture/dpgmm.py,744
learn/tree/tree.py,931
c/sphinxext/numpy_ext/docscrape.py,507
learn/src/cblas/atlas_misc.h,477
learn/feature_extraction/tests/test_text.py,570
learn/neighbors/tests/test_neighbors.py,540
c/sphinxext/numpy_ext_old/docscrape.py,498
learn/svm/tests/test_svm.py,625
learn/tests/test_preprocessing.py,518
learn/linear_model/least_angle.py,1046
learn/ensemble/forest.py,1015
learn/mixture/gmm.py,759
learn/ensemble/gradient_boosting.py,861
learn/datasets/samples_generator.py,1205
learn/cluster/tests/test_k_means.py,506
learn/feature_extraction/text.py,759
learn/svm/src/liblinear/liblinear_helper.c,409
learn/src/cblas/atlas_reflevel1.h,423
learn/svm/src/libsvm/libsvm_sparse_helper.c,436
learn/utils/sparsetools/npy_3kcompat.h,402
learn/preprocessing.py,879
learn/linear_model/stochastic_gradient.py,788
learn/externals/joblib/memory.py,574
learn/linear_model/coordinate_descent.py,928
learn/src/cblas/atlas_level2.h,338
learn/manifold/locally_linear.py,691
learn/svm/src/blas/blasp.h,430
learn/neighbors/base.py,584
learn/linear_model/ridge.py,778
learn/metrics/metrics.py,972
learn/svm/src/libsvm/libsvm_helper.c,422
learn/src/cblas/atlas_refmisc.h,370
learn/covariance/graph_lasso_.py,537
learn/tests/test_cross_validation.py,360
learn/externals/joblib/format_stack.py,437
learn/externals/joblib/test/test_memory.py,442
amples/applications/svm_gui.py,331
learn/covariance/robust_covariance.py,605
learn/grid_search.py,489
learn/pls.py,843
learn/linear_model/omp.py,574
learn/linear_model/randomized_l1.py,593
learn/tree/tests/test_tree.py,353
learn/decomposition/tests/test_pca.py,348
learn/mixture/tests/test_gmm.py,331
learn/metrics/tests/test_metrics.py,378
learn/externals/joblib/parallel.py,494
c/themes/scikit-learn/layout.html,266
learn/linear_model/tests/test_ridge.py,347
learn/decomposition/nmf.py,540
learn/feature_selection/tests/test_feature_select.py,362
learn/linear_model/base.py,382
learn/ensemble/tests/test_forest.py,307
learn/externals/joblib/numpy_pickle.py,422
learn/ensemble/tests/test_gradient_boosting.py,318
learn/utils/src/MurmurHash3.cpp,346
c/sphinxext/numpy_ext/docscrape_sphinx.py,240
learn/datasets/lfw.py,435
learn/metrics/pairwise.py,654
learn/svm/src/liblinear/tron.cpp,235
learn/metrics/tests/test_pairwise.py,266
learn/base.py,389
c/sphinxext/gen_rst.py,374
learn/linear_model/tests/test_coordinate_descent.py,273
learn/tests/test_pls.py,237
learn/feature_selection/univariate_selection.py,483
learn/datasets/base.py,505
amples/document_classification_20newsgroups.py,264
learn/decomposition/pca.py,532
learn/decomposition/fastica_.py,395
learn/metrics/cluster/supervised.py,785
learn/manifold/mds.py,456
learn/feature_extraction/image.py,387
learn/feature_extraction/tests/test_image.py,219
learn/externals/joblib/test/test_parallel.py,242
learn/linear_model/bayes.py,431
learn/externals/joblib/test/test_numpy_pickle.py,238
learn/cluster/hierarchical.py,395
learn/tests/test_multiclass.py,206
learn/linear_model/tests/test_sparse_coordinate_descent.py,221
learn/naive_bayes.py,455
learn/datasets/twenty_newsgroups.py,282
learn/covariance/tests/test_covariance.py,218
learn/linear_model/tests/test_least_angle.py,230
amples/applications/plot_stock_market.py,259
nchmarks/bench_plot_neighbors.py,185
learn/externals/joblib/func_inspect.py,239
learn/multiclass.py,452
learn/linear_model/tests/test_omp.py,186
learn/datasets/tests/test_samples_generator.py,188
nchmarks/bench_covertype.py,243
learn/svm/tests/test_sparse.py,218
nchmarks/bench_plot_nmf.py,162
learn/semi_supervised/label_propagation.py,391
learn/tests/test_grid_search.py,213
learn/utils/fixes.py,192
learn/metrics/cluster/tests/test_supervised.py,169
amples/applications/wikipedia_principal_eigenvector.py,226
learn/decomposition/tests/test_sparse_pca.py,160
learn/datasets/tests/test_svmlight_format.py,176
c/sphinxext/numpy_ext_old/docscrape_sphinx.py,143
amples/manifold/plot_lle_digits.py,182
learn/svm/src/libsvm/svm.h,178
c/sphinxext/numpy_ext/numpydoc.py,177
learn/tests/test_common.py,167
learn/datasets/tests/test_mldata.py,158
learn/utils/sparsetools/csgraph.h,148
learn/datasets/tests/test_lfw.py,180
learn/externals/joblib/test/test_hashing.py,199
learn/kernel_approximation.py,304
nchmarks/bench_plot_fastkmeans.py,139
learn/decomposition/tests/test_fastica.py,174
learn/tests/test_pipeline.py,176
learn/utils/extmath.py,307
c/themes/scikit-learn/static/sidebar.js,151
learn/decomposition/tests/test_dict_learning.py,144
amples/applications/plot_species_distribution_modeling.py,210
learn/tests/test_naive_bayes.py,174
learn/src/cblas/cblas_dnrm2.c,206
learn/externals/joblib/test/test_func_inspect.py,171
nchmarks/bench_sgd_regression.py,130
learn/lda.py,280
learn/feature_extraction/dict_vectorizer.py,257
amples/plot_lda_qda.py,141
c/make.bat,113
amples/decomposition/plot_image_denoising.py,160
learn/feature_selection/rfe.py,352
learn/utils/validation.py,192
learn/utils/__init__.py,313
learn/decomposition/kernel_pca.py,244
learn/cluster/tests/test_hierarchical.py,156
nchmarks/bench_plot_omp_lars.py,121
learn/decomposition/tests/test_kernel_pca.py,145
learn/cluster/mean_shift_.py,279
learn/gaussian_process/correlation_models.py,285
learn/utils/sparsetools/complex_ops.h,98
c/Makefile,109
learn/covariance/shrunk_covariance_.py,416
nchmarks/bench_plot_lasso_path.py,115
learn/cluster/spectral.py,319
learn/pipeline.py,194
learn/neighbors/classification.py,322
learn/utils/testing.py,149
learn/manifold/tests/test_locally_linear.py,119
nchmarks/bench_glmnet.py,128
learn/cluster/affinity_propagation_.py,243
learn/datasets/species_distributions.py,253
learn/utils/graph.py,144
learn/decomposition/tests/test_nmf.py,143
learn/externals/joblib/logger.py,152
nchmarks/bench_tree.py,124
learn/qda.py,217
amples/plot_pls.py,139
learn/decomposition/sparse_pca.py,263
tup.py,101
amples/plot_kernel_approximation.py,175
amples/mlcomp_sparse_document_classification.py,143
learn/tests/test_base.py,137
learn/utils/tests/test_svd.py,151
amples/linear_model/plot_sparse_recovery.py,167
amples/decomposition/plot_faces_decomposition.py,125
learn/src/cblas/atlas_refalias2.h,85
learn/linear_model/tests/test_base.py,110
amples/svm/plot_rbf_parameters.py,125
amples/linear_model/plot_lasso_model_selection.py,155
learn/manifold/tests/test_isomap.py,118
c/sphinxext/numpy_ext_old/numpydoc.py,123
amples/applications/face_recognition.py,158
amples/applications/plot_tomography_l1_reconstruction.py,151
amples/cluster/plot_mini_batch_kmeans.py,120
learn/covariance/empirical_covariance_.py,258
learn/src/cblas/cblas_dscal.c,183
learn/src/cblas/atlas_level1.h,129
amples/covariance/plot_robust_vs_empirical_covariance.py,135
amples/cluster/plot_kmeans_digits.py,128
learn/datasets/mldata.py,191
learn/externals/joblib/hashing.py,154
amples/cluster/plot_adjusted_for_chance_measures.py,123
nchmarks/bench_lasso.py,97
learn/neighbors/tests/test_nearest_centroid.py,103
learn/src/cblas/ATL_dreftrsv.c,213
amples/cluster/plot_feature_agglomeration_vs_univariate_selection.py,108
learn/src/cblas/ATL_sreftrsv.c,213
amples/covariance/plot_mahalanobis_distances.py,141
amples/cluster/plot_cluster_comparison.py,116
learn/manifold/isomap.py,213
learn/utils/sparsetools/csgraph.py,85
amples/cluster/plot_kmeans_stability_low_dim_dense.py,119
amples/applications/plot_outlier_detection_housing.py,126
learn/neighbors/tests/test_ball_tree.py,107
amples/document_clustering.py,112
learn/linear_model/tests/test_logistic.py,107
amples/mixture/plot_gmm_selection.py,97
learn/setup.py,79
learn/feature_extraction/tests/test_dict_vectorizer.py,92
amples/gaussian_process/plot_gp_probabilistic_classification_after_regression.py,112
amples/covariance/plot_sparse_cov.py,135
amples/plot_multilabel.py,113
amples/decomposition/plot_sparse_coding.py,98
learn/datasets/svmlight_format.py,234
amples/mixture/plot_gmm_classifier.py,117
nchmarks/bench_plot_svd.py,81
learn/utils/tests/test_shortest_path.py,99
amples/manifold/plot_compare_methods.py,96
learn/linear_model/tests/test_randomized_l1.py,88
amples/linear_model/plot_lasso_coordinate_descent_path.py,94
learn/svm/setup.py,86
learn/tests/test_kernel_approximation.py,103
amples/cluster/plot_color_quantization.py,104
learn/externals/joblib/disk.py,107
learn/svm/src/liblinear/linear.h,74
amples/covariance/plot_outlier_detection.py,99
amples/gaussian_process/plot_gp_regression.py,127
learn/src/cblas/cblas_strsv.c,87
learn/utils/tests/test_utils.py,89
amples/semi_supervised/plot_label_propagation_digits_active_learning.py,99
learn/src/cblas/cblas_dtrsv.c,87
learn/utils/tests/test_murmurhash.py,79
amples/cluster/plot_cluster_iris.py,93
amples/ensemble/plot_forest_iris.py,94
learn/externals/joblib/my_exceptions.py,94
learn/cluster/dbscan_.py,187
amples/plot_hmm_stock_analysis.py,96
learn/neighbors/nearest_centroid.py,157
learn/utils/setup.py,70
learn/svm/tests/test_bounds.py,69
learn/src/cblas/ATL_drefrot.c,170
learn/gaussian_process/tests/test_gaussian_process.py,93
learn/src/cblas/ATL_srefrot.c,170
learn/mixture/tests/test_dpgmm.py,83
learn/manifold/tests/test_mds.py,71
learn/utils/src/cholesky_delete.c,81
amples/svm/plot_svm_kernels.py,85
learn/neighbors/regression.py,254
learn/datasets/mlcomp.py,102
learn/src/cblas/atlas_refalias1.h,59
learn/cluster/tests/test_dbscan.py,92
amples/decomposition/plot_pca_3d.py,85
amples/grid_search_text_feature_extraction.py,126
amples/manifold/plot_mds.py,83
learn/feature_selection/selector_mixin.py,95
c/conf.py,232
learn/svm/sparse/classes.py,177
amples/mixture/plot_gmm_sin.py,82
amples/cluster/plot_dbscan.py,78
amples/covariance/plot_lw_vs_oas.py,82
learn/covariance/outlier_detection.py,188
learn/cluster/tests/test_spectral.py,62
learn/src/cblas/ATL_srefcopy.c,148
learn/src/cblas/ATL_drefcopy.c,148
learn/linear_model/tests/test_perceptron.py,63
amples/decomposition/plot_ica_vs_pca.py,101
learn/covariance/tests/test_robust_covariance.py,85
learn/datasets/__init__.py,56
amples/plot_classification_probability.py,77
amples/linear_model/plot_sgd_iris.py,80
learn/svm/classes.py,691
amples/semi_supervised/plot_label_propagation_digits.py,91
learn/utils/tests/test_validation.py,79
amples/decomposition/plot_kernel_pca.py,73
amples/cluster/plot_lena_compress.py,79
amples/grid_search_digits.py,79
amples/covariance/plot_covariance_estimation.py,100
learn/src/cblas/cblas_daxpy.c,159
learn/svm/src/blas/dnrm2.c,62
learn/datasets/tests/test_20news.py,63
learn/datasets/olivetti_faces.py,112
amples/ensemble/plot_gradient_boosting_regression.py,75
amples/linear_model/plot_ard.py,80
learn/feature_extraction/stop_words.py,45
amples/svm/plot_svm_margin.py,87
amples/linear_model/plot_bayesian_ridge.py,76
amples/plot_train_error_vs_test_error.py,75
amples/tree/plot_iris.py,76
amples/cluster/plot_affinity_propagation.py,69
amples/svm/plot_oneclass.py,61
learn/covariance/tests/test_graph_lasso.py,58
amples/semi_supervised/plot_label_propagation_versus_svm_iris.py,79
amples/decomposition/plot_pca_iris.py,66
learn/semi_supervised/tests/test_label_propagation.py,54
amples/cluster/plot_ward_structured_vs_unstructured.py,86
amples/linear_model/plot_ols_3d.py,74
amples/exercises/plot_iris_exercise.py,65
learn/svm/src/blas/ddot.c,50
amples/cluster/plot_digits_agglomeration.py,63
amples/cluster/plot_segmentation_toy.py,98
amples/mixture/plot_gmm.py,80
learn/svm/src/blas/daxpy.c,49
amples/linear_model/plot_logistic_l1_l2_sparsity.py,79
amples/linear_model/plot_sgd_penalties.py,65
kefile,59
amples/plot_roc_crossval.py,67
learn/externals/joblib/test/test_disk.py,66
learn/svm/bounds.py,85
learn/linear_model/setup.py,49
amples/linear_model/lasso_dense_vs_sparse_data.py,67
learn/cluster/tests/test_mean_shift.py,66
learn/feature_selection/tests/test_rfe.py,57
learn/src/cblas/cblas_ddot.c,135
amples/linear_model/plot_lasso_and_elasticnet.py,63
amples/semi_supervised/plot_label_propagation_structure.py,62
learn/cluster/setup.py,45
nchmarks/bench_glm.py,57
amples/linear_model/plot_sgd_weighted_classes.py,56
amples/ensemble/plot_gradient_boosting_regularization.py,68
amples/linear_model/plot_omp.py,65
learn/externals/joblib/test/test_logger.py,66
amples/linear_model/plot_ols_ridge_variance.py,72
learn/svm/src/blas/dscal.c,44
amples/plot_iris_classifiers.py,67
