id,weight
ellCheck/Analytics.hs,2876
ellCheck/Parser.hs,2780
ellCheck/AnalyzerLib.hs,668
ellCheck/Checks/Commands.hs,623
ellCheck/AST.hs,382
ellcheck.hs,309
ellCheck/ASTLib.hs,295
ellCheck/Checker.hs,162
ellCheck/Data.hs,94
ellCheck/Interface.hs,116
ellCheck/Formatter/TTY.hs,91
ellCheck/Formatter/CheckStyle.hs,82
ellCheck/Regex.hs,80
ellCheck/Formatter/Format.hs,66
ellCheck/Formatter/JSON.hs,60
ellCheck/Formatter/GCC.hs,54
tup.hs,36
st/shellcheck.hs,22
icktest,21
ravis.yml,21
ellCheck/Analyzer.hs,36
ack.yaml,35
ickrun,5
