id,weight
ellCheck/Parser.hs,2811
ellCheck/Analytics.hs,2739
ellCheck/AnalyzerLib.hs,730
ellCheck/Checks/Commands.hs,685
ellCheck/AST.hs,385
ellCheck/Checks/ShellSupport.hs,388
ellcheck.hs,344
ellCheck/ASTLib.hs,378
ellCheck/Checker.hs,182
ellCheck/Data.hs,109
ellCheck/Interface.hs,116
ellCheck/Formatter/TTY.hs,91
ellCheck/Formatter/CheckStyle.hs,82
ellCheck/Regex.hs,80
ellCheck/Formatter/Format.hs,66
ellCheck/Formatter/JSON.hs,60
ellCheck/Formatter/GCC.hs,54
tup.hs,36
st/shellcheck.hs,24
ellCheck/Analyzer.hs,45
icktest,22
ravis.yml,21
xtnumber,10
ack.yaml,35
ickrun,5
