id,weight
ellCheck/Analytics.hs,2832
ellCheck/Parser.hs,2885
ellCheck/AnalyzerLib.hs,761
ellCheck/Checks/Commands.hs,685
ellCheck/Checks/ShellSupport.hs,420
ellCheck/AST.hs,386
ellcheck.hs,343
ellCheck/ASTLib.hs,386
ellCheck/Checker.hs,182
ellCheck/Data.hs,109
ellCheck/Interface.hs,117
ellCheck/Formatter/TTY.hs,91
ellCheck/Formatter/CheckStyle.hs,82
ellCheck/Regex.hs,80
ellCheck/Formatter/Format.hs,66
ellCheck/Formatter/JSON.hs,60
ellCheck/Formatter/GCC.hs,54
st/shellcheck.hs,24
tup.hs,36
ellCheck/Analyzer.hs,45
icktest,22
ravis.yml,21
xtnumber,10
ack.yaml,35
ickrun,5
