id,weight
autobahn/index.html,5943
src/WebSocket.cpp,590
nodejs/addon.cpp,366
nodejs/dist/uws.js,475
src/Server.cpp,351
src/Parser.h,305
src/HTTPSocket.cpp,168
benchmarks/throughput.cpp,158
benchmarks/lws.cpp,141
benchmarks/scalability.cpp,121
src/Server.h,101
src/Extensions.cpp,89
src/SocketData.h,83
src/WebSocket.h,77
src/Extensions.h,75
main.cpp,101
benchmarks/gateway-config-minimal.xml,44
examples/multithreaded_echo.cpp,57
src/Network.h,41
benchmarks/wsPP.cpp,54
src/UTF8.cpp,54
uWebSockets.pro,32
nodejs/Makefile,28
src/HTTPSocket.h,32
examples/echo.cpp,32
CMakeLists.txt,27
nodejs/echo.js,27
nodejs/ssl.js,23
nodejs/paths.js,26
benchmarks/uWS.cpp,24
benchmarks/Makefile,12
nodejs/make.bat,13
src/Network.cpp,12
src/UTF8.h,12
benchmarks/ws.js,8
examples/CMakeLists.txt,7
src/uWS.h,7
.travis.yml,4
