,AudioKit,Hystrix,Leaflet,OptiKey,PhysicsJS,animate.css,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,fsharp,gimp,hospitalrun-frontend,iina,jenkins,osquery,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
ApproximationTreeMap,0.6513256753464384,0.6779949109057107,0.6512372742479613,0.669501311718606,0.6513178100952204,0.6784915183695521,0.4814971184748066,0.643943800188762,0.6376769055546998,0.6787282644090028,0.6107300982858297,0.6770907000555177,0.6690654353315221,0.6623876325074722,0.6560079314269598,0.6479476973857616,0.6877201122138302,0.6319212663039153,0.6792989242759254,0.6652314904541866,0.6636472125863742,0.6720959112160847,0.6664554923485413,0.5811522485356556,0.6279388380296091,0.6381470614881247,0.6416168490819412,0.6828810725605431
HilbertTreeMap,0.43232511081779307,0.3262763587975808,0.4133027945420723,0.2481380436123601,0.43350918829762125,0.5628595703448092,0.25309656268671793,0.4705515117658229,0.297797470812386,0.3393091905593596,0.2686131796413751,0.397216785937366,0.3361109208345101,0.5000349630815571,0.36009832917575063,0.31683588426081405,0.4057809321079676,0.34670049809922104,0.5532640215774661,0.3506660906928984,0.3924574061643378,0.3561653852618109,0.2917120301499773,0.45664826874010933,0.10436547924499734,0.3882673111399475,0.3124509907522015,0.49030876197000367
MooreTreeMap,0.38638522319812896,0.37197917721678775,0.44673319389583427,0.24241298754039653,0.40266228258205217,0.3752799922052969,0.2661037447475189,0.3992799525045,0.33215153268061576,0.2874233577036817,0.4253127134736306,0.41241291055035784,0.284768935579463,0.4786139010747348,0.38756775253125086,0.26320880808281927,0.36723564293700317,0.3304555423868297,0.5373066110829211,0.3459224638622257,0.3934655155320937,0.4484461137313186,0.37116469673100283,0.3260433792893313,0.16688689781979354,0.3708063385275168,0.3615401544386625,0.35640079406757474
nmac,0.37212877081896817,0.4279258139443122,0.39458530097575634,0.3303323036850072,0.4029232209893996,0.45546827741187884,0.27168940841639716,0.3369645567506985,0.3230843161104028,0.3789475937843318,0.3636311141401254,0.3492774182896232,0.3220035573955382,0.37901417603938614,0.34441369663794985,0.35147043298449265,0.36501880047879204,0.3235507307841206,0.41037858913509195,0.33185543735836437,0.38955172075531735,0.37067061502255927,0.2744266520917351,0.3047165235155065,0.22482749071880745,0.3376871187813997,0.3499858962431422,0.30738939856459424
nmew,0.5642123598595734,0.5556425446844089,0.5499364574312158,0.5358754014538218,0.5339443112194997,0.6426026923910035,0.33579973833462223,0.5223635983612142,0.512664120613006,0.5520348039531863,0.5283711502587543,0.5333127902388197,0.5060794681131733,0.5051160942510977,0.5457671331068024,0.5019681557445865,0.5377971715098766,0.4974850066838136,0.5445205982539028,0.5809107712219573,0.5374245765067089,0.5627048454768787,0.5093121586541866,0.48781989044771745,0.4856105328731349,0.5032592533600144,0.31300792866161786,0.48577627486477265
PivotByMiddle,0.598205778991412,0.6078210676147809,0.6071378014147626,0.5530852596364711,0.5809251735222405,0.6559383616944349,0.3406679363835319,0.5760337036758136,0.5391785622573095,0.5959226890111895,0.5732295126886767,0.6075510939691712,0.5460800476865103,0.575509063165832,0.5985442054372224,0.5487257849403052,0.623183657119081,0.529329404084378,0.5802952357864778,0.6021811541632383,0.6082507032222558,0.5304126934445093,0.575068206013501,0.364207513086011,0.4625457875833169,0.5648922122022502,0.4639840132380407,0.516182067214591
PivotBySize,0.5457090164472936,0.5188276888784347,0.516052838682854,0.5440862052705803,0.5247823616711619,0.5841453827060211,0.3075082157200714,0.5321811501663704,0.5079337223300379,0.5775133021418272,0.4492919207446918,0.6089604256726942,0.5625310273987405,0.45433550710001797,0.54011363469589,0.4773830761962502,0.6373305139457336,0.499158297522088,0.5639736900854057,0.5660698178855538,0.5509117551163183,0.5331518394914626,0.5630243023174482,0.35247116735436945,0.49247769256022716,0.4485835335112405,0.2585672577493962,0.5813267504637506
PivotBySplit,0.632123012396995,0.6441520846336504,0.6199303621311704,0.6385067053250434,0.5790477534483903,0.6395312860422365,0.4573616314527653,0.6271800033099951,0.6044694452971835,0.6525438668976933,0.5701190674276911,0.6528752339514396,0.6388907259159579,0.5784718010282796,0.6282088563098985,0.6065307469732779,0.6623662084864538,0.6109289682334835,0.662710088316718,0.64198952377914,0.6340207954730819,0.6364411903482295,0.6370321515435219,0.5362539569057913,0.584954699876819,0.6098425920769062,0.6180254479017406,0.6046366293906354
SliceAndDice,0.11109879376780883,0.21957655284295186,0.25601227205381605,0.25151471977700884,0.23059673086729893,0.401165977360245,0.20997871341903485,0.15485677069317216,0.19424336045927923,0.1290017389360497,0.23286474040118021,0.14162376880530286,0.14517285669809757,0.3702457784647179,0.22059416987752778,0.20074408409418645,0.13307131844612216,0.18234093334723453,0.18465837425579504,0.13170776818894483,0.203333817782022,0.03558976903002159,0.1799131237338604,0.11753025800298167,0.23504875754487192,0.19750074460631795,0.2669180845757392,0.24136701407078498
SpiralTreeMap,0.45526310910104156,0.49189769538533057,0.4935743080924093,0.401273641078063,0.39016944485616817,0.548461941479904,0.25537478819067794,0.3116126224603164,0.4351819227026498,0.45068106650796746,0.4061709806099021,0.4122437203230557,0.41369108427314294,0.3876844953135676,0.4672658553902893,0.4230463261838674,0.4065170255545163,0.3873954573215325,0.2681971098529935,0.47141675448121567,0.47508077491133044,0.32141472030919527,0.4151545732141483,0.20639781496268936,0.3456813115753539,0.41319178283348723,0.28407458942317587,0.35838820102606966
