,AudioKit,Hystrix,Leaflet,OptiKey,PhysicsJS,animate.css,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,fsharp,gimp,hospitalrun-frontend,iina,jenkins,osquery,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
ApproximationTreeMap,0.2665205677527476,0.19831339798597655,0.17598084834772235,0.2824155020934635,0.1741671415266793,0.073480773382007,0.20668067186150452,0.17288476851311405,0.11934768285541696,0.061083346187137656,0.3573640735705036,0.019944620846916884,0.1920563372974712,0.4199652260788303,0.18236218310812294,0.28414950405411016,0.02168403435931653,0.09723777887819425,0.15432350164074904,0.11940022610575786,0.14816705912757647,0.3139545728694882,0.16171418179418368,0.13256874978426034,0.343571389743212,0.1326625222847246,0.42251739990825576,0.1705565570311098
HilbertTreeMap,0.20065944687552675,0.15745571266879346,0.1776689061463001,0.0713820241601863,0.18607382609054574,0.060246694916510725,0.33361605037235936,0.1726765215949021,0.1317710707662425,0.057843968216232416,0.34560313536248183,0.014589398155385722,0.13889128726018118,0.35372985095535764,0.18934757859330958,0.12107584474920771,0.03244100460910349,0.054153071730059094,0.16796835719334283,0.08758639674089512,0.11791851036683211,0.26519134636511565,0.16208431456580344,0.06387735478241746,0.20538332011290128,0.11726681724525612,0.44715577075666973,0.12356915217392704
MooreTreeMap,0.18607632804728513,0.14037281808084606,0.21406391278023326,0.10925426360127385,0.15158761392839637,0.06643321059725629,0.20078985228198487,0.21837881284983776,0.1078026084254421,0.052821545719101214,0.309571940941046,0.01693546116108337,0.13990108434473497,0.28635442446513415,0.15867721217123126,0.11387527441888946,0.03651103320006575,0.057733806954171504,0.16242124078263942,0.09852878505759372,0.10997737114301906,0.22576227605775753,0.15890179741583654,0.07253659067642294,0.14674075278493934,0.09707336448008659,0.5036940659690625,0.09821633400852027
nmac,0.13794522381076674,0.17481673180537055,0.17573326495977704,0.2111781913562638,0.13839830892518057,0.18196168048556752,0.28729816636387906,0.12650907392538643,0.06309049173471787,0.061706087497938183,0.3348075905385329,0.0297416589262926,0.1636719358407537,0.40685494740757844,0.16341478869965778,0.12242032926921369,0.023699902312765572,0.06946319438942407,0.09246778642601136,0.03673501985717858,0.1779973492886292,0.23272997108986046,0.11499473886385485,0.1281444046608955,0.14089323530879042,0.1169493668155021,0.3450743693178429,0.17005980117854108
nmew,0.2583031692881705,0.1774067631605297,0.1630999603436938,0.221193413959377,0.11111485243882731,0.11064423212061145,0.13808860433038558,0.24243386757599897,0.07351200326271347,0.07269807035364059,0.19761342519323705,0.021674047536717186,0.17920239930209253,0.2699650456439049,0.1315406390116178,0.14608336328913235,0.01833541233607624,0.08165644493947524,0.10595635424076587,0.09569070835260234,0.11398759382292607,0.11294887917397692,0.12343218896571309,0.1663994149302489,0.18548532016728828,0.0962673136288895,0.1751638892926535,0.11481901634960065
PivotByMiddle,0.07286067106005274,0.12704045120596846,0.15129711759195016,0.2150433731156363,0.17288899101383023,0.11471370940658136,0.16428666828071953,0.10206068471605688,0.047153893873750734,0.02617443149744293,0.2828642666953512,0.018142748025307166,0.17014376508698753,0.21983274346187764,0.1619673729769763,0.10672041827964478,0.016249890526819372,0.05611830472951122,0.08271986350416681,0.07807350064019923,0.13972514532754843,0.10752395648443135,0.1308787907885358,0.04156340293655966,0.30616221429471896,0.09275668322573741,0.3096549174091369,0.11917117901718904
PivotBySize,0.1363503126490691,0.1425810648894975,0.17968959271655266,0.15602239447336744,0.19542353528424064,0.07701427772378695,0.32174639637175534,0.13552756193186574,0.06076187937767789,0.08164820120942375,0.32352439873701544,0.02023695464521662,0.2128248787541755,0.38646676543796427,0.1795309160987487,0.2194005574429585,0.0240219135149112,0.09045202967534892,0.1390174956319437,0.10215148882476976,0.12363485834152466,0.19348586796666525,0.12945990709164892,0.1387495034274518,0.1792361426377885,0.12189871428247646,0.3124910212753125,0.18519656078630334
PivotBySplit,0.21562131053033012,0.18016082275802944,0.17818797693302732,0.2574532832097399,0.19766129103577268,0.07008930977545785,0.28311302065005556,0.16225880814872315,0.11136032304780394,0.05552996402279285,0.34187783795656573,0.02269409122662247,0.14865219672548002,0.3124413848162993,0.16779593373772267,0.21030103397047173,0.01714015327275582,0.08913756126211787,0.14673600829082376,0.13084561286813937,0.12786492019135695,0.2262629671358016,0.17536850199397097,0.10685119835008293,0.3477334575131918,0.1138032351901386,0.3711583308659516,0.1355223674045806
SliceAndDice,0.33479341709665045,0.2923971996822668,0.22671375416772602,0.2969276464541787,0.23814613319257116,0.16086537611776988,0.3168737716601603,0.34995268325575585,0.16802985804024903,0.08371295217648679,0.43550966813305414,0.0339737789881124,0.19291416088559868,0.4307614463353201,0.1780612987113257,0.17818122633044767,0.09282181989465431,0.09206210548191084,0.15525042849394768,0.10028727244105626,0.20520014201508358,0.6380289471923728,0.20936476774889837,0.3553409704353873,0.2532066857154917,0.13575851664511676,0.5425332184695766,0.29027787605428695
SpiralTreeMap,0.2561833061805941,0.13149322619970444,0.1400995947973838,0.051689399831947216,0.21431862528018328,0.10179355553598972,0.17650849859406503,0.12507889601212197,0.12494603870657338,0.05196735730479947,0.3256741429491287,0.01690748063693057,0.08395037065595114,0.29978324926695676,0.09400542914524548,0.17244604361601487,0.013465080785585339,0.05837223500710153,0.21562628384491306,0.06990085824112917,0.13164053366807424,0.2545866042843694,0.11002897293188403,0.15439065656744372,0.2649777640055293,0.06969401820913596,0.3861175188916419,0.09298072509125739
SquarifiedTreeMap,0.2090959473545519,0.13426217729304193,0.16474835661785012,0.18879840748449922,0.18061080800990392,0.07797989264680567,0.09645886054454607,0.11374429671034286,0.08245902546110219,0.05177635904438675,0.12290113276453445,0.015962645939451625,0.14301480463650312,0.25680109762537484,0.14166090652893604,0.20499729095122968,0.018219837429895486,0.05734658997290429,0.08066773583842109,0.07989069893185209,0.10683478175057605,0.23489920888484084,0.1404574822798391,0.09524294340389622,0.27842002214754935,0.08148448670888926,0.39567865882129827,0.0928465198507452
StripTreeMap,0.1716926610132312,0.10744505524888937,0.11950043360700692,0.09666399269296164,0.19392214913355743,0.08078249274950632,0.10555933728679849,0.11896093950440158,0.0722389219481207,0.04066911177860781,0.285842451287234,0.015360398946822179,0.11887375665440685,0.2834558431783889,0.13788524133796123,0.15724249052748512,0.01306000483054813,0.03298247035620402,0.0812501814388254,0.03555596796092541,0.11232796676734776,0.22968952136739662,0.08333434834852106,0.09678133696157813,0.2762921759382144,0.05336854053594042,0.4042698890304611,0.10471281700675954
